fsky34.ps    10350 10600
fsky35.ps    10050 10300
fsky36.ps     9800 10000
fsky37.ps     9500  9750
fsky38.ps     9250  9500
fsky39.ps     9050  9250
fsky40.ps     8800  9000
fsky41.ps     8600  8780
fsky41o2.ps   8600  8720
fsky42.ps     8380  8580
fsky43.ps     8200  8380
fsky44.ps     8000  8180
fsky45.ps     7820  8000
fsky46.ps     7660  7840
fsky47.ps     7500  7660
fsky48.ps     7340  7500
fsky49.ps     7200  7360
fsky50.ps     7040  7200
fsky51.ps     6920  7060
fsky52.ps     6780  6920
fsky53.ps     6660  6800
fsky54.ps     6520  6660
fsky55.ps     6400  6500
fsky56.ps     6340  6420
fsky57.ps     6200  6320
fsky58.ps     6100  6180
fsky59.ps     6000  6080
fsky60.ps     5900  5980
fsky61.ps     5800  5880
fsky62.ps     5700  5780
fsky63.ps     5620  5700
fsky64.ps     5520  5600
fsky65.ps     5440  5520
fsky66.ps     5360  5440
fsky67.ps     5280  5360
fsky68.ps     5200  5280
