Y Lower Quartile	Y Mean	Count	Y Median	X Mean	Y Upper Quartile	Y Std	X Center
nan	nan	0	nan	nan	nan	nan	3.6216678344652173
nan	nan	0	nan	nan	nan	nan	3.660883520739727
nan	nan	0	nan	nan	nan	nan	3.700099207014237
nan	nan	0	nan	nan	nan	nan	3.7393148932887468
nan	nan	0	nan	nan	nan	nan	3.778530579563257
nan	nan	0	nan	nan	nan	nan	3.8177462658377666
nan	nan	0	nan	nan	nan	nan	3.856961952112276
nan	nan	0	nan	nan	nan	nan	3.896177638386786
nan	nan	0	nan	nan	nan	nan	3.9353933246612955
nan	nan	0	nan	nan	nan	nan	3.9746090109358057
nan	nan	0	nan	nan	nan	nan	4.013824697210316
nan	nan	0	nan	nan	nan	nan	4.053040383484825
nan	nan	0	nan	nan	nan	nan	4.092256069759335
nan	nan	0	nan	nan	nan	nan	4.131471756033845
nan	nan	0	nan	nan	nan	nan	4.170687442308354
nan	nan	0	nan	nan	nan	nan	4.209903128582864
nan	nan	0	nan	nan	nan	nan	4.249118814857374
nan	nan	0	nan	nan	nan	nan	4.288334501131884
nan	nan	0	nan	nan	nan	nan	4.327550187406394
nan	nan	0	nan	nan	nan	nan	4.366765873680904
nan	nan	0	nan	nan	nan	nan	4.405981559955413
nan	nan	0	nan	nan	nan	nan	4.445197246229924
nan	nan	0	nan	nan	nan	nan	4.4844129325044335
nan	nan	0	nan	nan	nan	nan	4.523628618778943
nan	nan	0	nan	nan	nan	nan	4.562844305053453
nan	nan	0	nan	nan	nan	nan	4.6020599913279625
nan	nan	0	nan	nan	nan	nan	4.641275677602472
-0.024543930827475097	-0.024543930827475097	2	-0.024543930827475097	4.683282882024812	-0.024543930827475097	0.0	4.680491363876982
-0.014994318698349262	-0.008750204208662947	107	-0.014531102465709983	4.726315626061221	-0.0031437300409731415	0.01480132208590546	4.7197070501514915
-0.02009051645697602	-0.0018921241359608283	1027	0.0001406555129133085	4.763345701301757	0.014204635820129357	0.02722285559639195	4.758922736426001
-0.013135443433425643	0.0008052635414271622	2801	-0.0012805543560116916	4.799158688262982	0.015750225984886068	0.023839158719780488	4.798138422700512
-0.01564211599781368	0.0011223281115318735	3698	0.0006761785707754846	4.837996771405518	0.015898725173337354	0.023588114543839224	4.837354108975021
-0.019568501438801178	-0.001260974311117353	4023	-0.001541443924648596	4.878337122485317	0.01589127341464548	0.025168897050244658	4.876569795249531
-0.018809505344845632	-0.0010385831948867335	5782	-0.0019068265772799109	4.915526925901284	0.015012243161020792	0.026098334115377233	4.915785481524041
-0.016271242961309426	0.0008226978304314826	5414	-4.25835239808075e-05	4.953187251128948	0.01777920772279804	0.02466649077017764	4.955001167798551
-0.01490054580031819	0.00080783614025381	4348	0.00096814360419106	4.995209388735868	0.01657050546443938	0.02679968626363596	4.994216854073061
-0.015427341444718981	-0.0008724561554056103	5860	-0.0009806141909400434	5.03278599877431	0.014063921521190669	0.02389688862678541	5.033432540347571
-0.011310851553086206	0.003642942266183297	4903	0.003454897166103218	5.070940845342453	0.018558759697173226	0.025265774784320686	5.07264822662208
-0.016650539553178	0.00017592516506356214	3278	0.0005227325374272415	5.1110556385947445	0.016766206003620943	0.024796804503600854	5.11186391289659
-0.01750012198761339	0.0014272096728624784	2681	0.0003893350918588889	5.150057383754183	0.01948822422881406	0.02619205688666734	5.1510795991711
-0.015581565330484765	0.002232291494642373	2033	0.001375659028108873	5.191109999854534	0.019056047136449362	0.026281144278513444	5.190295285445609
-0.018248783780740564	-0.0029261272960056112	2556	-0.002467998182268979	5.2277098658765615	0.015657733880178926	0.027765167690449816	5.229510971720119
-0.018305597074813842	0.0024056386690481366	2090	0.0027469763368483434	5.268410955607521	0.019182753468617572	0.02639777807558493	5.268726657994629
-0.020877299448853325	-0.0018340972604171878	2164	-0.002102430963122763	5.307819677607087	0.016185726458219887	0.028343607771188373	5.307942344269139
-0.021029609690487845	0.001235642198046995	1625	-0.0006834393852113304	5.348701073039388	0.01900003750256209	0.02891603235485674	5.347158030543649
-0.020201466393944035	-0.0026302084079734243	1613	-0.0031005276539972574	5.3837225368084285	0.01579801845337196	0.03091432270012996	5.3863737168181585
-0.029507837997671874	-0.006339849522218664	851	-0.011986278282085623	5.4221165905419415	0.024869297253266243	0.03799153668022528	5.425589403092668
-0.027537689731936585	0.00045104987807830725	161	-0.018340882290054587	5.458048075144495	0.030097248622712278	0.03673444719107122	5.464805089367179
-0.017386475836704014	-0.0006485597049263776	48	-0.0035401479020169017	5.497143920660772	0.01898094462394178	0.01498706730187763	5.504020775641688
nan	nan	0	nan	nan	nan	nan	5.543236461916198
nan	nan	0	nan	nan	nan	nan	5.582452148190708
