Y Lower Quartile	X Mean	Count	Y Mean	Y Upper Quartile	Y Std	Y Median	X Center
nan	nan	0	nan	nan	nan	nan	3.6216678344652173
nan	nan	0	nan	nan	nan	nan	3.660883520739727
nan	nan	0	nan	nan	nan	nan	3.700099207014237
nan	nan	0	nan	nan	nan	nan	3.7393148932887468
nan	nan	0	nan	nan	nan	nan	3.778530579563257
0.026442222325123017	3.8195827354180594	32768	0.09114897411836638	0.15585572591160973	0.06470675179324335	0.09114897411836638	3.8177462658377666
nan	nan	0	nan	nan	nan	nan	3.856961952112276
nan	nan	0	nan	nan	nan	nan	3.896177638386786
0.05491468836282909	3.9395704665589495	16384	0.05491468836282909	0.05491468836282909	0.0	0.05491468836282909	3.9353933246612955
-0.13461138669216807	3.960774094421664	16384	-0.13461138669216807	-0.13461138669216807	0.0	-0.13461138669216807	3.9746090109358057
-0.018687697305880015	4.019629483642924	16384	-0.018687697305880012	-0.018687697305880015	3.469446951953614e-18	-0.018687697305880015	4.013824697210316
0.0009325163959154813	4.0570209635842	16384	0.0009325163959154809	0.0009325163959154813	3.2526065174565133e-19	0.0009325163959154813	4.053040383484825
-0.043944209918933934	4.100887554365769	65536	-0.011459978819285073	0.058009170577682095	0.10096440617050949	0.02552493947803324	4.092256069759335
-0.02379260540472968	4.145056098262031	16384	-0.023792605404729678	-0.02379260540472968	3.469446951953614e-18	-0.02379260540472968	4.131471756033845
-0.13841255582479747	4.168795974046582	16384	-0.13841255582479747	-0.13841255582479747	0.0	-0.13841255582479747	4.170687442308354
-0.07675632842972879	4.21323651002532	81920	-0.04252472992720656	-0.01033988173358135	0.048842619187806365	-0.04897616814761062	4.209903128582864
-0.013369396101123976	4.25202269914731	131072	0.0006535187948198872	0.026494534819025233	0.04642715802931072	0.00946482622124777	4.249118814857374
-0.038895920012208283	4.290080164677969	81920	-0.020917848259743726	-0.011798977653620013	0.018367858472260832	-0.021885534528633118	4.288334501131884
-0.024981270748464453	4.331625237840848	147456	0.004304959643486271	0.032205568804549896	0.027489180996242243	0.008471633939899352	4.327550187406394
-0.05691975015407373	4.363752478787018	81920	-0.023877102899445845	0.0096368601509881	0.056518453276127104	0.006053666586031759	4.366765873680904
0.0030586329446939697	4.39576982352604	131072	0.00934811157726938	0.018515433222433885	0.01364790797926356	0.007976149146924084	4.405981559955413
-0.01918539595936576	4.449150723983963	131072	-0.010924962872593588	0.009893017955489237	0.027358336979233237	-0.004223194291323308	4.445197246229924
-0.006719319952779282	4.481464333318573	147456	-0.0014556065043708508	0.0028001133813684437	0.03133165418701819	-0.0041288646599171195	4.4844129325044335
-0.006961109257808145	4.523437269035081	114688	0.0061849855218494105	0.017320097589865798	0.014073379043573303	0.0006797239863222861	4.523628618778943
-0.007044331904175275	4.564621258671962	98304	0.00503022397391652	0.01508419090441075	0.01129930642932702	0.0045437617376899685	4.562844305053453
-0.014725035275606318	4.598119613779341	163840	-0.003095000439892225	0.00629174358282875	0.01971065640612036	0.0006024472564934014	4.6020599913279625
-0.017167430712654592	4.63822216971674	49152	-0.006398722650298749	0.013507390230140384	0.014091493535115011	-0.015536127468382047	4.641275677602472
-0.004079621503952196	4.68462641118384	32768	0.004551163941251264	0.013181949386454724	0.008630785445203458	0.004551163941251264	4.680491363876982
-0.009080329264393524	4.717458847062558	98304	-0.0034763504733064878	0.002626813755598674	0.006787219747443133	-0.002778522673639411	4.7197070501514915
-0.0013704630347745792	4.764753033777246	114688	0.0023864213984940946	0.008068739622429311	0.00818161168798155	0.0025894629888805662	4.758922736426001
-0.003912202116864275	4.795527854789135	98304	-0.0020681356227160567	0.0018671586903407028	0.005903102386325761	-0.002827561869699781	4.798138422700512
-0.0060122201218482125	4.826470527939029	65536	-9.79031350249117e-05	0.0046378909803793215	0.006173887084864421	-0.0012764260064439782	4.837354108975021
0.0006931108959636609	4.875151540092687	65536	0.003554895527853366	0.0045563470175971005	0.004026601446287238	0.001694562385707396	4.876569795249531
0.002125734538929231	4.911832107479536	65536	0.005573568661589994	0.009018034963611834	0.004677130046509994	0.005570200840951072	4.915785481524041
-0.00231234175734515	4.952846899889236	65536	0.002171729717599482	0.0044091650339637845	0.0065302233717048665	-7.490644098084561e-05	4.955001167798551
nan	nan	0	nan	nan	nan	nan	4.994216854073061
-0.0016991884786219183	5.028358645066643	180224	0.0008430863977035761	0.005443868439335264	0.004952618493129272	0.0013295169736102994	5.033432540347571
-0.00904008745500566	5.073301341675176	49152	-0.0036841775149215445	-0.0009107857786045757	0.0037880018163561203	-0.0011016593111543957	5.07264822662208
-0.004497129598307809	5.1212999348334405	98304	-0.003602995904996723	-0.00033147828377931235	0.003163332225591893	-0.00353234173151853	5.11186391289659
-0.004507832706183791	5.155352250126498	81920	-0.0020851587833034093	-5.410709644457928e-05	0.0036506253221645015	-0.0001281487919668764	5.1510795991711
0.0009815264530932482	5.200700079385847	65536	0.0026937181347910424	0.0034019378087715123	0.0034812333462298723	0.0016897461270737183	5.190295285445609
-0.003621905939575217	5.22569704233309	32768	-0.0022702973577057913	-0.0009186887758363654	0.001351608581869426	-0.0022702973577057913	5.229510971720119
-0.002505055298841294	5.281297098728002	16384	-0.0025050552988412937	-0.002505055298841294	4.336808689942018e-19	-0.002505055298841294	5.268726657994629
-0.001795030236397818	5.305461192120893	32768	-0.000711969993763432	0.0003710902488709536	0.0010830602426343857	-0.0007119699937634322	5.307942344269139
nan	nan	0	nan	nan	nan	nan	5.347158030543649
