Y Upper Quartile	Y Lower Quartile	X Center	Y Std	Y Median	X Mean	Count	Y Mean
nan	nan	3.6216678344652173	nan	nan	nan	0	nan
nan	nan	3.660883520739727	nan	nan	nan	0	nan
nan	nan	3.700099207014237	nan	nan	nan	0	nan
nan	nan	3.7393148932887468	nan	nan	nan	0	nan
nan	nan	3.778530579563257	nan	nan	nan	0	nan
nan	nan	3.8177462658377666	nan	nan	nan	0	nan
nan	nan	3.856961952112276	nan	nan	nan	0	nan
nan	nan	3.896177638386786	nan	nan	nan	0	nan
nan	nan	3.9353933246612955	nan	nan	nan	0	nan
nan	nan	3.9746090109358057	nan	nan	nan	0	nan
nan	nan	4.013824697210316	nan	nan	nan	0	nan
nan	nan	4.053040383484825	nan	nan	nan	0	nan
nan	nan	4.092256069759335	nan	nan	nan	0	nan
nan	nan	4.131471756033845	nan	nan	nan	0	nan
nan	nan	4.170687442308354	nan	nan	nan	0	nan
nan	nan	4.209903128582864	nan	nan	nan	0	nan
nan	nan	4.249118814857374	nan	nan	nan	0	nan
nan	nan	4.288334501131884	nan	nan	nan	0	nan
nan	nan	4.327550187406394	nan	nan	nan	0	nan
nan	nan	4.366765873680904	nan	nan	nan	0	nan
nan	nan	4.405981559955413	nan	nan	nan	0	nan
nan	nan	4.445197246229924	nan	nan	nan	0	nan
nan	nan	4.4844129325044335	nan	nan	nan	0	nan
nan	nan	4.523628618778943	nan	nan	nan	0	nan
nan	nan	4.562844305053453	nan	nan	nan	0	nan
nan	nan	4.6020599913279625	nan	nan	nan	0	nan
nan	nan	4.641275677602472	nan	nan	nan	0	nan
nan	nan	4.680491363876982	nan	nan	nan	0	nan
-62.72892028689057	-62.72892028689057	4.7197070501514915	0.0	-62.72892028689057	4.731397944793529	8	-62.72892028689057
-4.989329667743732	-4.989329667743732	4.758922736426001	4.25013556388106	-4.989329667743732	4.758490054771118	560	-2.71101786134534
3.912041937237518	-9.59434349446201	4.798138422700512	9.93435257511866	-2.097204482213783	4.806557064353069	2994	-4.015667909581951
42.50604335997923	23.707388125720172	4.837354108975021	7.927286682637414	29.419779853118598	4.832543971698253	3022	31.918404837291096
-6.737464317127888	-10.71177407101095	4.876569795249531	5.0341691637283725	-9.898963325160366	4.877641719503009	4310	-10.166361660777278
0.4072522300266428	-15.543698049512386	4.915785481524041	14.186688981497369	-11.304178356645934	4.915546411182848	5241	-4.9214046875006785
22.29151387386264	-9.86397108784331	4.955001167798551	23.556274048871003	17.888932097364886	4.950409933283004	5600	9.557831998531594
-3.9636267458754446	-31.33512663410329	4.994216854073061	14.848942529807726	-16.93705232951652	4.993446313217092	5160	-16.647064582904047
14.034456451072401	-14.036835032520685	5.033432540347571	18.979530656160165	3.705524118759058	5.027562072688052	4116	3.622920430100157
24.266871954934686	-8.127498322524843	5.07264822662208	25.494383776047698	16.75891517418495	5.075611383649794	6466	10.848121209313554
9.783664577602394	-14.641126518501551	5.11186391289659	14.184188092588284	-13.33465808992878	5.109557184649151	3682	-7.330735882685274
-10.104414944475138	-46.841282413468434	5.1510795991711	19.071455285821234	-14.64082500211589	5.144642672587243	2764	-23.940690258497614
18.102929454447803	12.86292080486055	5.190295285445609	3.1421082065105708	12.86292080486055	5.194680011413037	2422	14.594519976001068
5.91881119048594	-1.8535550521901314	5.229510971720119	4.292608505576458	5.477533600304014	5.231322456544477	3168	4.367326530350321
7.775390469618287	7.775390469618287	5.268726657994629	2.4396122871541595	7.775390469618287	5.265287248332991	1280	6.555584326041208
17.716954729105055	-8.90831271420393	5.307942344269139	12.45954590156144	-8.523325627071245	5.315157356550694	3073	0.0944476539543541
-3.1868102227363124	-3.1868102227363124	5.347158030543649	0.0	-3.1868102227363124	5.361817855771922	1024	-3.1868102227363124
-0.1500985227576166	-1.7204764026864723	5.3863737168181585	2.929656014572409	-1.7204764026864723	5.375707874320655	2175	-2.460478010870224
nan	nan	5.425589403092668	nan	nan	nan	0	nan
nan	nan	5.464805089367179	nan	nan	nan	0	nan
nan	nan	5.504020775641688	nan	nan	nan	0	nan
nan	nan	5.543236461916198	nan	nan	nan	0	nan
nan	nan	5.582452148190708	nan	nan	nan	0	nan
