Y Median	Count	Y Mean	X Center	Y Std	X Mean	Y Upper Quartile	Y Lower Quartile
5687.221845158996	336	5684.8213278918865	2.8075630150895257	339.60221937224344	2.8101088467104525	5819.693792090285	5476.273556039571
6118.639520458535	528	6073.95534245042	2.8663865445012906	455.2441363305386	2.8658697344101043	6320.608116960317	5772.47513435026
6208.132043650439	704	6217.48872863168	2.925210073913055	515.7253177139191	2.928280416427587	6634.95155370867	5783.766383814674
6218.424029089409	880	6338.665832328898	2.9840336033248196	547.3172160197254	2.984397712316567	6628.303137621151	5987.704447284691
6492.87918717849	1184	6531.231047104756	3.0428571327365845	498.76076151930965	3.0430156142067126	6900.9000378382	6118.106847187335
6773.838680807078	1568	6794.956691415584	3.1016806621483495	649.6896747993994	3.1012929976848476	7171.7700340613765	6322.005636165121
7069.8089358597645	2032	7045.858322674417	3.160504191560114	633.0502727219639	3.161173234668481	7417.913103602289	6561.687389830341
7158.006965738139	2400	7253.890380437806	3.2193277209718785	681.7158547194887	3.2186143311292015	7666.475540862586	6732.450721271559
7395.543397747574	3600	7441.890659412728	3.2781512503836434	612.3094146067604	3.279835661714082	7867.988865625783	6997.60027249111
7556.441878318319	4672	7642.815109607042	3.3369747797954084	778.9412947751435	3.3369373964788	8068.0422710431985	7085.72625438304
7830.5609504069225	5072	7942.503259486153	3.395798309207173	842.3419076862846	3.397360743892374	8472.949427527512	7342.495750414338
7875.827540441864	5488	7977.803623380968	3.4546218386189373	786.1579420412415	3.4565912630114703	8375.874670247918	7495.595505669082
7950.024463245767	5472	8014.156040042968	3.5134453680307023	827.6715661541742	3.513703693491239	8464.324880492773	7457.735654477009
8026.702288198349	6560	8088.133572097599	3.5722688974424672	876.0822096282336	3.572819202901506	8578.99467842579	7483.4733543991915
7839.627570393106	7904	7900.133357878488	3.6310924268542317	826.1151191578732	3.6311781660383944	8437.699384558404	7213.960886978754
7533.413925939451	13440	7618.227286532865	3.689915956265996	606.2308680684764	3.6922771257904206	7966.874446487322	7213.153602006642
7570.351197079774	24704	7621.6127735900745	3.748739485677761	488.63646258869295	3.7520634003122195	7866.252492475739	7305.349250167582
7678.660769247773	44896	7718.087156697816	3.807563015089526	417.3493584464367	3.809789161043559	7952.796384412473	7446.469918461267
7817.503995267473	60720	7831.311766533947	3.8663865445012906	390.03335454316016	3.867542824903213	8065.469652837305	7589.626394592801
7867.329291226902	76320	7889.818598701357	3.925210073913055	390.854335445686	3.9259909209001895	8127.711188010663	7626.781415001951
7901.999239178351	91504	7929.065361922483	3.9840336033248196	367.9317690722504	3.985146972035742	8147.250591500971	7689.000532718826
7967.994256158497	107888	7977.572946940314	4.042857132736584	312.5020241602725	4.0433945323741645	8170.205165022228	7772.178130706899
8032.922837340485	108688	8039.667369262625	4.1016806621483495	299.24390279488694	4.101509890160056	8226.40044178557	7845.861922233175
8098.8976067412295	94112	8099.57391901733	4.160504191560114	289.7176617291919	4.159280549869869	8277.816359440378	7918.710193330818
8146.276087895991	74224	8143.1470449417175	4.219327720971879	281.5144748341655	4.218529973601456	8315.6525173138	7964.460753507246
8151.110752821571	67920	8158.82402164991	4.278151250383644	262.6429190820754	4.277985365201701	8312.90837567164	7995.162028721809
8175.377936563943	72176	8177.274075742873	4.336974779795408	241.30670129829474	4.337510679702564	8316.836087567317	8031.325309055623
8192.468384099164	78720	8193.795138450549	4.395798309207173	213.08186634651364	4.395790558720637	8321.075419329902	8060.8075417494165
8218.184510627696	88480	8216.358168972547	4.454621838618937	209.66860437088403	4.455016176623824	8345.769446854685	8095.101870378026
8249.472371333863	94640	8238.35253776861	4.513445368030702	195.66083998681188	4.5130899315257835	8366.793899146673	8120.958792808899
8262.658875233321	96272	8255.880599742444	4.572268897442467	189.38016027059416	4.573317442024784	8385.164311447772	8134.727879560315
8277.252375612348	105680	8276.733666457709	4.631092426854232	195.6923115111372	4.631484226022339	8408.21332744061	8148.506162631083
8289.87555545182	103904	8297.943706657286	4.689915956265997	196.37065542155585	4.689027914042325	8420.551092410074	8169.417139570055
8332.856312176948	86048	8344.47812186084	4.748739485677762	225.88976407667076	4.747698709688809	8466.70025786599	8204.355638726649
8371.117477840937	66400	8386.508272823681	4.807563015089526	229.131442405321	4.806546690569638	8518.810227961594	8235.378080210536
8398.48825393115	59056	8420.357960098116	4.866386544501291	224.02409468274507	4.865560716743954	8553.736645013121	8272.209674600193
8449.291582289281	43744	8473.052603776545	4.925210073913055	241.27302576529468	4.922740257556805	8603.01245921258	8325.271459287642
8508.672101021197	27040	8535.766064038067	4.98403360332482	236.30630787535134	4.981539848988364	8650.372590430448	8389.066788554534
8546.324573308128	18720	8571.240610151506	5.042857132736584	215.10008598527997	5.042891126919575	8693.011151744775	8421.907233617108
8562.283960680901	15920	8603.702300290262	5.1016806621483495	261.8805857472376	5.101391670141469	8748.351036446533	8431.247982882309
8665.243004304357	9008	8716.747771343129	5.160504191560115	311.38896320792355	5.155373308265099	8832.262628479619	8546.400950540574
8756.834225529827	2416	8774.729992573704	5.219327720971879	207.77132436885694	5.211880457887268	8894.276263674168	8639.138151450992
8773.157506512229	912	8839.3097664556	5.278151250383644	352.87588379102016	5.272581471363933	8894.834026636583	8687.26565712903
8703.06542333745	128	9322.8611538604	5.336974779795408	994.6524501807482	5.3285095044670765	9873.490117319918	8604.357168955694
12623.234649152568	32	12623.234649152568	5.395798309207173	157.76439128360562	5.402280157716492	12780.999040436172	12465.470257868961
11814.18554278881	48	12004.820373847355	5.454621838618937	569.9152303400538	5.43965514258543	12778.333060335366	11421.942518417893
