Count	Y Lower Quartile	Y Std	X Center	X Mean	Y Mean	Y Median	Y Upper Quartile
0	nan	nan	3.6216678344652173	nan	nan	nan	nan
0	nan	nan	3.660883520739727	nan	nan	nan	nan
0	nan	nan	3.700099207014237	nan	nan	nan	nan
0	nan	nan	3.7393148932887468	nan	nan	nan	nan
0	nan	nan	3.778530579563257	nan	nan	nan	nan
0	nan	nan	3.8177462658377666	nan	nan	nan	nan
0	nan	nan	3.856961952112276	nan	nan	nan	nan
0	nan	nan	3.896177638386786	nan	nan	nan	nan
0	nan	nan	3.9353933246612955	nan	nan	nan	nan
0	nan	nan	3.9746090109358057	nan	nan	nan	nan
0	nan	nan	4.013824697210316	nan	nan	nan	nan
0	nan	nan	4.053040383484825	nan	nan	nan	nan
0	nan	nan	4.092256069759335	nan	nan	nan	nan
0	nan	nan	4.131471756033845	nan	nan	nan	nan
0	nan	nan	4.170687442308354	nan	nan	nan	nan
0	nan	nan	4.209903128582864	nan	nan	nan	nan
0	nan	nan	4.249118814857374	nan	nan	nan	nan
0	nan	nan	4.288334501131884	nan	nan	nan	nan
0	nan	nan	4.327550187406394	nan	nan	nan	nan
0	nan	nan	4.366765873680904	nan	nan	nan	nan
0	nan	nan	4.405981559955413	nan	nan	nan	nan
0	nan	nan	4.445197246229924	nan	nan	nan	nan
0	nan	nan	4.4844129325044335	nan	nan	nan	nan
0	nan	nan	4.523628618778943	nan	nan	nan	nan
0	nan	nan	4.562844305053453	nan	nan	nan	nan
0	nan	nan	4.6020599913279625	nan	nan	nan	nan
0	nan	nan	4.641275677602472	nan	nan	nan	nan
0	nan	nan	4.680491363876982	nan	nan	nan	nan
8	0.00014183837254402106	0.0	4.7197070501514915	4.731065042520966	0.00014183837254402106	0.00014183837254402106	0.00014183837254402106
560	-0.00013037250823803617	0.0009427344442403605	4.758922736426001	4.759550021559027	0.00037498619910868023	-0.00013037250823803617	-0.00013037250823803617
2994	-0.004514738850701885	0.0025089883464620632	4.798138422700512	4.806895010553089	-0.001067050691977637	0.00042336188599454225	0.0010993741635770197
3022	-0.001138361299245767	0.000968154255315742	4.837354108975021	4.83290306081916	8.337828108782921e-05	8.510366282486696e-05	0.0012437372267384117
5334	0.002224316601873184	0.0036286637967369575	4.876569795249531	4.880481045197552	0.0026856798939657567	0.004472743306590273	0.004767594977821416
4217	-0.0016933766920113416	0.0019199417073907973	4.915785481524041	4.920244343491877	-9.816351878285207e-05	-0.0001852136081375294	0.0008171587039788687
5600	-0.00138816161161332	0.0009172188920536244	4.955001167798551	4.950543302582461	-0.0007246777981874665	-0.00025092828528272174	-0.00019707738496732184
5160	-0.001982282365084132	0.004148130142019866	4.994216854073061	4.992925660247055	-0.001325540406210971	0.0008740742797260023	0.0010430992731178647
4116	-0.0006031774816723831	0.002881940376620399	5.033432540347571	5.028203006053623	0.001235530180542695	0.0018545660759863732	0.0023993426801123276
6466	-0.0011984172026711056	0.0024034685730565503	5.07264822662208	5.076156888041174	0.00015454474637322308	3.0680310477055365e-05	0.0021234977276330296
3682	4.6366037906463114e-05	0.001570458954448701	5.11186391289659	5.1095594274273815	0.0015451604185060391	0.0021120303365682264	0.00250018326554937
2764	-0.004511499121664823	0.002598352637071929	5.1510795991711	5.1448962030144925	-0.001419258764830703	-0.000783331326523744	0.0014523340013435132
2422	-0.0038737654441201638	0.006212820921010366	5.190295285445609	5.194417976192847	0.0030545492757615995	0.004848868101998215	0.009549204020284481
3168	-0.0017331076916198202	0.0027718200740237953	5.229510971720119	5.231453299632908	0.0006106241175680591	-0.0017331076916198202	0.004361024263838251
1280	-0.002016568875430116	0.0006940750833829289	5.268726657994629	5.265876521317641	-0.0016695313337386519	-0.002016568875430116	-0.002016568875430116
3073	0.0010930233641151304	0.0025147716446841553	5.307942344269139	5.315737307010244	0.0035801738725894316	0.0026225647600454875	0.007026064518964644
1024	-0.0006707853170411444	2.168404344971009e-19	5.347158030543649	5.361395936607556	-0.0006707853170411447	-0.0006707853170411444	-0.0006707853170411444
2175	0.00523637630041894	0.003147936645354338	5.3863737168181585	5.375267348491378	0.004859624961976288	0.00523637630041894	0.008045920880800975
0	nan	nan	5.425589403092668	nan	nan	nan	nan
0	nan	nan	5.464805089367179	nan	nan	nan	nan
0	nan	nan	5.504020775641688	nan	nan	nan	nan
0	nan	nan	5.543236461916198	nan	nan	nan	nan
0	nan	nan	5.582452148190708	nan	nan	nan	nan
