nbin	trend fraction	T	t^2	d trend fraction	d T	d t^2
1	0.43	10551	0.00948	0.03	8	0.00415
2	0.62	10519	0.00638	0.05	2	0.00083
4	0.73	10508	0.00539	0.03	2	0.00018
8	0.80	10504	0.00492	0.02	2	0.00004
16	0.88	10499	0.00450	0.09	1	0.00001
32	0.95	10494	0.00412	0.21	1	0.00000
64	0.96	10484	0.00374	0.63	0	0.00000
128	1.00	10354	0.00208	0.96	-2	0.00000
256	0.99	10322	0.00069	0.90	-3	0.00000
