X Mean	Count	Y Mean	Y Std	X Center	Y Median	Y Upper Quartile	Y Lower Quartile
nan	0	nan	nan	2.8075630150895257	nan	nan	nan
nan	0	nan	nan	2.8663865445012906	nan	nan	nan
nan	0	nan	nan	2.925210073913055	nan	nan	nan
nan	0	nan	nan	2.9840336033248196	nan	nan	nan
nan	0	nan	nan	3.0428571327365845	nan	nan	nan
nan	0	nan	nan	3.1016806621483495	nan	nan	nan
nan	0	nan	nan	3.160504191560114	nan	nan	nan
nan	0	nan	nan	3.2193277209718785	nan	nan	nan
nan	0	nan	nan	3.2781512503836434	nan	nan	nan
nan	0	nan	nan	3.3369747797954084	nan	nan	nan
nan	0	nan	nan	3.395798309207173	nan	nan	nan
nan	0	nan	nan	3.4546218386189373	nan	nan	nan
nan	0	nan	nan	3.5134453680307023	nan	nan	nan
nan	0	nan	nan	3.5722688974424672	nan	nan	nan
nan	0	nan	nan	3.6310924268542317	nan	nan	nan
nan	0	nan	nan	3.689915956265996	nan	nan	nan
nan	0	nan	nan	3.748739485677761	nan	nan	nan
3.8052790092492947	96	8210.733735510245	230.48948024513166	3.807563015089526	8235.59116565937	8323.51191131935	8193.202989489058
3.866141505343808	201	8575.088493440408	228.79393757451714	3.8663865445012906	8576.552172695723	8697.623800239075	8434.89864465854
3.934530179101481	1096	8963.28348084486	297.9148855782399	3.925210073913055	8976.952323112844	9196.130441700954	8743.396727387928
3.986520762908735	2415	9132.928365317657	344.61660503894876	3.9840336033248196	9154.47122941635	9379.223607741682	8876.071063567668
4.043709406075998	4502	9404.267532690614	328.89325238959265	4.042857132736584	9398.542727063348	9618.616081059585	9176.719766005794
4.102411561066864	5729	9527.841076464103	353.91712437478515	4.1016806621483495	9545.881265365526	9738.98455719282	9267.55121914843
4.161175288178731	6508	9672.053691927138	310.5510501485978	4.160504191560114	9676.526525465251	9879.080382795111	9442.352215998886
4.219986277527761	5733	9755.621899250009	303.66090379482756	4.219327720971879	9715.16338584513	9939.549481825085	9542.243328523264
4.274793179505248	4030	9874.280552266986	294.85405790706557	4.278151250383644	9862.00208315172	10069.501526557575	9667.60368081738
4.335789204416679	2881	9950.058131291373	289.9268188056971	4.336974779795408	9936.523779014646	10126.928304935896	9742.54502910255
4.394600654331125	2910	10093.121027920062	337.3163160789347	4.395798309207173	10075.409028766497	10337.486268005765	9852.953491948634
4.4540647357479335	2733	10168.968282476255	283.1241189733595	4.454621838618937	10190.088825442528	10360.216661746304	9978.787981537214
4.512722833361838	2568	10311.19299490578	331.162375617263	4.513445368030702	10278.094648532375	10553.190359112792	10052.401645746888
4.569730454403205	1959	10421.955148073785	294.2264173518049	4.572268897442467	10385.84273505131	10568.64403194103	10239.347998873243
4.630044937310348	1718	10473.807622187791	352.1673769346307	4.631092426854232	10484.338698466428	10709.954784380916	10196.340535593428
4.687410449328618	1595	10569.718995526153	393.81526231123894	4.689915956265997	10537.716499102014	10778.270318413995	10268.54679610312
4.749307055628218	1470	10543.51108678861	385.9098045136284	4.748739485677762	10528.02793526218	10756.571436914703	10308.036591448608
4.8071913900495655	1863	10598.837134727606	413.1796413144486	4.807563015089526	10595.287093254108	10845.890056793114	10270.374612897125
4.862975381176986	1461	10650.77915782378	385.2886648310473	4.866386544501291	10689.631004006473	10884.347294974736	10392.492127616442
4.923034746984391	1455	10880.876243791883	479.7804478815748	4.925210073913055	10828.144539510804	11059.93555633177	10591.451993870021
4.9843680051498165	1583	11122.234537956421	403.24921765749787	4.98403360332482	11124.660230710637	11387.637625105088	10876.271892360995
5.042307452856062	1023	11301.014093022346	562.2111597858161	5.042857132736584	11212.461362277993	11596.661686446849	10912.215196334013
5.0972455043872955	559	11571.881688878762	631.4792759350127	5.1016806621483495	11650.092266344212	11942.789594056108	11199.55833506428
5.159083061141064	673	11612.927463847267	572.0033642942891	5.160504191560115	11703.828490587435	11969.906152427351	11229.576211931868
5.2268195295155016	224	11510.912029830739	554.8134725747435	5.219327720971879	11390.003871084722	12037.623305903046	11023.753614532887
5.256233786232182	48	11600.474076643832	670.2445893739427	5.278151250383644	11388.56903202691	12506.529032036326	10906.324165868255
5.339134061524765	32	11558.854804704017	17.39202573872717	5.336974779795408	11558.854804704017	11576.246830442744	11541.46277896529
nan	0	nan	nan	5.395798309207173	nan	nan	nan
nan	0	nan	nan	5.454621838618937	nan	nan	nan
nan	0	nan	nan	5.513445368030702	nan	nan	nan
nan	0	nan	nan	5.572268897442467	nan	nan	nan
nan	0	nan	nan	5.631092426854233	nan	nan	nan
nan	0	nan	nan	5.689915956265997	nan	nan	nan
nan	0	nan	nan	5.748739485677762	nan	nan	nan
