Y Lower Quartile	Y Upper Quartile	Y Std	Y Median	Count	Y Mean	X Mean	X Center
-0.025843384111967627	0.07392416574597589	0.10958287273905433	0.023784261476787322	320	0.0541215716546139	3.6210330250978373	3.6216678344652173
-0.045969923667870526	0.020789410454196567	0.09235323547491643	-0.01235307270156708	1088	0.006328291745222747	3.670138903856855	3.660883520739727
-0.025115712238989122	0.017004552475684307	0.043060415318740546	-0.005724769002531742	1920	-0.0014308397587466679	3.7061876893642616	3.700099207014237
-0.03506801236225384	0.0272676245589576	0.059354478744780094	-0.0026357972178398946	4672	0.0032017359923413595	3.7399667963396834	3.7393148932887468
-0.025819674088956926	0.01944582549773783	0.035496515079216646	0.0029859045831235284	5760	-0.0021980986464212077	3.780801573307973	3.778530579563257
-0.021367243368676913	0.025445866004345983	0.057720802624897954	0.0012510490501564848	7552	0.005941130438439963	3.8185971091260162	3.8177462658377666
-0.01674406301902473	0.02486044216381412	0.03290952438574022	0.003867292269571497	11520	0.0036138976386804558	3.8581394089652563	3.856961952112276
-0.028107531132134645	0.01610560043202368	0.0343508628999446	-0.004264345158225801	12672	-0.001255167236446674	3.897130510371258	3.896177638386786
-0.01927999456432341	0.0163478496568334	0.032158730420559715	-0.0028737784255436685	13504	-0.0014813478527068685	3.9343039512861044	3.9353933246612955
-0.022799390047528113	0.01684429555014333	0.02974193268833593	-0.003677499351903103	15040	-0.0025800876124578175	3.97434739898525	3.9746090109358057
-0.02067559380097883	0.017495302476118232	0.027487675949223873	-0.0006770475593700256	17792	-0.0010331919649720174	4.0133788794422	4.013824697210316
-0.01773044104451669	0.01665176829632027	0.03346043130305342	-0.001628943765250992	20928	0.0013100434151143267	4.052898213220607	4.053040383484825
-0.018148671629562782	0.015463784070101934	0.0268293015575937	-0.0010888680189258182	22784	-0.0011683899929762296	4.091656543280453	4.092256069759335
-0.014202637591501007	0.016246845055553263	0.024398082309816816	0.001980058445292652	22464	0.0019560256022353923	4.132821631712791	4.131471756033845
-0.012867367876835211	0.015358918689996453	0.021554766713486505	0.0014583271268934924	35136	0.0013812515675790875	4.172847883167367	4.170687442308354
-0.01316221117810825	0.012343519818622382	0.02097395664988604	-0.000306917742263217	63552	-0.0004684401046254354	4.211914914898183	4.209903128582864
-0.011764584853140914	0.011963190473413966	0.01917392103128946	0.00013054223358970976	91136	0.00017480528876195255	4.249981755091528	4.249118814857374
-0.010672129989569743	0.008948874273952518	0.015924599817506362	-0.0006904291403664078	103232	-0.0008065093953533022	4.288814364105021	4.288334501131884
-0.008918832101857553	0.008701596225323174	0.014837625860279079	-0.00015244044710445328	123392	-0.00014797963770248442	4.327872361382898	4.327550187406394
-0.009296414006276347	0.009284588671047148	0.014732217623617611	0.0003030787722391802	114112	2.681749348062713e-06	4.3664388856449845	4.366765873680904
-0.008822173394760647	0.008114348815359721	0.013327365812376618	9.110348095742627e-05	120768	0.00012320089915599246	4.4057511499565845	4.405981559955413
-0.008032174609003715	0.007630906948590247	0.013018733264820325	-0.0003893973955068883	118464	-0.0002264561146663509	4.445164473831471	4.445197246229924
-0.007937869757426564	0.0072759522570082285	0.012444745245475208	-0.0004038919527507365	111424	-0.0002319770345665967	4.484335353737858	4.4844129325044335
-0.007571120349599658	0.0072266371420570035	0.012112582814502618	7.217579541489605e-05	112896	6.52780354991401e-05	4.523222018282935	4.523628618778943
-0.0073132848416941855	0.0072210597010293545	0.011492670616656708	-0.0002595373580671987	106048	-0.00024234087242754577	4.562095873866372	4.562844305053453
-0.006920741521052705	0.006596208499004582	0.011628071871060082	3.714616227737818e-05	100096	-0.00013139156072033766	4.601867747542951	4.6020599913279625
-0.00708554286704641	0.006732918506544593	0.011574633021826418	-0.00026589753076121717	95616	-0.0002272578534871611	4.641402447585486	4.641275677602472
-0.006723484664025003	0.00618839175405975	0.010827239241287522	-0.0004054506264701458	71232	-0.0005399818325951134	4.6793684119875545	4.680491363876982
-0.006650065572346232	0.007330585392341488	0.011154096400627842	-0.00030167723206518963	62208	-2.4986455283051803e-05	4.719579189077069	4.7197070501514915
-0.007018070607132183	0.00669945445223794	0.010864756732406975	-1.151945458734739e-05	59648	-9.875772875153926e-05	4.75918440918729	4.758922736426001
-0.006450576847440683	0.005594969927030941	0.00986029499036626	-0.0003811889699769634	70656	-0.00020344484913329504	4.799413934662027	4.798138422700512
-0.0061016785217043	0.0062527231275550845	0.00983843670394992	-9.221801129304663e-05	65472	0.00036743464973053503	4.83660823798609	4.837354108975021
-0.0064706989786853355	0.006429251958876282	0.00943804869449989	0.00027967653396765836	68480	-0.00011620490856280569	4.87741580930741	4.876569795249531
-0.006859109392596682	0.006052316909662925	0.009764558495357142	0.0002656639506515165	78464	-9.862878152860528e-05	4.9154269332160165	4.915785481524041
-0.005995934900576084	0.007076429861728946	0.010447272023973202	0.0004905158190648665	76992	0.0004954560619867258	4.9549339706015525	4.955001167798551
-0.006672715258049195	0.006479332298280112	0.010206640940521384	0.0001327319358117054	66496	5.311061725844166e-05	4.994272832064065	4.994216854073061
-0.007108330246609713	0.00672708099498636	0.010677666110925885	0.0001246581609582016	79680	-5.0746078289036676e-05	5.03404996892822	5.033432540347571
-0.00676778372308503	0.006273413971219245	0.010410610587869448	-0.0003270541030806654	73920	-0.00019366911546375435	5.072326959350765	5.07264822662208
-0.006317725498802722	0.005890500928600034	0.010335005524990318	-0.00034589856562777186	66304	-0.00017760578895706163	5.11077835067935	5.11186391289659
