Y Std	Y Mean	Y Lower Quartile	X Center	Count	X Mean	Y Median	Y Upper Quartile
nan	nan	nan	3.6216678344652173	0	nan	nan	nan
nan	nan	nan	3.660883520739727	0	nan	nan	nan
nan	nan	nan	3.700099207014237	0	nan	nan	nan
nan	nan	nan	3.7393148932887468	0	nan	nan	nan
nan	nan	nan	3.778530579563257	0	nan	nan	nan
nan	nan	nan	3.8177462658377666	0	nan	nan	nan
nan	nan	nan	3.856961952112276	0	nan	nan	nan
nan	nan	nan	3.896177638386786	0	nan	nan	nan
nan	nan	nan	3.9353933246612955	0	nan	nan	nan
nan	nan	nan	3.9746090109358057	0	nan	nan	nan
nan	nan	nan	4.013824697210316	0	nan	nan	nan
nan	nan	nan	4.053040383484825	0	nan	nan	nan
nan	nan	nan	4.092256069759335	0	nan	nan	nan
nan	nan	nan	4.131471756033845	0	nan	nan	nan
nan	nan	nan	4.170687442308354	0	nan	nan	nan
nan	nan	nan	4.209903128582864	0	nan	nan	nan
nan	nan	nan	4.249118814857374	0	nan	nan	nan
nan	nan	nan	4.288334501131884	0	nan	nan	nan
nan	nan	nan	4.327550187406394	0	nan	nan	nan
nan	nan	nan	4.366765873680904	0	nan	nan	nan
nan	nan	nan	4.405981559955413	0	nan	nan	nan
nan	nan	nan	4.445197246229924	0	nan	nan	nan
nan	nan	nan	4.4844129325044335	0	nan	nan	nan
nan	nan	nan	4.523628618778943	0	nan	nan	nan
nan	nan	nan	4.562844305053453	0	nan	nan	nan
nan	nan	nan	4.6020599913279625	0	nan	nan	nan
nan	nan	nan	4.641275677602472	0	nan	nan	nan
0.048421323671585255	-0.006418265938858669	-0.04065815044048373	4.680491363876982	20	4.692021144753935	0.009945231386983007	0.021162544911027772
0.05834974742510043	0.0017508025098522696	-0.03257859095396974	4.7197070501514915	194	4.725775866188395	0.0016886567471763383	0.029300312296115284
0.04625421990544665	0.0006643906445954414	-0.02956314699457206	4.758922736426001	1187	4.763260870916655	-0.001573604121541724	0.02823216678906039
0.04634601304767459	-0.0009821046476591766	-0.030655151233431908	4.798138422700512	2784	4.799832227977892	-0.001566085908561942	0.027972746500065454
0.04811506109966512	-0.0010534025903672784	-0.03525663930194445	4.837354108975021	3515	4.8388350236899464	-0.0019207350598895439	0.03150485570685244
0.04959374731505208	0.0010897505615847629	-0.02999225697921923	4.876569795249531	4311	4.877307273324456	-0.0017151839130259995	0.03316489472831542
0.05066224490539767	0.0022110354519708974	-0.03074488089203877	4.915785481524041	5485	4.916489260386808	0.0036937358925248067	0.03179105176496671
0.04958919101907624	0.0008421478370759731	-0.03279062924524021	4.955001167798551	5227	4.954485347195625	-0.0024051593165341553	0.030498681312669043
0.05295246509916532	0.0017675554298894828	-0.034491382481186855	4.994216854073061	4714	4.99515420417742	-0.0005154358809167457	0.03363000433147827
0.053166148899292345	0.002239937266010429	-0.03275462220025504	5.033432540347571	5677	5.033421703837098	-0.000679636053388517	0.03657298983921148
0.05326394586745202	0.0001539814773885654	-0.0355879494511696	5.07264822662208	4696	5.071896639341887	5.844168853972917e-06	0.03424764826732357
0.053490976727014285	0.0015545511127629677	-0.034285333554739075	5.11186391289659	3426	5.111124092040926	-0.0017184397869463345	0.035235830979027966
0.05156757424747579	0.0034717630347671263	-0.0286021708967645	5.1510795991711	2552	5.150714412022803	-0.00118148435665239	0.03360725209734671
0.05302652640177361	-0.0037964152455991326	-0.042465468149800595	5.190295285445609	2288	5.190217974485847	-0.005650964050753151	0.028305556523684
0.05782775641634243	0.0016425792815070997	-0.03650000257772879	5.229510971720119	2458	5.229987447604672	-0.002162156609743677	0.035029600337134426
0.05516115042117	0.000590685980972115	-0.03495538959295089	5.268726657994629	2107	5.268690552765137	0.00010259247449616702	0.03604597142506627
0.0585553505287617	0.0030771643857317654	-0.0351825823927139	5.307942344269139	1967	5.307320198756102	-0.002083589774379394	0.04092182372447572
0.07559750603315861	0.008643564163703163	-0.03824159391882901	5.347158030543649	1708	5.346897276646342	0.0028536208977558352	0.04186763696504463
0.07135781982205815	0.00818662029196889	-0.039332487618733744	5.3863737168181585	1660	5.3848762602156075	0.004529256490175557	0.045682967456035964
0.09414212723209943	0.007445714835188947	-0.04077399342895485	5.425589403092668	840	5.42297887712225	-0.003418007681584658	0.04227304694919362
0.06789210730124978	-0.0002337976955528638	-0.06376860037941072	5.464805089367179	185	5.461890967574589	0.013034684260410354	0.03537960955146422
0.03858542326296529	0.03230093605679051	-0.0014831308510885625	5.504020775641688	36	5.504233125590799	0.03662531876054145	0.06738243351745066
0.004270236765261164	0.053840228338514866	0.0495699915732537	5.543236461916198	8	5.528596504785016	0.053840228338514866	0.05811046510377603
nan	nan	nan	5.582452148190708	0	nan	nan	nan
