Y Std	X Center	Y Mean	X Mean	Count	Y Upper Quartile	Y Median	Y Lower Quartile
nan	3.6216678344652173	nan	nan	0	nan	nan	nan
nan	3.660883520739727	nan	nan	0	nan	nan	nan
nan	3.700099207014237	nan	nan	0	nan	nan	nan
nan	3.7393148932887468	nan	nan	0	nan	nan	nan
nan	3.778530579563257	nan	nan	0	nan	nan	nan
nan	3.8177462658377666	nan	nan	0	nan	nan	nan
nan	3.856961952112276	nan	nan	0	nan	nan	nan
nan	3.896177638386786	nan	nan	0	nan	nan	nan
nan	3.9353933246612955	nan	nan	0	nan	nan	nan
nan	3.9746090109358057	nan	nan	0	nan	nan	nan
nan	4.013824697210316	nan	nan	0	nan	nan	nan
nan	4.053040383484825	nan	nan	0	nan	nan	nan
nan	4.092256069759335	nan	nan	0	nan	nan	nan
nan	4.131471756033845	nan	nan	0	nan	nan	nan
nan	4.170687442308354	nan	nan	0	nan	nan	nan
nan	4.209903128582864	nan	nan	0	nan	nan	nan
nan	4.249118814857374	nan	nan	0	nan	nan	nan
nan	4.288334501131884	nan	nan	0	nan	nan	nan
nan	4.327550187406394	nan	nan	0	nan	nan	nan
nan	4.366765873680904	nan	nan	0	nan	nan	nan
nan	4.405981559955413	nan	nan	0	nan	nan	nan
nan	4.445197246229924	nan	nan	0	nan	nan	nan
nan	4.4844129325044335	nan	nan	0	nan	nan	nan
nan	4.523628618778943	nan	nan	0	nan	nan	nan
nan	4.562844305053453	nan	nan	0	nan	nan	nan
nan	4.6020599913279625	nan	nan	0	nan	nan	nan
nan	4.641275677602472	nan	nan	0	nan	nan	nan
nan	4.680491363876982	nan	nan	0	nan	nan	nan
1.0842021724855044e-19	4.7197070501514915	-0.0008635266795611571	4.727885101248865	443	-0.000863526679561157	-0.000863526679561157	-0.000863526679561157
nan	4.758922736426001	nan	nan	0	nan	nan	nan
1.6263032587282567e-19	4.798138422700512	0.0004596942586521276	4.810941226135265	3858	0.0004596942586521278	0.0004596942586521278	0.0004596942586521278
1.7377039644188018e-05	4.837354108975021	-0.0005318907286026127	4.844081820074462	2392	-0.0005303358240924033	-0.0005303358240924033	-0.0005303358240924033
0.00032873393965800646	4.876569795249531	-0.0015161146326008168	4.871732537244456	1805	-0.0016200377529030287	-0.0016200377529030287	-0.0016200377529030287
0.0015493696112765577	4.915785481524041	-0.0012938786194122308	4.907761279905366	8124	0.0002685143524021527	-0.002830333426655477	-0.002830333426655477
5.421010862427522e-20	4.955001167798551	-0.0004196153530537465	4.9527937369074975	1416	-0.0004196153530537464	-0.0004196153530537464	-0.0004196153530537464
0.0003851781070763945	4.994216854073061	-0.00010791137918510908	4.988726114864682	9801	0.00026026188929555025	-0.00012379399693524277	-0.00012379399693524277
9.566785949293581e-05	5.033432540347571	-0.0012202702937462292	5.050337728361718	3170	-0.0012626974515663602	-0.0012626974515663602	-0.0012626974515663602
0.0010607347965443069	5.07264822662208	6.104971584409242e-05	5.060783740772555	3739	0.0007659980598737264	0.0007659980598737264	-0.0016948445625408432
0.0001662791347874216	5.11186391289659	-0.0009838222328124972	5.110739457364381	1076	-0.0009939793475650105	-0.0009939793475650105	-0.0009939793475650105
0.0017964473558970781	5.1510795991711	0.0013157267235364787	5.1463196600868395	11457	0.0029541753325412535	0.0021668174769775405	-0.0011456569994740661
8.673617379884035e-19	5.190295285445609	0.003549627035387123	5.1926588928326485	1662	0.003549627035387122	0.003549627035387122	0.003549627035387122
0.0	5.229510971720119	-0.0011624121871309406	5.243261957419903	2633	-0.0011624121871309406	-0.0011624121871309406	-0.0011624121871309406
2.168404344971009e-19	5.268726657994629	-0.0013504156996337958	5.260927800629907	318	-0.001350415699633796	-0.001350415699633796	-0.001350415699633796
nan	5.307942344269139	nan	nan	0	nan	nan	nan
3.3096930911604214e-05	5.347158030543649	0.00019180028668119208	5.355529994653664	4031	0.00020086022517768195	0.00020086022517768195	0.00020086022517768195
1.0842021724855044e-19	5.3863737168181585	0.0009115062521978004	5.382839032923804	1140	0.0009115062521978005	0.0009115062521978005	0.0009115062521978005
nan	5.425589403092668	nan	nan	0	nan	nan	nan
nan	5.464805089367179	nan	nan	0	nan	nan	nan
nan	5.504020775641688	nan	nan	0	nan	nan	nan
nan	5.543236461916198	nan	nan	0	nan	nan	nan
nan	5.582452148190708	nan	nan	0	nan	nan	nan
