Count	X Center	Y Median	Y Std	X Mean	Y Mean	Y Lower Quartile	Y Upper Quartile
0	3.6216678344652173	nan	nan	nan	nan	nan	nan
0	3.660883520739727	nan	nan	nan	nan	nan	nan
0	3.700099207014237	nan	nan	nan	nan	nan	nan
0	3.7393148932887468	nan	nan	nan	nan	nan	nan
0	3.778530579563257	nan	nan	nan	nan	nan	nan
32768	3.8177462658377666	-48.5075440089131	22.75479474061649	3.8220093382535874	-48.5075440089131	-71.26233874952959	-25.75274926829661
0	3.856961952112276	nan	nan	nan	nan	nan	nan
0	3.896177638386786	nan	nan	nan	nan	nan	nan
16384	3.9353933246612955	12.10776760427325	0.0	3.9393510216873655	12.10776760427325	12.10776760427325	12.10776760427325
16384	3.9746090109358057	-20.742320370738526	0.0	3.960602987640556	-20.742320370738526	-20.742320370738526	-20.742320370738526
16384	4.013824697210316	60.04204816205856	0.0	4.020923331475062	60.04204816205856	60.04204816205856	60.04204816205856
16384	4.053040383484825	31.323647801767947	0.0	4.056925814056378	31.323647801767947	31.323647801767947	31.323647801767947
65536	4.092256069759335	1.1245862530158774	44.011729293021155	4.101287257138374	-2.869744265317877	-35.83530435393459	34.09014634163259
16384	4.131471756033845	86.86237769293439	0.0	4.144475959185377	86.86237769293439	86.86237769293439	86.86237769293439
16384	4.170687442308354	2.072353001569354	0.0	4.170006900771504	2.072353001569354	2.072353001569354	2.072353001569354
81920	4.209903128582864	-4.572901581053884	17.501653591144375	4.2133564781132975	-11.552645629830295	-20.799550092260688	0.9186399591089867
131072	4.249118814857374	-3.732381889645694	16.709900827792133	4.2521894804819445	-3.748109022691551	-11.489757546022247	5.042070488322224
81920	4.288334501131884	4.770230798280863	8.401957000210574	4.289962444076875	2.359025181672223	-5.169605763390791	8.403033680029694
147456	4.327550187406394	2.788403130178267	19.892439907268994	4.331524293503253	-0.9505494544761556	-2.8233701670851588	11.648806471033822
81920	4.366765873680904	3.2492248547350755	32.65542083836712	4.363877434095411	-11.8381605172146	-10.70231038188831	10.00494713588887
131072	4.405981559955413	1.325361372318639	17.8299787312298	4.395766381525957	-0.597105391458058	-6.138601730583559	7.952116457269312
131072	4.445197246229924	1.8579589554456106	9.462855137056957	4.449233035101624	5.319399359917043	-1.3676260902780086	8.145794162127913
147456	4.4844129325044335	-0.9001919712691233	13.680131682233958	4.481482456183417	-4.19459439311888	-10.628195854276782	8.022594498754188
114688	4.523628618778943	-3.4449626706791605	6.765313480979715	4.52341959155651	-3.0077302223469036	-8.815635011851555	5.7326535140400665
98304	4.562844305053453	3.3043978711957607	2.557753135850774	4.564832711282715	3.4015640115355077	1.5181729184332653	4.411298671919212
163840	4.6020599913279625	5.264751519741367	10.00685510318563	4.598002272071787	2.5977917670619717	-3.853656630290061	8.822428760184266
49152	4.641275677602472	-3.3344365102093434	7.449787246065549	4.638179760946088	-0.9773093116709788	-8.691549462901094	9.0940580380975
32768	4.680491363876982	4.780649049796011	5.523462622145416	4.6846878338467395	4.780649049796011	-0.7428135723494051	10.304111671941428
98304	4.7197070501514915	-0.1864235452403591	7.450505950892801	4.71728621218086	-1.7509543334326736	-5.692751039436189	3.139335691686938
114688	4.758922736426001	-17.927051542370464	13.308902919042591	4.7648776256237335	-11.353682386264284	-23.7756810314404	0.5603383918405598
98304	4.798138422700512	-5.134812329574743	7.249600104494608	4.795149214837022	-5.435360587781361	-11.522906175841854	-0.851736292563146
65536	4.837354108975021	4.840104713423898	11.027516431480459	4.826473902348361	4.088940313571584	-4.41986039523681	13.348905422232292
65536	4.876569795249531	2.118250483277734	6.3359693721175585	4.874984659802443	1.988782194351188	-4.012411680783316	8.119444358412238
65536	4.915785481524041	-1.8720611468052084	10.238435523960389	4.91169202209562	-0.29181395857722237	-5.850980443561184	3.6871053381787533
65536	4.955001167798551	-0.47747545476431696	4.0048680353930655	4.952826112396997	-1.9764874377015076	-3.822130267168177	1.3681673747023524
0	4.994216854073061	nan	nan	nan	nan	nan	nan
180224	5.033432540347571	-2.748046002991032	6.458637520459782	5.028384223080305	-2.249364189367539	-7.611048625432886	1.4414925364890223
49152	5.07264822662208	0.6206217466842645	6.349263009298401	5.073350782106847	-2.4654788045475775	-11.311042255956636	3.2939840956296393
98304	5.11186391289659	1.8589106507051838	5.576469459561476	5.121222790997207	3.4087687819313337	-1.640023974048745	6.022811358277977
81920	5.1510795991711	-2.44701580430592	3.4485853354214444	5.155438608010276	-0.6561893496382254	-3.797343417552838	2.4736434699789243
65536	5.190295285445609	3.2922783727626665	4.058012813584498	5.200652396867301	1.844368201333964	0.20106137361835863	4.935585200478272
32768	5.229510971720119	-8.557739694893826	5.750323671227306	5.225938780176609	-8.557739694893826	-14.308063366121132	-2.8074160236665193
16384	5.268726657994629	-1.2460587850910088	0.0	5.280964513153758	-1.2460587850910088	-1.2460587850910088	-1.2460587850910088
32768	5.307942344269139	-1.7712470704445877	2.295671858315473	5.3055105513836285	-1.7712470704445877	-4.06691892876006	0.5244247878708848
0	5.347158030543649	nan	nan	nan	nan	nan	nan
32768	5.3863737168181585	-3.0022190155377757	7.389894633095537	5.400365637914545	-3.0022190155377757	-10.392113648633313	4.387675617557761
0	5.425589403092668	nan	nan	nan	nan	nan	nan
0	5.464805089367179	nan	nan	nan	nan	nan	nan
0	5.504020775641688	nan	nan	nan	nan	nan	nan
0	5.543236461916198	nan	nan	nan	nan	nan	nan
0	5.582452148190708	nan	nan	nan	nan	nan	nan
