Count	Y Mean	Y Upper Quartile	Y Lower Quartile	Y Median	X Mean	Y Std	X Center
0	nan	nan	nan	nan	nan	nan	5098.0392156862745
0	nan	nan	nan	nan	nan	nan	5294.117647058823
0	nan	nan	nan	nan	nan	nan	5490.196078431372
0	nan	nan	nan	nan	nan	nan	5686.274509803921
0	nan	nan	nan	nan	nan	nan	5882.35294117647
0	nan	nan	nan	nan	nan	nan	6078.431372549019
0	nan	nan	nan	nan	nan	nan	6274.509803921568
0	nan	nan	nan	nan	nan	nan	6470.588235294118
0	nan	nan	nan	nan	nan	nan	6666.666666666667
0	nan	nan	nan	nan	nan	nan	6862.745098039216
0	nan	nan	nan	nan	nan	nan	7058.823529411765
0	nan	nan	nan	nan	nan	nan	7254.901960784314
0	nan	nan	nan	nan	nan	nan	7450.980392156863
0	nan	nan	nan	nan	nan	nan	7647.058823529413
0	nan	nan	nan	nan	nan	nan	7843.137254901962
0	nan	nan	nan	nan	nan	nan	8039.2156862745105
0	nan	nan	nan	nan	nan	nan	8235.29411764706
0	nan	nan	nan	nan	nan	nan	8431.372549019608
0	nan	nan	nan	nan	nan	nan	8627.450980392157
0	nan	nan	nan	nan	nan	nan	8823.529411764706
0	nan	nan	nan	nan	nan	nan	9019.607843137255
801	8106.618301479327	8104.855440390281	8104.855440390281	8104.855440390281	9295.66225488327	15.376336742104419	9215.686274509804
6938	8217.551650292353	8281.196163400635	8137.984015099042	8216.431231818251	9404.830965122881	94.12913115339856	9411.764705882353
12528	8271.59688921123	8330.25347627072	8212.404567574142	8271.294784176036	9574.341500881477	73.46680390541353	9607.843137254902
11291	8376.538350578649	8401.38856611493	8348.260235292551	8379.538010004195	9787.26720527122	55.58377013942625	9803.921568627451
4322	8523.12523679132	8594.735000627663	8455.748117466212	8500.090506182596	9987.096424491283	92.32986242444626	10000.0
4396	8544.51853464237	8574.873034009897	8496.606130248176	8525.344121270617	10186.456462325727	97.69166223480194	10196.078431372549
4233	8634.73321164558	8705.969603046193	8607.090630740933	8661.921135607316	10400.205812158873	66.32740461758249	10392.1568627451
2525	8722.181236481934	8833.152040928164	8517.78626980672	8824.354624113086	10512.728951923758	145.10440047754543	10588.235294117649
4233	8714.501900352578	8791.020131226545	8678.764641567586	8712.61516666522	10793.973631974677	57.97233879659186	10784.313725490198
1024	8844.537044534958	8844.53704453496	8844.53704453496	8844.53704453496	10906.264321294091	1.8189894035458565e-12	10980.392156862747
2048	8794.738441814583	8810.465054349683	8779.011829279487	8794.738441814585	11208.78470899589	15.726612535097955	11176.470588235296
678	8937.408389475373	8937.408389475375	8937.408389475375	8937.408389475375	11347.286803720932	1.8189894035458565e-12	11372.549019607844
2048	8926.116761645453	8955.284570172053	8896.948953118856	8926.116761645455	11499.360389482874	29.167808526598492	11568.627450980393
0	nan	nan	nan	nan	nan	nan	11764.705882352942
0	nan	nan	nan	nan	nan	nan	11960.784313725491
0	nan	nan	nan	nan	nan	nan	12156.86274509804
0	nan	nan	nan	nan	nan	nan	12352.94117647059
0	nan	nan	nan	nan	nan	nan	12549.019607843138
0	nan	nan	nan	nan	nan	nan	12745.098039215687
0	nan	nan	nan	nan	nan	nan	12941.176470588236
0	nan	nan	nan	nan	nan	nan	13137.254901960785
0	nan	nan	nan	nan	nan	nan	13333.333333333334
0	nan	nan	nan	nan	nan	nan	13529.411764705883
0	nan	nan	nan	nan	nan	nan	13725.490196078432
0	nan	nan	nan	nan	nan	nan	13921.56862745098
0	nan	nan	nan	nan	nan	nan	14117.64705882353
0	nan	nan	nan	nan	nan	nan	14313.725490196079
0	nan	nan	nan	nan	nan	nan	14509.803921568628
0	nan	nan	nan	nan	nan	nan	14705.882352941177
0	nan	nan	nan	nan	nan	nan	14901.960784313726
