Y Mean	X Center	Y Std	X Mean	Y Upper Quartile	Count	Y Lower Quartile	Y Median
7252.875410227286	3.6216678344652173	1459.889907460428	3.623409027336397	7681.16692725959	308	6285.142296374913	7005.927423490843
7272.607903129366	3.660883520739727	1580.3028117131591	3.6629095459558982	8245.269849872511	336	6109.962538956689	6944.960778974633
7295.401264038987	3.700099207014237	1377.6144972996874	3.7002637156022966	8102.1268865197635	484	6298.236846384368	7096.507515577097
7338.307405783623	3.7393148932887468	1333.3031322457384	3.7399972225414255	8109.333737277434	716	6337.791277434085	7219.91465766019
7822.9708919079985	3.778530579563257	1721.8996362280482	3.777470719733058	8776.928087435572	916	6679.808531272037	7698.624779282308
7796.330131254737	3.8177462658377666	1632.3929495392674	3.818408794284329	8828.36311182388	1252	6600.334094857811	7570.685508319099
8031.486038194501	3.856961952112276	1740.6196271896522	3.857430134249912	8998.726001235755	1568	6797.260633775486	7799.947893447506
7952.385613306375	3.896177638386786	1743.3819186827807	3.896635956934563	8936.55231203419	1968	6655.150822610772	7602.316159966138
7973.65162125746	3.9353933246612955	1656.3858863438875	3.9364163543208077	8955.58259253925	2184	6803.299889384265	7783.624122913978
7950.151900311761	3.9746090109358057	1689.44252962829	3.9752874163176446	8845.935489202222	2620	6816.937247230155	7663.391272138103
7869.275122664245	4.013824697210316	1596.8299144737014	4.014085194758943	8746.156988800254	3212	6788.706517689937	7643.913911862637
7883.1636013777015	4.053040383484825	1551.7669920781273	4.053599386766877	8706.711459943315	4196	6789.430649054792	7595.231403340836
7781.286994231997	4.092256069759335	1368.3142149353803	4.0939205775810805	8454.672374409174	5428	6882.306160691625	7581.764939654229
7668.587987056108	4.131471756033845	1215.709591016633	4.132284616001611	8238.68853881906	7448	6880.024891029137	7504.206768314861
7638.367538797613	4.170687442308354	1087.6122997486862	4.172078955987949	8140.775408289605	10832	6954.792138617916	7529.532493517041
7676.945585187063	4.209903128582864	941.8573483715936	4.210844221965977	8129.398404348481	16132	7102.515121677977	7615.452266074822
7759.5805473757655	4.249118814857374	856.8334106285324	4.250356307440121	8239.933698976369	22400	7218.03750464113	7723.728953571491
7787.316139044763	4.288334501131884	801.6716585048156	4.289041170370598	8267.384241417607	29556	7269.074193519365	7759.353228986723
7836.551863797466	4.327550187406394	753.9975762990128	4.32813751714813	8287.586207324728	34908	7356.053558214593	7809.240811699163
7878.333193407198	4.366765873680904	695.9719723430578	4.3668332452092224	8287.286345981614	39112	7437.054292092731	7855.446814731276
7909.652511663309	4.405981559955413	648.7650908996508	4.406150226419042	8310.980208138972	41584	7483.087470247654	7883.948510990749
7925.1314968284805	4.445197246229924	609.2078806706027	4.445527097565583	8294.25553505081	43768	7532.134893465258	7914.221509928993
7957.530870904886	4.4844129325044335	566.8946539650242	4.484524269688773	8317.630800473968	44224	7590.0481879083845	7944.489734123053
7992.149917829613	4.523628618778943	543.0752579314848	4.523723956200791	8336.93571712099	44772	7642.426869438858	7984.747597622855
8013.638566628425	4.562844305053453	517.1133879461637	4.562714412821252	8343.162437635488	44552	7673.209063958086	8002.928540048821
8053.673729966943	4.6020599913279625	479.22312641821026	4.602172693449154	8361.252268005239	43980	7746.7934975861435	8046.556622347967
8080.6225353481	4.641275677602472	456.7521643513237	4.6410808935803765	8376.217394961413	42828	7788.12816187801	8084.3668874220575
8116.354438479238	4.680491363876982	448.4608281228167	4.679908381951969	8394.851097398403	37340	7835.030431083614	8117.808087943647
8122.563696544342	4.7197070501514915	413.48044846752407	4.7195183511871095	8382.53146395799	33328	7859.284622813474	8119.910272293936
8137.792293907567	4.758922736426001	382.62715052081296	4.759162762928455	8383.734141320914	35320	7897.181941312627	8140.796531598446
8147.290675024794	4.798138422700512	346.542344745699	4.798643686027818	8374.25318157385	41884	7924.512425691118	8156.320730945379
8191.717738389844	4.837354108975021	327.3609704425078	4.837339014485142	8402.747574316794	44148	7981.210564433236	8194.823919373157
8209.76534454437	4.876569795249531	312.8391913951239	4.877325620076906	8416.834098798054	48628	8013.0794661024	8211.462990215932
8250.272232986395	4.915785481524041	312.23171454888643	4.916106628842833	8452.933838628083	56224	8055.962581711445	8262.803356080589
8264.134824280927	4.955001167798551	311.14686935474464	4.954855401180291	8471.714344609167	57884	8072.920826152606	8275.522768321664
8249.72903090074	4.994216854073061	309.5834213046424	4.994469248270221	8453.893487123414	56324	8054.826787287739	8257.279882973462
8247.461395997647	5.033432540347571	299.7996555928945	5.033835124508883	8443.27242641665	64348	8056.544116054946	8251.594885173949
8267.090607761435	5.07264822662208	293.3041339784011	5.0723224935232505	8461.0223426266	65752	8075.793982157619	8267.003122045164
8301.197345882894	5.11186391289659	294.958327623627	5.111541339996809	8495.291425634183	59484	8114.424866137423	8302.245210223658
8331.665509270164	5.1510795991711	296.5566376987061	5.151052733829309	8526.51457944735	56416	8135.756085978436	8324.358601691321
8353.314068736483	5.190295285445609	290.9738785242347	5.189602270405521	8541.478600583241	51384	8165.955589586491	8344.744053965454
8356.885922304195	5.229510971720119	281.5940345212934	5.2289925301554785	8527.073100438634	42772	8175.088646148316	8344.916800902121
8388.83442692712	5.268726657994629	286.54749580750854	5.267732587437275	8558.759411921157	34292	8217.03466091027	8377.35173663718
8451.792079371296	5.307942344269139	305.9043792608763	5.306452251386203	8631.864175720355	23200	8262.235629418485	8442.256361154614
8506.7905250052	5.347158030543649	318.69738622915696	5.3466720586548595	8668.907844902846	16456	8323.028804870624	8485.861682353592
8532.186225997759	5.3863737168181585	307.5363449917068	5.38576703506425	8686.975642506923	13700	8352.727830140044	8501.238956008832
8560.801767527744	5.425589403092668	325.6103733654092	5.424378691699568	8702.407652928696	10040	8365.711715858883	8517.860189662253
8561.330938447558	5.464805089367179	349.7469542874939	5.463197099018937	8681.259201373454	5368	8374.793974047663	8526.581645916904
8709.659487034785	5.504020775641688	503.6897304141025	5.500423605843878	8802.788080032376	2564	8456.514385190247	8603.215984396187
9071.489958972732	5.543236461916198	797.6704987490805	5.539343795572477	9400.159615816256	668	8578.318414919913	8799.207322280841
9713.61898965713	5.582452148190708	1234.9478434917983	5.581449697267776	10460.673400799233	324	8721.926919763682	9318.876950522304
