Y Median	X Mean	Y Mean	Count	Y Std	Y Lower Quartile	X Center	Y Upper Quartile
nan	nan	nan	0	nan	nan	3.6216678344652173	nan
nan	nan	nan	0	nan	nan	3.660883520739727	nan
nan	nan	nan	0	nan	nan	3.700099207014237	nan
nan	nan	nan	0	nan	nan	3.7393148932887468	nan
nan	nan	nan	0	nan	nan	3.778530579563257	nan
nan	nan	nan	0	nan	nan	3.8177462658377666	nan
nan	nan	nan	0	nan	nan	3.856961952112276	nan
nan	nan	nan	0	nan	nan	3.896177638386786	nan
nan	nan	nan	0	nan	nan	3.9353933246612955	nan
nan	nan	nan	0	nan	nan	3.9746090109358057	nan
nan	nan	nan	0	nan	nan	4.013824697210316	nan
nan	nan	nan	0	nan	nan	4.053040383484825	nan
nan	nan	nan	0	nan	nan	4.092256069759335	nan
nan	nan	nan	0	nan	nan	4.131471756033845	nan
nan	nan	nan	0	nan	nan	4.170687442308354	nan
nan	nan	nan	0	nan	nan	4.209903128582864	nan
nan	nan	nan	0	nan	nan	4.249118814857374	nan
nan	nan	nan	0	nan	nan	4.288334501131884	nan
nan	nan	nan	0	nan	nan	4.327550187406394	nan
nan	nan	nan	0	nan	nan	4.366765873680904	nan
nan	nan	nan	0	nan	nan	4.405981559955413	nan
nan	nan	nan	0	nan	nan	4.445197246229924	nan
nan	nan	nan	0	nan	nan	4.4844129325044335	nan
nan	nan	nan	0	nan	nan	4.523628618778943	nan
nan	nan	nan	0	nan	nan	4.562844305053453	nan
nan	nan	nan	0	nan	nan	4.6020599913279625	nan
5.509077902610443	4.636020390241945	5.509077902610443	164	0.0	5.509077902610443	4.641275677602472	5.509077902610443
nan	nan	nan	0	nan	nan	4.680491363876982	nan
nan	nan	nan	0	nan	nan	4.7197070501514915	nan
nan	nan	nan	0	nan	nan	4.758922736426001	nan
nan	nan	nan	0	nan	nan	4.798138422700512	nan
nan	nan	nan	0	nan	nan	4.837354108975021	nan
0.5858530430687097	4.8839211655654635	0.5858530430687097	8291	0.0	0.5858530430687097	4.876569795249531	0.5858530430687097
nan	nan	nan	0	nan	nan	4.915785481524041	nan
nan	nan	nan	0	nan	nan	4.955001167798551	nan
nan	nan	nan	0	nan	nan	4.994216854073061	nan
nan	nan	nan	0	nan	nan	5.033432540347571	nan
0.7973343620851665	5.068933039134718	0.8193683892309473	41013	0.1942493760985818	0.7973343620851665	5.07264822662208	0.7973343620851665
nan	nan	nan	0	nan	nan	5.11186391289659	nan
nan	nan	nan	0	nan	nan	5.1510795991711	nan
-2.714167233192711	5.189542896814075	-2.714167233192711	7316	0.0	-2.714167233192711	5.190295285445609	-2.714167233192711
nan	nan	nan	0	nan	nan	5.229510971720119	nan
-3.5263050917874352	5.257531702376114	-3.5263050917874352	281	0.0	-3.5263050917874352	5.268726657994629	-3.5263050917874352
nan	nan	nan	0	nan	nan	5.307942344269139	nan
nan	nan	nan	0	nan	nan	5.347158030543649	nan
nan	nan	nan	0	nan	nan	5.3863737168181585	nan
nan	nan	nan	0	nan	nan	5.425589403092668	nan
nan	nan	nan	0	nan	nan	5.464805089367179	nan
nan	nan	nan	0	nan	nan	5.504020775641688	nan
nan	nan	nan	0	nan	nan	5.543236461916198	nan
nan	nan	nan	0	nan	nan	5.582452148190708	nan
