Y Median	X Mean	Y Std	Y Mean	Count	Y Lower Quartile	Y Upper Quartile	X Center
nan	nan	nan	nan	0	nan	nan	3.6216678344652173
nan	nan	nan	nan	0	nan	nan	3.660883520739727
nan	nan	nan	nan	0	nan	nan	3.700099207014237
nan	nan	nan	nan	0	nan	nan	3.7393148932887468
nan	nan	nan	nan	0	nan	nan	3.778530579563257
nan	nan	nan	nan	0	nan	nan	3.8177462658377666
nan	nan	nan	nan	0	nan	nan	3.856961952112276
nan	nan	nan	nan	0	nan	nan	3.896177638386786
nan	nan	nan	nan	0	nan	nan	3.9353933246612955
nan	nan	nan	nan	0	nan	nan	3.9746090109358057
nan	nan	nan	nan	0	nan	nan	4.013824697210316
nan	nan	nan	nan	0	nan	nan	4.053040383484825
nan	nan	nan	nan	0	nan	nan	4.092256069759335
nan	nan	nan	nan	0	nan	nan	4.131471756033845
nan	nan	nan	nan	0	nan	nan	4.170687442308354
nan	nan	nan	nan	0	nan	nan	4.209903128582864
nan	nan	nan	nan	0	nan	nan	4.249118814857374
nan	nan	nan	nan	0	nan	nan	4.288334501131884
nan	nan	nan	nan	0	nan	nan	4.327550187406394
nan	nan	nan	nan	0	nan	nan	4.366765873680904
nan	nan	nan	nan	0	nan	nan	4.405981559955413
0.3068766765228927	4.4487508707866725	0.0	0.3068766765228927	1	0.3068766765228927	0.3068766765228927	4.445197246229924
nan	nan	nan	nan	0	nan	nan	4.4844129325044335
-0.4739746555201467	4.536030590096013	0.0	-0.4739746555201467	1	-0.4739746555201467	-0.4739746555201467	4.523628618778943
nan	nan	nan	nan	0	nan	nan	4.562844305053453
-0.6272897798829609	4.6121479139434065	0.6111688604620924	-0.7117284836153506	8	-1.370202004117746	-0.21827704477106968	4.6020599913279625
0.033304713760696075	4.644140877212252	0.6492755782871263	0.04796421343203129	21	-0.2639965397672519	0.5660335238116292	4.641275677602472
0.0441960308036531	4.684794215304886	0.6428647664847206	0.030277778225475963	60	-0.40000011163686694	0.3408428555693615	4.680491363876982
-0.06675040576698013	4.724508953516145	0.6598011271406362	-0.07091744814561131	212	-0.561608908198374	0.36517175878921987	4.7197070501514915
-0.04359926369377386	4.762191674468189	0.6723936845620448	-0.06513441042023459	570	-0.58456796304884	0.38692181112842233	4.758922736426001
-0.07677810217924441	4.799633603673262	0.6678616679541314	-0.06631914121613579	1152	-0.5087795939052079	0.35010336988309415	4.798138422700512
-0.049048234492598417	4.838174196362022	0.6479880448459527	-0.054461680562230434	1764	-0.5136553428454214	0.3790413718928739	4.837354108975021
-0.05549414528160511	4.87709647076628	0.6730931039075326	-0.07735236906408424	2178	-0.5492634631294935	0.36208635563213315	4.876569795249531
-0.057985111625692407	4.916439035193659	0.6523436718231609	-0.05884640809757014	2716	-0.5000472158183744	0.37816412983238523	4.915785481524041
-0.03936127586471553	4.954937849366576	0.6409014179989839	-0.057710616385526624	2845	-0.4806381002549247	0.35952272309114214	4.955001167798551
-0.05910688155166666	4.9944670488746645	0.632111009700805	-0.07473974515713817	2968	-0.4811043455213186	0.339599136778485	4.994216854073061
-0.05358762903495173	5.03383397854908	0.6264518475928641	-0.06543173219783241	3272	-0.4742412318734847	0.3381740608739514	5.033432540347571
-0.0407274441956016	5.071777091301227	0.6112914110833253	-0.06840795885154809	2969	-0.4548626177181259	0.3150545395866935	5.07264822662208
-0.08217350222938305	5.111100075500121	0.5911773054474709	-0.09273309516370071	2234	-0.46602793228144773	0.2736260222863325	5.11186391289659
-0.058461859667850107	5.150288242270519	0.5766147281250183	-0.06832352024003341	1861	-0.43635427147898387	0.3070319773624033	5.1510795991711
-0.07937274995917121	5.190885677273384	0.5438831840318733	-0.09000764393749283	1576	-0.41201529675063875	0.28092278810260085	5.190295285445609
-0.06238153924272888	5.229885698871705	0.5235407472038809	-0.08810302127521759	1691	-0.4029628498567732	0.24056666323280584	5.229510971720119
-0.041819551101248464	5.2686083811835385	0.47832015961226787	-0.06748274731128462	1542	-0.3403809944098871	0.23835941811830816	5.268726657994629
-0.06640632364101375	5.3075693284454655	0.4548343125302395	-0.08171972110581763	1476	-0.32547910170767275	0.18869422535079294	5.307942344269139
-0.04429696565065686	5.346702148237841	0.43780875466502744	-0.06279230758740871	1282	-0.30645226743545195	0.20562066606111093	5.347158030543649
-0.05433308694047703	5.385534640701786	0.411620799250158	-0.07442205464413867	1144	-0.32600750482790253	0.1784782566647019	5.3863737168181585
-0.049115607875219056	5.422480605821084	0.41296501924730084	-0.06482812494752488	634	-0.30720665655695756	0.18404447703166954	5.425589403092668
-0.10778450483407194	5.459010204883585	0.3893350986898397	-0.11608221798860166	195	-0.3269556614902036	0.15854588306219108	5.464805089367179
-0.03596268603105024	5.50002090299524	0.3570788938747391	0.03219250769269116	41	-0.1631280135682483	0.17586921077668188	5.504020775641688
0.03579545106002159	5.53455806190035	0.1863048879514141	0.05209057779811044	5	-0.03240610142310277	0.2252075567555369	5.543236461916198
0.34739232285677696	5.567837680037474	0.2563743686886752	0.34739232285677696	2	0.21920513851243936	0.4755795072011145	5.582452148190708
