Y Median	Count	Y Std	X Mean	Y Mean	Y Upper Quartile	Y Lower Quartile	X Center
nan	0	nan	nan	nan	nan	nan	5098.0392156862745
nan	0	nan	nan	nan	nan	nan	5294.117647058823
nan	0	nan	nan	nan	nan	nan	5490.196078431372
nan	0	nan	nan	nan	nan	nan	5686.274509803921
8256.774097875026	8	144.44129985009567	5959.066210969764	8256.774097875026	8401.215397725122	8112.3327980249305	5882.35294117647
8238.878622301172	4	0.0	6043.581501985855	8238.878622301172	8238.878622301172	8238.878622301172	6078.431372549019
7952.512965360482	4	0.0	6180.481254562267	7952.512965360482	7952.512965360482	7952.512965360482	6274.509803921568
8334.112139566767	4	0.0	6562.340336669948	8334.112139566767	8334.112139566767	8334.112139566767	6470.588235294118
nan	0	nan	nan	nan	nan	nan	6666.666666666667
8256.94337125477	8	419.75638632530945	6929.239334663691	8256.94337125477	8676.69975758008	7837.186984929461	6862.745098039216
8231.164046708778	64	202.01706092570106	7068.438798113799	8256.962883244294	8424.669298795798	8088.302786781582	7058.823529411765
8220.48782356466	40	343.2833197912601	7288.9677907787745	8179.834445188751	8461.634553458394	7787.663880382645	7254.901960784314
8123.169317478968	63	206.47508793261474	7441.504469710954	8076.847703630883	8213.391105926708	7953.858944727948	7450.980392156863
8255.72992791883	110	267.4703090799079	7652.880956931096	8226.045560660958	8420.5721569588	8025.579153824731	7647.058823529413
8180.20564862344	181	279.6083776875237	7833.015310830765	8148.246558233748	8325.813131373905	7946.073315245358	7843.137254901962
8163.844551478977	291	271.8740921831229	8034.574459837385	8183.408231750379	8376.980092742302	7995.379801807203	8039.2156862745105
8163.1466521559905	486	289.41722226106674	8233.517991071285	8161.274809800069	8350.798115385858	7954.200090608044	8235.29411764706
8204.634331475618	731	267.7141560251121	8436.978301000856	8217.501368972971	8382.649593194825	8010.704556615478	8431.372549019608
8191.348838616838	1049	271.24548925253936	8632.087479827036	8204.374780502687	8397.173243198311	8026.401373438937	8627.450980392157
8230.336497716728	1391	284.0490960271956	8831.912151415025	8224.464308903285	8401.498144430616	8032.303615358223	8823.529411764706
8252.981807392647	2099	297.0791368699435	9022.416208949659	8251.424322353414	8445.693340910177	8064.163609795209	9019.607843137255
8280.96163341745	2644	273.7656631107003	9216.575773687695	8277.454398404214	8441.28452179794	8108.054395778353	9215.686274509804
8308.601107109873	3623	286.48576070987633	9416.164363809483	8286.169928156045	8476.74439194054	8107.003999292859	9411.764705882353
8317.045539966504	4010	303.36082288706694	9610.018993681917	8301.910064743395	8499.035812342472	8113.178752300132	9607.843137254902
8355.300625443508	4655	298.1443301932804	9807.000044649663	8363.321554540527	8572.534090811827	8162.344622094711	9803.921568627451
8426.03063563467	4997	330.64328236133053	10002.62891727214	8407.733202156001	8640.033290039408	8199.756107507952	10000.0
8484.9225114963	4926	337.4741530186152	10196.37622959805	8465.760274863902	8699.293749354467	8256.756934937526	10196.078431372549
8497.857828590115	4591	321.09108957269	10388.742343499925	8493.463296210573	8728.213149997338	8272.22821956214	10392.1568627451
8554.957041687865	3781	338.22109737857863	10583.849257073944	8540.648619694992	8781.091396515834	8340.45746603959	10588.235294117649
8648.33478770086	3015	333.80555836994654	10779.190226121802	8609.411363521536	8848.342949644482	8384.417155036399	10784.313725490198
8662.20152164934	2273	338.1186924300982	10977.469075611465	8615.45489317055	8881.202017149746	8387.40412005091	10980.392156862747
8721.621908951509	1468	328.6112637692569	11174.45810622443	8677.80152102831	8899.05304151297	8483.614169229306	11176.470588235296
8746.547934391228	988	303.4817239441751	11366.210820333563	8724.732819092807	8946.905728740028	8558.910004927933	11372.549019607844
8790.01620618089	683	331.3852294141156	11549.596592727245	8750.23685692043	8990.403190912612	8542.52641789179	11568.627450980393
8830.862506075899	382	260.6205024823602	11752.249527609905	8807.887027206607	8976.22869842665	8653.142191130031	11764.705882352942
8858.507768766602	313	326.6016058003158	11933.870695742553	8820.84214198667	9068.611432632282	8581.36351533942	11960.784313725491
8874.785627572799	186	260.5672259125541	12158.416142310507	8842.201661648769	9028.596318819542	8673.681214323447	12156.86274509804
8917.957275884724	141	248.94686850662129	12359.104945261352	8868.059352632048	9048.481728287352	8707.562985783376	12352.94117647059
8960.428876650198	76	233.57017402237756	12552.14416128605	8908.139109697237	9090.104872603808	8792.006885798271	12549.019607843138
8913.197096766897	56	376.0058280293579	12710.197793686992	8825.123347532146	9087.400049350183	8699.852331614056	12745.098039215687
9057.096258030026	28	201.93587698311183	12932.032776640362	9108.251923704342	9296.147421792075	8901.78524449044	12941.176470588236
8996.622158719438	16	267.72747564956643	13103.808193681982	8918.120441356772	9139.53194611622	8775.21065395999	13137.254901960785
9047.858890556585	16	152.16075693839227	13302.572475257366	8995.50131487587	9100.859229881939	8942.500975550516	13333.333333333334
8161.860371427352	4	0.0	13449.546007594829	8161.860371427352	8161.860371427352	8161.860371427352	13529.411764705883
8509.912935787574	12	115.03746506890074	13716.489074385388	8548.7933346898	8705.04239163969	8431.424676642137	13725.490196078432
nan	0	nan	nan	nan	nan	nan	13921.56862745098
nan	0	nan	nan	nan	nan	nan	14117.64705882353
nan	0	nan	nan	nan	nan	nan	14313.725490196079
nan	0	nan	nan	nan	nan	nan	14509.803921568628
nan	0	nan	nan	nan	nan	nan	14705.882352941177
nan	0	nan	nan	nan	nan	nan	14901.960784313726
