Y Median	Y Lower Quartile	Y Mean	Count	X Mean	Y Upper Quartile	X Center	Y Std
629.0020186622924	153.81105409614338	1068.41868914696	192	3.6265444086515237	1619.6543670190863	3.6216678344652173	1755.396785373966
103.70112269274796	-201.2151713190549	415.0845640472524	320	3.661083245287828	903.8116268807732	3.660883520739727	1285.702435102581
19.56175564325713	-449.7014289110848	360.48172831779203	624	3.7030405138381397	794.934093964901	3.700099207014237	1647.3292647434428
105.1337459019428	-522.2548024467251	105.16829289401666	736	3.738135342770794	553.350602348959	3.7393148932887468	751.5962084276096
134.8302178903832	-335.7156917149796	281.3341529420546	1424	3.7797054867668005	735.3072356820012	3.778530579563257	1179.1362900541526
102.18800302852833	-337.03314939351003	189.15701177657726	1472	3.821000597425824	664.5189973672987	3.8177462658377666	1275.6945321869305
98.97933017083051	-221.47506914406299	227.34240620623655	2176	3.8583789932460024	542.2570157986088	3.856961952112276	894.0241719888112
174.12531679881963	-124.77542157592461	322.8686571346205	2112	3.895507514489652	634.1968466992719	3.896177638386786	773.1441909658773
234.59936419751102	-172.0159214076557	432.9151603869232	3024	3.937145800385339	859.0703710486923	3.9353933246612955	1035.0509201298216
96.1698469049129	-199.37456377077342	308.95957494279196	3328	3.9771517801727216	663.2402174198155	3.9746090109358057	1138.9837697667401
78.64032772867722	-196.43363440891426	270.18085095299716	4016	4.01374577721288	615.45734266819	4.013824697210316	959.0038610753323
52.07510701553747	-184.79209974213154	158.64419342028074	4592	4.052889585793278	462.9640084109287	4.053040383484825	952.1746163237123
110.52973831235977	-212.0152419134629	234.91115635793906	5584	4.092873475307563	411.39872747447953	4.092256069759335	790.1742955305929
6.856431290627825	-195.16481184855274	155.0685731897083	7968	4.133254265322987	335.06636555930163	4.131471756033845	787.78301278942
19.119353043830415	-159.01874971492634	128.961358150731	13392	4.171882247153894	259.2387958236077	4.170687442308354	625.7215801796841
36.50898175135674	-142.0828455167848	134.7724333069499	22944	4.212065622742012	256.8950928314698	4.209903128582864	694.9714750172175
12.8193409406922	-157.72820592114022	95.13784523237673	34144	4.250247841200355	199.90187659606818	4.249118814857374	562.6081060783018
24.0773504156914	-142.30252045564157	137.55828410366968	45712	4.289054380881089	232.53429148659143	4.288334501131884	605.6770921284472
19.909915019698474	-126.17405440390007	98.20517551218933	53312	4.328217353708107	189.56545243632536	4.327550187406394	565.2146007863848
11.918316694846908	-127.98324169082298	93.49755913568929	57328	4.366569376227479	177.8271715728706	4.366765873680904	497.6541260209512
12.608735947996138	-121.57414079795763	82.10088910584567	59536	4.406373681453846	161.060731249514	4.405981559955413	506.20900990645794
11.515268244812546	-107.47831865468834	79.95598961453447	64592	4.445362057011463	142.94154875283675	4.445197246229924	456.53184482295944
10.254332416012403	-106.84696748869737	76.3423714799834	64432	4.484477959508462	140.15689721863237	4.4844129325044335	439.6244310733893
11.246746445606732	-99.66369496402513	67.66594164155974	65792	4.523647351753322	139.52774446020294	4.523628618778943	464.09648287750565
6.279249705245093	-98.85890673726044	58.01706841956193	64160	4.562489559416868	115.52685465107061	4.562844305053453	426.4228399927529
4.124822880869488	-94.47440083548804	49.30683215625686	63488	4.601819293248039	107.1833601433425	4.6020599913279625	432.2984812317738
5.937180712123336	-92.41667890228837	43.371324427743765	63184	4.641258188907638	100.92924700455023	4.641275677602472	380.51344595607185
3.8856223663769924	-87.32260415413111	43.36568401233472	51952	4.679789873683932	95.93738771943208	4.680491363876982	360.0239200586765
-1.9543801824593174	-86.30954101876887	11.551763725179043	45808	4.7197812143209426	84.49952488647068	4.7197070501514915	370.6983514413947
-1.5133858132030582	-70.47339430691864	19.61520386905227	46576	4.7594479517482835	77.30241018095694	4.758922736426001	295.1911204942263
-5.7333009932954155	-80.43530079945867	10.249994985364708	57264	4.798774841730147	67.7863348343999	4.798138422700512	248.9880237712369
-3.166741057607396	-66.49879819114176	8.680050133854447	57744	4.836734155367757	66.16356998791525	4.837354108975021	218.3524932960584
-4.6596252772887965	-67.80167571469428	0.9810427512919905	61776	4.877181389648366	59.11594189085372	4.876569795249531	165.22916458649735
-2.5556277606992808	-62.42534662212347	-5.349915601081396	71408	4.916068922710526	55.8794318460059	4.915785481524041	171.4792200567384
-1.6318710702998942	-62.008867017817465	-6.206100013881913	71472	4.954963893366428	53.06118543258526	4.955001167798551	170.75055558648705
-4.447914966034659	-58.41380847883556	-5.832965511667501	65776	4.994476223850299	51.04821260562221	4.994216854073061	139.6350237966868
-2.939104411777862	-54.4462464369517	-4.9047373695363445	75808	5.033956045202559	47.32500439041178	5.033432540347571	110.62361739497211
-1.6666435675697358	-49.14264271859133	-4.466092147957287	73280	5.072446716379119	45.46916551741015	5.07264822662208	123.68783099913395
-4.31230233887527	-49.48429657038014	-4.989998319560964	65280	5.111245924746425	43.05811662048677	5.11186391289659	90.72254527943502
-2.3567153166382013	-46.2755778161536	-5.809165486225736	61344	5.151023787266301	42.710034062400155	5.1510795991711	98.31420400715683
-0.46789617390322746	-43.127422187559205	-3.4673272893050546	54816	5.18967638620574	39.6866560776798	5.190295285445609	150.1740950976236
-0.721166124641968	-45.560488284623716	-4.788875163443114	45200	5.229003277007569	42.72578972554402	5.229510971720119	116.1035081615232
-1.8586408657192806	-47.77583209158729	-5.855060351472128	35504	5.267268294162246	38.37152547226651	5.268726657994629	118.6786287328923
-1.7050712554637357	-44.16571066011625	-4.945945933639116	24896	5.305830124215899	37.489143719481945	5.307942344269139	73.93146728604736
