[S III] Delta T	T1	T2	T3
-4901.9607843137255	396523458.80160636	351316126.63350636	311684459.544992
-4705.882352941177	316636523.2615002	252903132.1208802	252270968.90450132
-4509.803921568628	290108345.2717669	183816191.02817672	176212155.2019754
-4313.725490196079	206547092.35044235	132335474.66986236	153684052.27611935
-4117.64705882353	183514163.0778932	120820129.26822582	151676345.64509448
-3921.5686274509803	151006094.3737891	77128181.61635806	105603535.02540842
-3725.490196078431	122584206.2392787	90220429.01938483	114269713.3556813
-3529.411764705882	140781227.8414315	60308637.872899234	129160246.19251777
-3333.333333333333	129239443.02876113	81996244.97423434	123593460.33987913
-3137.254901960784	134682737.02391136	98034219.85108243	108537564.29888108
-2941.176470588235	147653189.81778687	79588538.98913108	100961324.9994415
-2745.098039215686	149987308.81796303	116832995.11560714	138955528.68236685
-2549.0196078431372	206695684.062955	106682923.58166815	156872928.83029482
-2352.9411764705883	235655378.95649227	133520239.22319013	175102203.07280108
-2156.862745098039	275371330.97569263	136164140.1781503	195078188.42396247
-1960.78431372549	343396402.2605807	176067675.3155686	227754733.88091472
-1764.705882352941	531952155.7257025	180486382.11161134	304379749.7154174
-1568.627450980392	825947661.2350231	242855145.12872943	192546638.24139398
-1372.5490196078429	1322424091.9349308	333099773.3316119	316951897.1553227
-1176.4705882352937	2421432044.0910916	493207591.24058735	459846507.67460406
-980.3921568627447	4559506659.858608	1377234971.8315518	1093524431.7471247
-784.3137254901958	9363139662.063423	3844259608.898122	2837613894.9192114
-588.2352941176468	18486322195.155804	12198129590.933668	8255927799.257954
-392.1568627450979	34950211924.0679	35144657181.87206	27902280906.443542
-196.07843137254895	54140827181.900795	78100999319.03732	81997292249.37427
0.0	69116544270.82578	106902449941.6955	126150728066.18475
196.0784313725494	56776917914.910385	77164096989.27557	79895770714.15756
392.1568627450988	35656565199.76436	33903403050.14507	26987863325.70844
588.2352941176478	21260968550.766495	12704257834.692192	7711271560.459208
784.3137254901967	13299417109.498335	5808788641.396542	3082387152.003545
980.3921568627457	9357235870.463133	3611715919.264955	1773413089.606648
1176.4705882352946	7632153357.358164	2970275698.2714424	1217262200.8642664
1372.5490196078435	6529964849.432792	2648030816.4427247	1013988020.4841511
1568.6274509803925	5730277369.833879	2296443324.4344406	846197404.4886605
1764.7058823529414	5089021717.37225	2102794640.41776	696908680.111355
1960.7843137254904	4276279502.0200806	1663921034.619883	505976156.36971205
2156.8627450980393	3424148764.9983854	1121260858.737997	427193389.2960971
2352.9411764705887	2641345538.6848125	785159365.0226274	327780387.101465
2549.019607843138	1874506126.9332747	466451131.7078885	220341895.45956036
2745.098039215687	1438252761.1515374	366556233.0165365	281483136.1672386
2941.176470588236	1002098715.7921396	243492785.36289147	177576625.22567308
3137.254901960785	685188467.552028	157438305.01979074	218583006.85346285
3333.333333333334	488961063.8921744	118664869.67606688	86911239.64895597
3529.411764705883	380936229.3657349	77214694.91571753	114682579.68630362
3725.490196078432	289024579.43486726	53500626.63144235	64324261.049162164
3921.568627450981	241722322.3208157	69350438.66473262	70505224.18994632
4117.64705882353	213719740.39155385	66857522.28410296	96235751.28624386
4313.725490196079	220321219.7710065	108201713.58369216	97610389.26795192
4509.803921568628	231726867.7832119	117613345.52009435	122319831.08579579
4705.882352941177	270306424.75791323	140252733.0701208	132385506.8908903
4901.9607843137255	292181878.1472797	141832556.89963895	152174879.11100668
