log10[ N([Cl III]) ]	T1	T2	T3
2.0294117647058822	0.0	0.0	0.0
2.0882352941176467	0.0	0.0	0.0
2.1470588235294117	0.0	0.0	0.0
2.2058823529411766	0.0	0.0	0.0
2.264705882352941	0.0	0.0	0.0
2.3235294117647056	0.0	0.0	0.0
2.3823529411764706	0.0	0.0	0.0
2.4411764705882355	0.0	0.0	0.0
2.5	0.0	0.0	0.0
2.5588235294117645	0.0	0.0	0.0
2.6176470588235294	0.0	0.0	0.0
2.6764705882352944	0.0	0.0	0.0
2.735294117647059	0.0	0.0	0.0
2.7941176470588234	0.0	0.0	0.0
2.852941176470588	0.0	0.0	0.0
2.9117647058823533	0.0	0.0	0.0
2.9705882352941178	0.0	0.0	0.0
3.0294117647058822	0.0	0.0	0.0
3.0882352941176467	0.0	0.0	0.0
3.147058823529412	0.0	0.0	0.0
3.2058823529411766	0.0	0.0	0.0
3.264705882352941	0.0	0.0	0.0
3.3235294117647056	0.0	0.0	0.0
3.3823529411764706	46206.73046875	0.0	0.0
3.4411764705882355	16274852.479980469	45493.0078125	0.0
3.5	6863551.337890625	8418507.090820312	0.0
3.5588235294117645	34426258.599609375	36711561.171875	51601.79296875
3.617647058823529	19124883.099609375	8768397.989257812	12619569.366210938
3.6764705882352944	36997075.119628906	28046060.158203125	0.0
3.735294117647059	49550828.19921875	24791313.747070312	88058.87890625
3.7941176470588234	34078974.609375	22719093.36328125	12719975.505859375
3.852941176470588	8183135.3828125	18875180.66796875	2009491.9599609375
3.9117647058823533	0.0	35181234.29296875	31030314.521484375
3.9705882352941178	0.0	13416169.741210938	0.0
4.029411764705882	0.0	14880711.44921875	43155621.353515625
4.088235294117647	0.0	11139192.890625	13706159.0
4.147058823529411	0.0	0.0	27351545.05078125
4.205882352941176	0.0	0.0	49749475.0
4.264705882352941	0.0	0.0	0.0
4.3235294117647065	0.0	0.0	0.0
4.382352941176471	0.0	0.0	0.0
4.4411764705882355	0.0	0.0	0.0
4.5	0.0	0.0	0.0
4.5588235294117645	0.0	0.0	0.0
4.617647058823529	0.0	0.0	0.0
4.6764705882352935	0.0	0.0	0.0
4.735294117647059	0.0	0.0	0.0
4.794117647058823	0.0	0.0	0.0
4.852941176470589	0.0	0.0	0.0
4.911764705882353	0.0	0.0	0.0
4.970588235294118	0.0	0.0	0.0
