log10[ N([S II]) ]	T1	T2	T3
2.0294117647058822	0.0	0.0	0.0
2.0882352941176467	0.0	0.0	0.0
2.1470588235294117	0.0	0.0	0.0
2.2058823529411766	0.0	0.0	0.0
2.264705882352941	0.0	0.0	0.0
2.3235294117647056	0.0	0.0	0.0
2.3823529411764706	0.0	0.0	0.0
2.4411764705882355	0.0	0.0	0.0
2.5	0.0	0.0	0.0
2.5588235294117645	0.0	0.0	0.0
2.6176470588235294	0.0	0.0	0.0
2.6764705882352944	0.0	0.0	0.0
2.735294117647059	0.0	0.0	0.0
2.7941176470588234	0.0	0.0	0.0
2.852941176470588	0.0	0.0	0.0
2.9117647058823533	0.0	0.0	0.0
2.9705882352941178	0.0	0.0	0.0
3.0294117647058822	0.0	358951.0	0.0
3.0882352941176467	820250.625	1013357.90625	0.0
3.147058823529412	5712655.6953125	2449286.4375	0.0
3.2058823529411766	30682106.4296875	7574373.359375	0.0
3.264705882352941	101828502.03125	27359981.234375	0.0
3.3235294117647056	202977658.7734375	55210287.5625	0.0
3.3823529411764706	294811448.734375	90948814.1953125	0.0
3.4411764705882355	339981294.80078125	141413855.140625	0.0
3.5	341748420.0859375	197029902.25	1640390.4375
3.5588235294117645	250132584.90625	245668474.0234375	4375422.625
3.617647058823529	148556992.671875	266348136.5	25640766.3515625
3.6764705882352944	88886598.0078125	258808682.3671875	64745548.21875
3.735294117647059	42931985.9765625	209230680.96875	122523028.21875
3.7941176470588234	14586924.171875	185187324.34375	231270718.890625
3.852941176470588	5601426.5546875	119912908.890625	245041405.640625
3.9117647058823533	2418982.6875	64555495.71875	310483723.734375
3.9705882352941178	578344.65625	31057087.0625	288109439.375
4.029411764705882	823347.03125	15312130.375	223683037.203125
4.088235294117647	0.0	5272802.8125	144311720.921875
4.147058823529411	0.0	3722131.4375	92030896.5
4.205882352941176	0.0	1418139.5625	57221184.4375
4.264705882352941	0.0	0.0	33477280.203125
4.3235294117647065	0.0	0.0	12142158.375
4.382352941176471	0.0	497937.6875	6376256.0
4.4411764705882355	0.0	0.0	4820237.875
4.5	0.0	0.0	3778368.875
4.5588235294117645	0.0	0.0	1561042.75
4.617647058823529	301404.375	0.0	0.0
4.6764705882352935	0.0	0.0	0.0
4.735294117647059	0.0	0.0	0.0
4.794117647058823	0.0	0.0	0.0
4.852941176470589	0.0	0.0	0.0
4.911764705882353	0.0	0.0	0.0
4.970588235294118	0.0	0.0	0.0
