X Mean	Y Std	Count	Y Upper Quartile	X Center	Y Median	Y Mean	Y Lower Quartile
nan	nan	0	nan	3.6216678344652173	nan	nan	nan
nan	nan	0	nan	3.660883520739727	nan	nan	nan
nan	nan	0	nan	3.700099207014237	nan	nan	nan
nan	nan	0	nan	3.7393148932887468	nan	nan	nan
nan	nan	0	nan	3.778530579563257	nan	nan	nan
nan	nan	0	nan	3.8177462658377666	nan	nan	nan
nan	nan	0	nan	3.856961952112276	nan	nan	nan
nan	nan	0	nan	3.896177638386786	nan	nan	nan
nan	nan	0	nan	3.9353933246612955	nan	nan	nan
nan	nan	0	nan	3.9746090109358057	nan	nan	nan
4.030332545147346	5.204170427930421e-18	65536	0.011264563977240231	4.013824697210316	0.011264563977240231	0.011264563977240237	0.011264563977240231
4.035995219445283	0.0	65536	-0.04128572088416061	4.053040383484825	-0.04128572088416061	-0.04128572088416061	-0.04128572088416061
nan	nan	0	nan	4.092256069759335	nan	nan	nan
nan	nan	0	nan	4.131471756033845	nan	nan	nan
nan	nan	0	nan	4.170687442308354	nan	nan	nan
nan	nan	0	nan	4.209903128582864	nan	nan	nan
4.248011396452068	0.026616051636303883	131072	0.017333938907357908	4.249118814857374	-0.009282112728945973	-0.009282112728945968	-0.035898164365249854
4.290271356913934	0.013391302740724417	131072	0.007697825529564542	4.288334501131884	-0.0056934772111598775	-0.005693477211159876	-0.019084779951884297
4.330415293906231	0.01035800634721437	262144	-0.0007348932153332674	4.327550187406394	-0.00549743561429871	-0.006574654466048658	-0.0113371968650141
4.3683107553002065	0.0	65536	0.018989083194748384	4.366765873680904	0.018989083194748384	0.018989083194748384	0.018989083194748384
4.390811566871981	6.938893903907228e-18	65536	-0.05433525351035541	4.405981559955413	-0.05433525351035541	-0.054335253510355404	-0.05433525351035541
4.43224857463831	0.0022501527405387007	131072	0.002703542860337369	4.445197246229924	0.00045339011979866775	0.0004533901197986674	-0.0017967626207400333
4.497262891429493	0.001903344352312864	131072	-0.00703903809934931	4.4844129325044335	-0.008942382451662173	-0.00894238245166217	-0.010845726803975038
4.5352662983136085	2.168404344971009e-19	65536	-0.0004714162558574559	4.523628618778943	-0.0004714162558574559	-0.00047141625585745567	-0.0004714162558574559
4.554462964981013	0.002390462297674908	131072	-0.0032487593049186437	4.562844305053453	-0.005639221602593551	-0.005639221602593549	-0.00802968390026846
4.613351495843024	0.010069410755693817	131072	0.006177604329534993	4.6020599913279625	-0.0038918064261588238	-0.003891806426158827	-0.01396121718185264
4.636091852196537	0.0	65536	8.024849313237262e-05	4.641275677602472	8.024849313237262e-05	8.024849313237262e-05	8.024849313237262e-05
4.692950442325461	0.006188052587254851	196608	0.009829374781911619	4.680491363876982	0.0060908032786404125	0.003719658116140076	-0.004761203712131803
4.712039194794478	0.0	65536	0.004251044840234232	4.7197070501514915	0.004251044840234232	0.004251044840234232	0.004251044840234232
4.763839172367136	8.673617379884035e-19	65536	0.005122439802792927	4.758922736426001	0.005122439802792927	0.005122439802792928	0.005122439802792927
4.799064156257443	0.0044549702312570915	131072	0.006500726296209357	4.798138422700512	0.002045756064952264	0.002045756064952264	-0.002409214166304828
4.839001094534125	0.0031393415933426982	131072	0.0029884410756494937	4.837354108975021	-0.00015090051769320388	-0.00015090051769320345	-0.0032902421110359015
4.884135662357209	0.0	65536	-0.004559442525796458	4.876569795249531	-0.004559442525796458	-0.004559442525796458	-0.004559442525796458
nan	nan	0	nan	4.915785481524041	nan	nan	nan
nan	nan	0	nan	4.955001167798551	nan	nan	nan
nan	nan	0	nan	4.994216854073061	nan	nan	nan
5.040143989180677	8.987969337882929e-05	131072	-0.0005350272090013987	5.033432540347571	-0.000624906902380228	-0.0006249069023802278	-0.0007147865957590573
5.066927284232094	0.0022145009480072564	262144	0.0028479471234723478	5.07264822662208	0.0009748890944449732	0.0011655790440431282	-0.000707478984984246
5.125224719977829	0.0	65536	0.0016563784039224996	5.11186391289659	0.0016563784039224996	0.0016563784039224996	0.0016563784039224996
nan	nan	0	nan	5.1510795991711	nan	nan	nan
5.1895430612398945	1.3010426069826053e-18	65536	-0.003496395966624539	5.190295285445609	-0.003496395966624539	-0.0034963959666245376	-0.003496395966624539
nan	nan	0	nan	5.229510971720119	nan	nan	nan
5.2564810294930036	0.0011651628120537185	131072	0.0014337117942640027	5.268726657994629	0.0002685489822102845	0.00026854898221028437	-0.0008966138298434338
nan	nan	0	nan	5.307942344269139	nan	nan	nan
nan	nan	0	nan	5.347158030543649	nan	nan	nan
nan	nan	0	nan	5.3863737168181585	nan	nan	nan
nan	nan	0	nan	5.425589403092668	nan	nan	nan
nan	nan	0	nan	5.464805089367179	nan	nan	nan
nan	nan	0	nan	5.504020775641688	nan	nan	nan
nan	nan	0	nan	5.543236461916198	nan	nan	nan
nan	nan	0	nan	5.582452148190708	nan	nan	nan
