[S III] Delta T	T1	T2	T3
-4901.9607843137255	377828142.71123457	271362706.6463587	316139809.6189002
-4705.882352941177	319937167.2062558	237834055.23722923	210173232.46279505
-4509.803921568628	253764234.43461242	163585734.63242993	174588725.38304538
-4313.725490196079	208650281.59195444	167952037.94746727	133082820.613764
-4117.64705882353	170303520.60924447	83696995.479559	105032382.3845298
-3921.5686274509803	152584422.791672	73548769.78870991	134323632.2331062
-3725.490196078431	150975111.05544502	82098407.07734983	85427231.71320897
-3529.411764705882	107629008.74354321	89674052.99146152	93652107.30501157
-3333.333333333333	131750621.60345757	77269072.74863502	87541065.55670881
-3137.254901960784	141819332.4094395	87534655.14232701	108439489.85595013
-2941.176470588235	145746619.4073022	119113691.29603907	130936265.4637199
-2745.098039215686	169851842.83909327	111573251.79003271	131667513.32308167
-2549.0196078431372	199053363.11752352	143900255.51112616	85461208.40968372
-2352.9411764705883	246493739.04983094	117462589.20138006	172003420.58442643
-2156.862745098039	276428567.3017572	142590052.10276875	179017354.52156484
-1960.78431372549	359167872.5823919	157596377.84289455	237521796.48245615
-1764.705882352941	535031503.8046749	213732243.86552826	258899350.3065512
-1568.627450980392	799479539.6271755	198057782.14341637	251144474.6456697
-1372.5490196078429	1357419127.5763175	299601653.9255295	292975662.6085622
-1176.4705882352937	2436243544.9711494	530935356.0901123	502551049.7849692
-980.3921568627447	4693301699.00031	1376247658.7420495	1017406564.836101
-784.3137254901958	9379072279.674994	3919239500.0361533	2960678836.5367002
-588.2352941176468	18477722623.868404	11732538136.002283	8046941100.465546
-392.1568627450979	34845806319.56585	35604701851.76436	27950764369.098083
-196.07843137254895	54293005913.02862	77905788700.67267	81170328179.20224
0.0	69035676642.02652	106871869789.44135	126426900821.78906
196.0784313725494	56800090481.73864	77023024919.8665	81223568813.89664
392.1568627450988	35587392595.28852	34141208541.754272	26788594820.085625
588.2352941176478	21260116282.024254	12890363336.24073	7823009439.459644
784.3137254901967	13266800778.976265	5841866630.143673	3018175796.3712015
980.3921568627457	9327624589.872534	3551492003.4528832	1823831840.0911665
1176.4705882352946	7575426927.685012	2910149460.5139637	1229862370.9181876
1372.5490196078435	6545502708.30973	2583872321.099283	890647860.3646189
1568.6274509803925	5905631173.358091	2399645325.7812595	841203936.5478258
1764.7058823529414	5095814419.242957	2125688889.5698123	692429590.7305862
1960.7843137254904	4246172154.028226	1620759327.9700832	632434940.4457369
2156.8627450980393	3518005217.705952	1340971718.990502	394061377.07883334
2352.9411764705887	2645607432.7231097	852441711.8890135	369158503.6950159
2549.019607843138	1959635608.0383935	487240158.0674191	244526037.0367339
2745.098039215687	1397283952.3251865	328274202.1904092	209379793.40520722
2941.176470588236	928654680.7607387	229716149.9252351	213617120.14719743
3137.254901960785	688000143.1002781	186132597.9522226	172364466.97842973
3333.333333333334	535234573.9299781	145425922.54783145	144308666.99395117
3529.411764705883	384256532.49404985	84269655.9929982	70690012.1326162
3725.490196078432	309936226.2141526	81099818.60628894	52032614.700370595
3921.568627450981	225571348.31856576	68932814.66725086	68297367.82079981
4117.64705882353	228249492.6944033	74384299.83831081	87268867.06104727
4313.725490196079	232740096.22271562	98481971.51783745	88017408.88650677
4509.803921568628	247432320.95509338	91759111.84606609	154783242.72687092
4705.882352941177	257405189.08633506	115424000.86002573	91346807.17632645
4901.9607843137255	283455150.25153023	141354762.1191246	130445144.24621123
