X Mean	Count	Y Std	Y Mean	Y Upper Quartile	Y Lower Quartile	X Center	Y Median
nan	0	nan	nan	nan	nan	2.0294117647058822	nan
nan	0	nan	nan	nan	nan	2.0882352941176467	nan
nan	0	nan	nan	nan	nan	2.1470588235294117	nan
nan	0	nan	nan	nan	nan	2.2058823529411766	nan
nan	0	nan	nan	nan	nan	2.264705882352941	nan
nan	0	nan	nan	nan	nan	2.3235294117647056	nan
nan	0	nan	nan	nan	nan	2.3823529411764706	nan
nan	0	nan	nan	nan	nan	2.4411764705882355	nan
nan	0	nan	nan	nan	nan	2.5	nan
2.5634270963152823	5120	0.4251056509421223	3.0429494481660853	3.305391299779833	2.694049207868467	2.5588235294117645	3.072390808880387
2.61869245775504	14592	0.3869593080767874	3.1514039663499593	3.448206228646761	2.876522759642917	2.6176470588235294	3.229886057034228
2.686728712506597	26624	0.3816413605471663	3.1084940738585587	3.373281143521925	2.9019027303383567	2.6764705882352944	3.186991456290422
2.7400034914462794	94976	0.3837722545889753	3.097762357533445	3.3751384416293506	2.8782729956452293	2.735294117647059	3.141996116023062
2.7931906632340366	153344	0.3774431852650103	3.1258873056224243	3.355865382652708	2.916501029655862	2.7941176470588234	3.1633812588915386
2.854734575549525	151040	0.4423701270244889	3.216602826279309	3.4499762954178967	2.9484057004644395	2.852941176470588	3.20525026489329
2.9119975381444023	182016	0.45098794846915813	3.244590013118329	3.453106308592467	3.0013305933180003	2.9117647058823533	3.2330046892762074
2.9711903958503134	198912	0.3879540048725002	3.2292190064720687	3.463129701044129	2.9916237178710103	2.9705882352941178	3.248897583534685
3.0288712365041497	198144	0.32790485371378764	3.2516547720686337	3.447349164027462	3.0658900366061723	3.0294117647058822	3.2871562877932403
3.0871812445264357	176384	0.2754376719238548	3.308085014158865	3.483576664824864	3.1608109003698406	3.0882352941176467	3.3253918141346177
3.1471856706014645	158976	0.26117512754216027	3.3778956458056375	3.531431249621731	3.250708161975656	3.147058823529412	3.3980540289899297
3.205764267058007	158464	0.19940785167232486	3.4363632172261553	3.5528813645282686	3.3246634655416516	3.2058823529411766	3.4442434842618987
3.2664711278608705	171008	0.17226340547776345	3.5037062228309566	3.613161747330267	3.413179381079251	3.264705882352941	3.5095221633523073
3.3228457223051437	172032	0.14116687103023298	3.5609181475969676	3.6485642050579843	3.4715544880684748	3.3235294117647056	3.563247692709167
3.3814556862651273	114944	0.1301418809777815	3.609134137976468	3.6741952015986374	3.534725394170069	3.3823529411764706	3.6015367608673765
3.440703252016111	96768	0.12131656530373643	3.6585720567440205	3.73643694750613	3.577687531432234	3.4411764705882355	3.651748447427829
3.498087399753257	89856	0.1100095762422202	3.715793433700776	3.7890656265415554	3.642323691890242	3.5	3.717460681241508
3.5569325578942483	62720	0.09583326182434292	3.771801232583169	3.8300542622851683	3.7076396541262477	3.5588235294117645	3.7720560949142934
3.613976650776679	38912	0.10633204778656541	3.8321423075266905	3.8899386389382724	3.7582016806661187	3.617647058823529	3.831890874021873
3.674740787667517	30720	0.09364444221798318	3.8910968270587376	3.9459404656243686	3.8412234308590802	3.6764705882352944	3.8955138333226387
3.733257816701809	18688	0.08323475409766769	3.925786442750819	3.9801682894447317	3.8646266032358505	3.735294117647059	3.9328379349214106
3.795796464199634	16640	0.07160957764519438	3.965355914963536	3.9988205943578192	3.913511937211174	3.7941176470588234	3.955003424603976
3.854706373333973	11008	0.04573203740790404	4.022731676149757	4.053206253736206	3.9943538692361398	3.852941176470588	4.016793585338104
3.908481314918375	9216	0.06410277793361305	4.0895616945419295	4.127850207264002	4.042575765913311	3.9117647058823533	4.098810986943576
3.9707088382659967	4608	0.06216444773502708	4.1406933233393985	4.1865221539555675	4.0862021808202105	3.9705882352941178	4.147200597715248
4.026337680075706	2048	0.07165135644411316	4.2157190731566425	4.284873203106086	4.147181825344768	4.029411764705882	4.221155869360122
4.078344994339485	1280	0.04276277606168111	4.239482331818853	4.249947840750032	4.210831921587189	4.088235294117647	4.21352893577731
nan	0	nan	nan	nan	nan	4.147058823529411	nan
nan	0	nan	nan	nan	nan	4.205882352941176	nan
nan	0	nan	nan	nan	nan	4.264705882352941	nan
nan	0	nan	nan	nan	nan	4.3235294117647065	nan
nan	0	nan	nan	nan	nan	4.382352941176471	nan
nan	0	nan	nan	nan	nan	4.4411764705882355	nan
nan	0	nan	nan	nan	nan	4.5	nan
nan	0	nan	nan	nan	nan	4.5588235294117645	nan
nan	0	nan	nan	nan	nan	4.617647058823529	nan
nan	0	nan	nan	nan	nan	4.6764705882352935	nan
nan	0	nan	nan	nan	nan	4.735294117647059	nan
nan	0	nan	nan	nan	nan	4.794117647058823	nan
nan	0	nan	nan	nan	nan	4.852941176470589	nan
nan	0	nan	nan	nan	nan	4.911764705882353	nan
nan	0	nan	nan	nan	nan	4.970588235294118	nan
