[N II] Delta T	T1	T2	T3
-4901.9607843137255	0.0	0.0	0.0
-4705.882352941177	20740585.100492865	0.0	0.0
-4509.803921568628	0.0	0.0	0.0
-4313.725490196079	0.0	0.0	0.0
-4117.64705882353	0.0	0.0	0.0
-3921.5686274509803	0.0	0.0	0.0
-3725.490196078431	0.0	0.0	0.0
-3529.411764705882	0.0	0.0	0.0
-3333.333333333333	0.0	0.0	0.0
-3137.254901960784	0.0	0.0	0.0
-2941.176470588235	0.0	0.0	0.0
-2745.098039215686	0.0	0.0	0.0
-2549.0196078431372	0.0	0.0	0.0
-2352.9411764705883	25407330.1546185	0.0	0.0
-2156.862745098039	0.0	0.0	0.0
-1960.78431372549	21158532.334346186	0.0	0.0
-1764.705882352941	0.0	0.0	0.0
-1568.627450980392	43208876.18559339	0.0	0.0
-1372.5490196078429	30939426.673791885	0.0	0.0
-1176.4705882352937	73209830.17218135	0.0	0.0
-980.3921568627447	189030563.802414	0.0	0.0
-784.3137254901958	407749001.48364323	0.0	691657275.9559913
-588.2352941176468	1287396701.618038	0.0	0.0
-392.1568627450979	8274045610.166174	1011479442.5292313	1320184897.4266198
-196.07843137254895	111200824753.85445	29552843986.423527	2828435954.4181433
0.0	599657596007.6154	804033542363.8583	829178163197.4032
196.0784313725494	108285503461.25487	28064790771.249195	2541811682.2494946
392.1568627450988	6207032287.245915	0.0	0.0
588.2352941176478	946212971.2024331	0.0	0.0
784.3137254901967	311505183.8349973	0.0	0.0
980.3921568627457	0.0	0.0	0.0
1176.4705882352946	30613981.205742866	0.0	0.0
1372.5490196078435	27836964.587079033	0.0	0.0
1568.6274509803925	0.0	0.0	0.0
1764.7058823529414	0.0	0.0	0.0
1960.7843137254904	0.0	0.0	0.0
2156.8627450980393	0.0	0.0	0.0
2352.9411764705887	22955600.59236049	0.0	0.0
2549.019607843138	0.0	0.0	0.0
2745.098039215687	0.0	0.0	0.0
2941.176470588236	0.0	0.0	0.0
3137.254901960785	0.0	0.0	0.0
3333.333333333334	0.0	0.0	0.0
3529.411764705883	0.0	0.0	0.0
3725.490196078432	0.0	0.0	0.0
3921.568627450981	0.0	0.0	0.0
4117.64705882353	0.0	0.0	0.0
4313.725490196079	0.0	0.0	0.0
4509.803921568628	0.0	0.0	0.0
4705.882352941177	0.0	0.0	0.0
4901.9607843137255	0.0	0.0	0.0
