X Mean	Y Mean	Count	Y Lower Quartile	X Center	Y Std	Y Upper Quartile	Y Median
nan	nan	0	nan	2.8075630150895257	nan	nan	nan
nan	nan	0	nan	2.8663865445012906	nan	nan	nan
nan	nan	0	nan	2.925210073913055	nan	nan	nan
nan	nan	0	nan	2.9840336033248196	nan	nan	nan
nan	nan	0	nan	3.0428571327365845	nan	nan	nan
nan	nan	0	nan	3.1016806621483495	nan	nan	nan
nan	nan	0	nan	3.160504191560114	nan	nan	nan
nan	nan	0	nan	3.2193277209718785	nan	nan	nan
nan	nan	0	nan	3.2781512503836434	nan	nan	nan
nan	nan	0	nan	3.3369747797954084	nan	nan	nan
nan	nan	0	nan	3.395798309207173	nan	nan	nan
nan	nan	0	nan	3.4546218386189373	nan	nan	nan
nan	nan	0	nan	3.5134453680307023	nan	nan	nan
nan	nan	0	nan	3.5722688974424672	nan	nan	nan
nan	nan	0	nan	3.6310924268542317	nan	nan	nan
nan	nan	0	nan	3.689915956265996	nan	nan	nan
nan	nan	0	nan	3.748739485677761	nan	nan	nan
nan	nan	0	nan	3.807563015089526	nan	nan	nan
nan	nan	0	nan	3.8663865445012906	nan	nan	nan
nan	nan	0	nan	3.925210073913055	nan	nan	nan
nan	nan	0	nan	3.9840336033248196	nan	nan	nan
nan	nan	0	nan	4.042857132736584	nan	nan	nan
nan	nan	0	nan	4.1016806621483495	nan	nan	nan
nan	nan	0	nan	4.160504191560114	nan	nan	nan
nan	nan	0	nan	4.219327720971879	nan	nan	nan
nan	nan	0	nan	4.278151250383644	nan	nan	nan
nan	nan	0	nan	4.336974779795408	nan	nan	nan
nan	nan	0	nan	4.395798309207173	nan	nan	nan
nan	nan	0	nan	4.454621838618937	nan	nan	nan
nan	nan	0	nan	4.513445368030702	nan	nan	nan
nan	nan	0	nan	4.572268897442467	nan	nan	nan
nan	nan	0	nan	4.631092426854232	nan	nan	nan
nan	nan	0	nan	4.689915956265997	nan	nan	nan
4.763244351823008	3.400471243455576	1384	3.338144223686485	4.748739485677762	0.08208315985626091	3.4581294251228702	3.3670226941144668
4.810892404967893	3.429724891732657	8520	3.362390857554527	4.807563015089526	0.08255041780237826	3.4947470339267985	3.4183765750650386
4.866961017140767	3.474134450231976	12496	3.413222759378886	4.866386544501291	0.09262303019574113	3.5377687256237897	3.4752350894096073
4.922549802729724	3.520538879069001	10158	3.4556449191702554	4.925210073913055	0.11201701264383641	3.598127421361845	3.5123627375287985
4.980269296925147	3.589036727612585	6067	3.5082111702298944	4.98403360332482	0.12466323579459439	3.676428295725044	3.592500866698675
5.041584588630401	3.7091882695499083	5141	3.6485650004198673	5.042857132736584	0.0963068427670247	3.7698035653717987	3.714830570030544
5.096439307398416	3.7871203281378687	3086	3.714893362342038	5.1016806621483495	0.09545747386956308	3.8409717393842318	3.785758909449271
5.156538996799009	3.9132843888534534	3341	3.829276524954892	5.160504191560115	0.09586245199782768	3.969169390385332	3.8977092778531257
5.224835315094831	3.921183796915696	3899	3.863731117342563	5.219327720971879	0.10402753758428976	3.995886958736387	3.926852250004554
5.276325563937537	3.9241395551400715	1733	3.8229986287064754	5.278151250383644	0.09971701849809432	3.99325673118901	3.9413335799618663
5.336363130849937	3.986630705186308	840	3.9722138982456796	5.336974779795408	0.10783091190924267	4.04445262385246	3.9946045828515393
5.3883440249526515	4.115637385488681	400	4.082728006659021	5.395798309207173	0.0824441873157409	4.161922711755269	4.083846274953992
nan	nan	0	nan	5.454621838618937	nan	nan	nan
nan	nan	0	nan	5.513445368030702	nan	nan	nan
nan	nan	0	nan	5.572268897442467	nan	nan	nan
nan	nan	0	nan	5.631092426854233	nan	nan	nan
nan	nan	0	nan	5.689915956265997	nan	nan	nan
nan	nan	0	nan	5.748739485677762	nan	nan	nan
