X Mean	Y Lower Quartile	Y Mean	Count	Y Upper Quartile	Y Median	X Center	Y Std
nan	nan	nan	0	nan	nan	3.6216678344652173	nan
nan	nan	nan	0	nan	nan	3.660883520739727	nan
nan	nan	nan	0	nan	nan	3.700099207014237	nan
nan	nan	nan	0	nan	nan	3.7393148932887468	nan
nan	nan	nan	0	nan	nan	3.778530579563257	nan
nan	nan	nan	0	nan	nan	3.8177462658377666	nan
nan	nan	nan	0	nan	nan	3.856961952112276	nan
nan	nan	nan	0	nan	nan	3.896177638386786	nan
nan	nan	nan	0	nan	nan	3.9353933246612955	nan
nan	nan	nan	0	nan	nan	3.9746090109358057	nan
nan	nan	nan	0	nan	nan	4.013824697210316	nan
nan	nan	nan	0	nan	nan	4.053040383484825	nan
nan	nan	nan	0	nan	nan	4.092256069759335	nan
nan	nan	nan	0	nan	nan	4.131471756033845	nan
nan	nan	nan	0	nan	nan	4.170687442308354	nan
nan	nan	nan	0	nan	nan	4.209903128582864	nan
nan	nan	nan	0	nan	nan	4.249118814857374	nan
nan	nan	nan	0	nan	nan	4.288334501131884	nan
nan	nan	nan	0	nan	nan	4.327550187406394	nan
nan	nan	nan	0	nan	nan	4.366765873680904	nan
nan	nan	nan	0	nan	nan	4.405981559955413	nan
nan	nan	nan	0	nan	nan	4.445197246229924	nan
nan	nan	nan	0	nan	nan	4.4844129325044335	nan
nan	nan	nan	0	nan	nan	4.523628618778943	nan
nan	nan	nan	0	nan	nan	4.562844305053453	nan
nan	nan	nan	0	nan	nan	4.6020599913279625	nan
nan	nan	nan	0	nan	nan	4.641275677602472	nan
nan	nan	nan	0	nan	nan	4.680491363876982	nan
4.727818225850428	9257.889244872125	9257.889244872127	443	9257.889244872125	9257.889244872125	4.7197070501514915	1.8189894035458565e-12
nan	nan	nan	0	nan	nan	4.758922736426001	nan
4.811638932680977	9530.112647159676	9530.112647159678	3858	9530.112647159676	9530.112647159676	4.798138422700512	1.8189894035458565e-12
4.844467328154711	9472.810529467133	9471.373785112648	2392	9472.810529467133	9472.810529467133	4.837354108975021	16.05652529945791
4.871886329374626	9532.805146587243	9520.83795995024	1805	9532.805146587243	9532.805146587243	4.876569795249531	37.85510287186171
4.908074476313605	9563.65994053144	9597.032187397475	8124	9630.967818768695	9563.65994053144	4.915785481524041	33.65276017914645
4.952809010191083	9834.584349126317	9834.584349126319	1416	9834.584349126317	9834.584349126317	4.955001167798551	1.8189894035458565e-12
4.988937305089327	9494.237401731292	9807.38690311078	9801	9963.960101036153	9963.960101036153	4.994216854073061	226.23301635152401
5.050133977533376	9966.799127065546	9950.63480000955	3170	9966.799127065546	9966.799127065546	5.033432540347571	36.448507254409
5.060552934191754	9329.819104027	9627.458294021155	3739	9666.278427160869	9666.278427160869	5.07264822662208	219.84077406678333
5.110547320853706	9720.983988256492	9718.524501849792	1076	9720.983988256492	9720.983988256492	5.11186391289659	40.26352775291157
5.146142059364895	10337.492874561256	10733.688196296112	11457	11128.408303848732	10721.929351195862	5.1510795991711	328.81121562710507
5.19241219597348	10260.690766265925	10260.690766265923	1662	10260.690766265925	10260.690766265925	5.190295285445609	1.8189894035458565e-12
5.242996439730702	10555.089420940263	10555.089420940261	2633	10555.089420940263	10555.089420940263	5.229510971720119	1.8189894035458565e-12
5.2612037442007695	10616.5436009834	10616.5436009834	318	10616.5436009834	10616.5436009834	5.268726657994629	0.0
nan	nan	nan	0	nan	nan	5.307942344269139	nan
5.355531086874297	11322.431337675094	11227.735203931983	4031	11322.431337675094	11322.431337675094	5.347158030543649	345.9351735451588
5.382909435958205	10270.240710183834	10270.240710183834	1140	10270.240710183834	10270.240710183834	5.3863737168181585	0.0
nan	nan	nan	0	nan	nan	5.425589403092668	nan
nan	nan	nan	0	nan	nan	5.464805089367179	nan
nan	nan	nan	0	nan	nan	5.504020775641688	nan
nan	nan	nan	0	nan	nan	5.543236461916198	nan
nan	nan	nan	0	nan	nan	5.582452148190708	nan
