Y Upper Quartile	Count	Y Std	Y Lower Quartile	Y Median	X Mean	Y Mean	X Center
nan	0	nan	nan	nan	nan	nan	3.6216678344652173
nan	0	nan	nan	nan	nan	nan	3.660883520739727
nan	0	nan	nan	nan	nan	nan	3.700099207014237
nan	0	nan	nan	nan	nan	nan	3.7393148932887468
nan	0	nan	nan	nan	nan	nan	3.778530579563257
nan	0	nan	nan	nan	nan	nan	3.8177462658377666
nan	0	nan	nan	nan	nan	nan	3.856961952112276
nan	0	nan	nan	nan	nan	nan	3.896177638386786
nan	0	nan	nan	nan	nan	nan	3.9353933246612955
nan	0	nan	nan	nan	nan	nan	3.9746090109358057
nan	0	nan	nan	nan	nan	nan	4.013824697210316
nan	0	nan	nan	nan	nan	nan	4.053040383484825
nan	0	nan	nan	nan	nan	nan	4.092256069759335
nan	0	nan	nan	nan	nan	nan	4.131471756033845
nan	0	nan	nan	nan	nan	nan	4.170687442308354
nan	0	nan	nan	nan	nan	nan	4.209903128582864
nan	0	nan	nan	nan	nan	nan	4.249118814857374
nan	0	nan	nan	nan	nan	nan	4.288334501131884
nan	0	nan	nan	nan	nan	nan	4.327550187406394
nan	0	nan	nan	nan	nan	nan	4.366765873680904
nan	0	nan	nan	nan	nan	nan	4.405981559955413
nan	0	nan	nan	nan	nan	nan	4.445197246229924
nan	0	nan	nan	nan	nan	nan	4.4844129325044335
nan	0	nan	nan	nan	nan	nan	4.523628618778943
nan	0	nan	nan	nan	nan	nan	4.562844305053453
nan	0	nan	nan	nan	nan	nan	4.6020599913279625
nan	0	nan	nan	nan	nan	nan	4.641275677602472
nan	0	nan	nan	nan	nan	nan	4.680491363876982
nan	0	nan	nan	nan	nan	nan	4.7197070501514915
-0.008490186018723209	1660	1.734723475976807e-18	-0.008490186018723209	-0.008490186018723209	4.778446186801469	-0.00849018601872321	4.758922736426001
0.004840936184537219	164	8.673617379884035e-19	0.004840936184537219	0.004840936184537219	4.800770503140886	0.00484093618453722	4.798138422700512
-0.0019576404164323097	10770	4.336808689942018e-19	-0.0019576404164323097	-0.0019576404164323097	4.824667980979266	-0.0019576404164323093	4.837354108975021
nan	0	nan	nan	nan	nan	nan	4.876569795249531
nan	0	nan	nan	nan	nan	nan	4.915785481524041
nan	0	nan	nan	nan	nan	nan	4.955001167798551
nan	0	nan	nan	nan	nan	nan	4.994216854073061
0.0015889313238858418	19672	0.0009988659109027283	0.0015889313238858418	0.0015889313238858418	5.025052752884135	0.0013152967635221833	5.033432540347571
-0.0021956006618184484	6631	4.336808689942018e-19	-0.0021956006618184484	-0.0021956006618184484	5.0574927355899115	-0.002195600661818449	5.07264822662208
nan	0	nan	nan	nan	nan	nan	5.11186391289659
-0.001941300131788284	6998	2.168404344971009e-19	-0.001941300131788284	-0.001941300131788284	5.163491692109963	-0.0019413001317882842	5.1510795991711
nan	0	nan	nan	nan	nan	nan	5.190295285445609
nan	0	nan	nan	nan	nan	nan	5.229510971720119
-0.0020582674644229206	10571	4.336808689942018e-19	-0.0020582674644229206	-0.0020582674644229206	5.28104064123456	-0.00205826746442292	5.268726657994629
-0.005795931091242858	318	8.673617379884035e-19	-0.005795931091242858	-0.005795931091242858	5.304239978147323	-0.005795931091242859	5.307942344269139
nan	0	nan	nan	nan	nan	nan	5.347158030543649
-0.006586952156397718	281	2.6020852139652106e-18	-0.006586952156397718	-0.006586952156397718	5.403333689348664	-0.00658695215639772	5.3863737168181585
nan	0	nan	nan	nan	nan	nan	5.425589403092668
nan	0	nan	nan	nan	nan	nan	5.464805089367179
nan	0	nan	nan	nan	nan	nan	5.504020775641688
nan	0	nan	nan	nan	nan	nan	5.543236461916198
nan	0	nan	nan	nan	nan	nan	5.582452148190708
