Y Upper Quartile	Y Lower Quartile	Count	Y Median	Y Std	Y Mean	X Center	X Mean
1855.7273680547733	-1425.2178007711186	1168	108.38014563385559	2385.610440365415	109.53276310115335	3.6216678344652173	3.624070417496036
1521.4928179901835	-1330.074182651726	1652	175.35283587162303	2176.3728534743664	133.9424936093442	3.660883520739727	3.661901589502171
1861.258751904592	-1154.9496102206456	2064	312.4343165650498	2180.1801112896414	317.0604055996159	3.700099207014237	3.700854388216584
1703.5444317889805	-1278.5638908127644	2704	263.4748940062509	2190.6998178239405	273.878781655763	3.7393148932887468	3.7406793946730947
1833.270883114552	-1369.8936576153264	3564	180.92385414036107	2169.0203734073607	185.923460729279	3.778530579563257	3.7793583144232628
1862.086724788258	-1254.345902891595	4284	339.3703647655839	2151.171538093625	284.64995736811755	3.8177462658377666	3.8188504058543264
1966.4370774805902	-1315.8196653405048	5332	214.98371541384586	2222.790755426055	239.74005837774163	3.856961952112276	3.8577220740883473
1793.9980922600125	-1194.6259017060202	6836	217.71971741987	2140.985134079711	243.83143584107566	3.896177638386786	3.8966880049963906
1598.6260245565172	-1202.5138708316808	8408	174.81677208858946	1998.9788801048053	195.58405449278578	3.9353933246612955	3.936269749043375
1531.9968704891871	-1098.0879788271923	10236	203.03365164860043	2013.4497332993474	211.75382163802098	3.9746090109358057	3.9753185805086293
1487.9360463837074	-1041.4427859795487	12252	242.98031029141748	1926.6508270108652	199.77304685498956	4.013824697210316	4.014662499279954
1275.3180643649084	-968.1411795555434	14976	163.1567507135269	1791.2027637688707	156.92690794318474	4.053040383484825	4.053998794459516
1198.3947954454106	-897.0763934934475	18824	119.86468464085829	1688.5571778207095	131.0887811056361	4.092256069759335	4.093228301209909
1012.074739686328	-773.5972190143448	25348	106.61596606509556	1536.11668868672	127.6129359813225	4.131471756033845	4.132735079117446
898.2954146324028	-723.6380979362166	35260	88.70871775569321	1448.0411793706967	74.87157883674895	4.170687442308354	4.171940049577764
814.9585594278733	-669.2749525042691	48740	80.57977316823235	1343.2799994627871	63.92933774025469	4.209903128582864	4.21106971318079
