X Center	Y Std	Y Mean	X Mean	Y Upper Quartile	Y Median	Y Lower Quartile	Count
3.6216678344652173	nan	nan	nan	nan	nan	nan	0
3.660883520739727	nan	nan	nan	nan	nan	nan	0
3.700099207014237	nan	nan	nan	nan	nan	nan	0
3.7393148932887468	nan	nan	nan	nan	nan	nan	0
3.778530579563257	nan	nan	nan	nan	nan	nan	0
3.8177462658377666	nan	nan	nan	nan	nan	nan	0
3.856961952112276	nan	nan	nan	nan	nan	nan	0
3.896177638386786	nan	nan	nan	nan	nan	nan	0
3.9353933246612955	nan	nan	nan	nan	nan	nan	0
3.9746090109358057	nan	nan	nan	nan	nan	nan	0
4.013824697210316	nan	nan	nan	nan	nan	nan	0
4.053040383484825	nan	nan	nan	nan	nan	nan	0
4.092256069759335	nan	nan	nan	nan	nan	nan	0
4.131471756033845	nan	nan	nan	nan	nan	nan	0
4.170687442308354	nan	nan	nan	nan	nan	nan	0
4.209903128582864	nan	nan	nan	nan	nan	nan	0
4.249118814857374	nan	nan	nan	nan	nan	nan	0
4.288334501131884	nan	nan	nan	nan	nan	nan	0
4.327550187406394	nan	nan	nan	nan	nan	nan	0
4.366765873680904	nan	nan	nan	nan	nan	nan	0
4.405981559955413	nan	nan	nan	nan	nan	nan	0
4.445197246229924	nan	nan	nan	nan	nan	nan	0
4.4844129325044335	0.0	3.6133410824562993	4.498178505824772	3.6133410824562993	3.6133410824562993	3.6133410824562993	1
4.523628618778943	nan	nan	nan	nan	nan	nan	0
4.562844305053453	0.032022255956391854	3.258408612188197	4.569882768791862	3.274419740166393	3.258408612188197	3.2423974842100014	2
4.6020599913279625	0.11746809988794316	3.520930840033131	4.608233152570977	3.579664889977102	3.520930840033131	3.462196790089159	2
4.641275677602472	0.10375466448472843	3.3624750310309754	4.644207621678626	3.4004841120450107	3.3487485925762006	3.30733850108728	18
4.680491363876982	0.13766516646092786	3.3629409116281512	4.6876656045882354	3.4479224994125692	3.353335670702016	3.2747010704442383	92
4.7197070501514915	0.14112322947073588	3.373871075965124	4.723601985203449	3.4577584496156586	3.3738370945493363	3.2814571657646585	387
4.758922736426001	0.13673078012103237	3.3837198802717205	4.761870239463369	3.4661849011946155	3.3773178959452874	3.2967808552155047	1225
4.798138422700512	0.1362197105192492	3.3999261569833146	4.799531363171618	3.4870777677980067	3.3948305193262613	3.312058538041774	2449
4.837354108975021	0.14765310817973984	3.4341885069505382	4.83827514221193	3.522729680266458	3.4289142589902837	3.3407406720645714	3648
4.876569795249531	0.14805175624454756	3.4633038001161944	4.8774214638317455	3.5506783821577566	3.4563805936847047	3.365140717653506	4294
4.915785481524041	0.15497610699666706	3.497132147007572	4.916388043947632	3.58531975421906	3.4885449241874835	3.3948726698740166	5146
4.955001167798551	0.16116682632601684	3.5268120287524525	4.954459349990185	3.622007930495824	3.519939178370393	3.420595519789864	5175
4.994216854073061	0.18116475597609735	3.5454214743548627	4.99437043458746	3.6539178638757646	3.5440508309669454	3.428159770236032	4792
5.033432540347571	0.19564158273481236	3.5516196803351265	5.033388969396935	3.6776650976862117	3.5507035724462788	3.4148882118337527	5449
5.07264822662208	0.21180742214375411	3.574353962134896	5.071897545001783	3.719468927802126	3.5738462460790963	3.4199057272625986	4772
5.11186391289659	0.20046281752141462	3.6362743315082624	5.1107337474747645	3.7635866203453476	3.6389591690266068	3.5034136581105493	3420
5.1510795991711	0.1947038414967795	3.7071867580703244	5.15035599120305	3.8248643035137095	3.7028866158353524	3.579143753544656	2682
5.190295285445609	0.18965594233989588	3.7718450739418246	5.190780609197104	3.886429094212575	3.7622934196864737	3.6464112536613733	2251
5.229510971720119	0.18105320571465947	3.8443788322348396	5.229716021743467	3.936975762009699	3.818773527065271	3.7262106078448056	2417
5.268726657994629	0.16479942845799414	3.8867841332897934	5.268149123026767	3.974791572789091	3.872352024281263	3.7755391952902455	2132
5.307942344269139	0.17472956404824225	3.947228105092791	5.3080115853239	4.036865841716872	3.928536405990812	3.831751536448244	1997
5.347158030543649	0.19543841854484753	3.9964009190784866	5.347371878983734	4.091300814523911	3.9722072680111533	3.8727871012337842	1717
5.3863737168181585	0.2048444131100147	4.019608494825062	5.3857653499495095	4.130395615036398	3.996897962349537	3.879934918661559	1565
5.425589403092668	0.22615297597972503	4.079912063767156	5.422624435184468	4.174982894592311	4.045171433505167	3.938602233998723	775
5.464805089367179	0.21811570960030569	4.143963207186184	5.458444699408763	4.239086889503578	4.116539225347498	3.9902689468543606	252
5.504020775641688	0.16598465711887656	4.194698911295302	5.498806606998149	4.2753544823480905	4.19227486302207	4.071215683092479	53
5.543236461916198	0.09848344148394422	4.2128863112295045	5.534691112227272	4.2296279953334475	4.166638622760313	4.163463497366746	9
5.582452148190708	0.0	4.128226876091205	5.563177804004156	4.128226876091205	4.128226876091205	4.128226876091205	1
