log10[ N([Cl III]) ]	T1	T2	T3
2.0294117647058822	0.0	0.0	0.0
2.0882352941176467	0.0	0.0	0.0
2.1470588235294117	0.0	0.0	0.0
2.2058823529411766	1343095.078125	0.0	0.0
2.264705882352941	0.0	0.0	0.0
2.3235294117647056	2001331.890625	0.0	0.0
2.3823529411764706	1167059.1484375	0.0	0.0
2.4411764705882355	3804227.375	0.0	0.0
2.5	5028927.478515625	0.0	0.0
2.5588235294117645	2237293.796875	5383734.98046875	0.0
2.6176470588235294	2548136.015625	0.0	0.0
2.6764705882352944	6496134.154296875	3194294.765625	0.0
2.735294117647059	3190937.7890625	187043.974609375	0.0
2.7941176470588234	10463078.078125	1667090.0625	0.0
2.852941176470588	10250102.583007812	4831325.640625	0.0
2.9117647058823533	14240844.07421875	3152310.15625	0.0
2.9705882352941178	20256928.08203125	5011968.640625	0.0
3.0294117647058822	35901588.978515625	12484882.1875	0.0
3.0882352941176467	31982681.630859375	13670203.484375	0.0
3.147058823529412	33020853.958007812	13053404.359375	0.0
3.2058823529411766	43632483.71875	21555843.321289062	3926046.1328125
3.264705882352941	53361727.2890625	25401850.21484375	0.0
3.3235294117647056	65168535.57128906	41402354.15332031	0.0
3.3823529411764706	94037349.85644531	55274765.21191406	0.0
3.4411764705882355	118356043.73535156	87082380.33886719	0.0
3.5	133496816.39160156	122124968.5078125	5281689.65625
3.5588235294117645	92007475.9165039	119650171.9453125	16230941.6875
3.617647058823529	146763469.75878906	158879444.45410156	25100719.87890625
3.6764705882352944	161507541.2109375	152458686.13867188	22704389.15625
3.735294117647059	195600259.16601562	170231349.67089844	38470373.01953125
3.7941176470588234	134674801.72583008	182687071.0986328	95917355.35253906
3.852941176470588	121607777.46582031	189108417.8095703	110423184.28027344
3.9117647058823533	112113956.73632812	149013332.93554688	145856307.92578125
3.9705882352941178	95700949.06298828	118183995.44238281	197670947.70703125
4.029411764705882	87748965.85644531	129224710.50146484	215556772.70214844
4.088235294117647	52168321.29003906	90317374.4584961	190393451.33398438
4.147058823529411	39729882.681152344	85035032.92578125	221166567.29785156
4.205882352941176	31264002.375	57233313.66894531	198748283.98242188
4.264705882352941	28320403.166992188	34790944.548828125	161025450.828125
4.3235294117647065	18053899.490234375	23246637.255859375	122809197.85546875
4.382352941176471	11593351.392578125	15957783.4609375	105740898.96289062
4.4411764705882355	9806847.3125	5890267.2578125	75211665.81933594
4.5	5579531.0390625	7472439.5703125	29012249.484375
4.5588235294117645	6796892.404296875	5167063.12890625	38413701.40625
4.617647058823529	3976141.1875	0.0	16873191.575195312
4.6764705882352935	1234592.8125	3770912.140625	16347766.359375
4.735294117647059	3731053.1015625	3169874.2734375	2467315.1875
4.794117647058823	2517710.36328125	2123910.9375	2534561.296875
4.852941176470589	1112030.90234375	4177943.421875	0.0
4.911764705882353	2601235.75	0.0	0.0
4.970588235294118	1171105.84765625	0.0	0.0
