Y Mean	Y Median	Y Lower Quartile	Count	X Mean	X Center	Y Upper Quartile	Y Std
nan	nan	nan	0	nan	3.6216678344652173	nan	nan
nan	nan	nan	0	nan	3.660883520739727	nan	nan
nan	nan	nan	0	nan	3.700099207014237	nan	nan
nan	nan	nan	0	nan	3.7393148932887468	nan	nan
nan	nan	nan	0	nan	3.778530579563257	nan	nan
-0.2223819295360472	-0.22238192953604724	-0.3666971544839193	32768	3.81976499881969	3.8177462658377666	-0.07806670458817515	0.1443152249478721
nan	nan	nan	0	nan	3.856961952112276	nan	nan
nan	nan	nan	0	nan	3.896177638386786	nan	nan
0.015842601932567032	0.01584260193256703	0.01584260193256703	16384	3.9383201719722725	3.9353933246612955	0.01584260193256703	3.469446951953614e-18
0.4937881131281258	0.4937881131281258	0.4937881131281258	16384	3.9608411084544617	3.9746090109358057	0.4937881131281258	0.0
-0.15741305950867532	-0.15741305950867532	-0.15741305950867532	16384	4.020754465940699	4.013824697210316	-0.15741305950867532	0.0
-0.011839294645763953	-0.011839294645763956	-0.011839294645763956	16384	4.057353347098291	4.053040383484825	-0.011839294645763956	3.469446951953614e-18
-0.0024753635251385693	-0.008914567753155701	-0.016961288351743386	65536	4.101135811361197	4.092256069759335	0.005571357073449122	0.022077910189442915
-0.03898557552899139	-0.03898557552899137	-0.03898557552899137	16384	4.145292121917736	4.131471756033845	-0.03898557552899137	1.3877787807814457e-17
0.028862740100700435	0.02886274010070043	0.02886274010070043	16384	4.169289872972124	4.170687442308354	0.02886274010070043	6.938893903907228e-18
-0.0054435928203319245	-0.01709935618489579	-0.02158025676254473	81920	4.213907242318726	4.209903128582864	0.01294352570864894	0.02681779229201101
0.0014414677906516883	-0.011945998567354227	-0.024448990734689417	131072	4.252136340960781	4.249118814857374	0.016529153349719626	0.03747671852652759
-0.020712110894700608	-0.02356650024996379	-0.05229086793928199	81920	4.290201711677998	4.288334501131884	0.011942801778640669	0.03086026687689944
-0.014149803293760489	-0.008559572899936342	-0.03458276120047281	147456	4.331627902055084	4.327550187406394	-0.001331550923384626	0.022477735163652413
0.006627332945197369	0.00642227290835329	-0.0018919282313172214	81920	4.363718430387825	4.366765873680904	0.023262557125033532	0.016405398578738257
0.0012836062998059013	-5.455823690916786e-05	-0.003912789976682122	131072	4.396022583239636	4.405981559955413	0.00863895498200324	0.010822231050699972
-0.0008659156428853866	-0.0023617536258739935	-0.006378208849938633	131072	4.44898935887625	4.445197246229924	0.007009635310795257	0.015319482965392905
0.0033295766425678807	0.006117348530929114	-0.009978152129387567	147456	4.4815358428479035	4.4844129325044335	0.01579009906589278	0.024861356073527976
0.0011438563270470814	-0.008273332615372532	-0.018010645639731804	114688	4.523457541140513	4.523628618778943	0.015525352855215967	0.02445487751250346
0.004118629400324037	0.004046426182294742	0.0008199796453757529	98304	4.5648691827884855	4.562844305053453	0.006282339960020293	0.0059559815301408305
0.010216909577209606	0.014612579075691695	0.0019257089864078195	163840	4.5981403872855084	4.6020599913279625	0.02278889525380603	0.0221374721324376
0.004626440334950919	-0.0004380021365726041	-0.003699047499745983	49152	4.6381169354603164	4.641275677602472	0.018016370641171345	0.009561250943931579
0.006178030733531065	0.006178030733531064	-0.011219899805551025	32768	4.684834705071667	4.680491363876982	0.023575961272613154	0.01739793053908209
0.004182284972293736	0.005434174069567137	0.003312279660719645	98304	4.717555648853513	4.7197070501514915	0.007559466706848803	0.016071093697924276
-0.0018309124777961885	-0.004541400685957406	-0.008490186018723209	114688	4.764813291367308	4.758922736426001	0.005692193304358041	0.009464573932134877
-0.0006236121426816131	0.0004584625705830142	-0.010047609239590465	98304	4.7955236222072	4.798138422700512	0.004840936184537219	0.008392517549219481
0.0020938335743915203	0.003256861717173973	-0.0031386219115376894	65536	4.8265220330006855	4.837354108975021	0.008489317203103183	0.006627386599481276
0.002039868901955518	0.0005744525467623523	-0.0007135577358844773	65536	4.87511910901639	4.876569795249531	0.003327879184602347	0.005166976356312402
0.0027933605404031306	0.0036604020031640364	-0.00023016815659208912	65536	4.911753183200259	4.915785481524041	0.006683930700159255	0.004607191548929771
-0.0010907345039979028	-0.0003795331611915608	-0.003655767302840676	65536	4.952751871762879	4.955001167798551	0.002185499637651212	0.0036073386492701275
nan	nan	nan	0	nan	4.994216854073061	nan	nan
0.0024606263950369815	0.0015889313238858418	-0.0006674277587549979	180224	5.028482563862803	5.033432540347571	0.005804461326365985	0.0034523430867399014
0.00040069098960635025	-0.0004844288923284895	-0.0021956006618184484	49152	5.073389744022815	5.07264822662208	0.0038821025229659888	0.002558931665706346
-0.0005621988381123759	-0.0008386695047917191	-0.0023780666732724737	98304	5.121262918372806	5.11186391289659	9.113137572698588e-05	0.0024455020003342543
-0.0009535189371210787	-0.001941300131788284	-0.0033485060514007064	81920	5.15544453592218	5.1510795991711	0.001711882985066246	0.002750376404096875
-0.0007525464108014539	0.000821875821945594	-0.0021646339662318736	65536	5.2007515041237005	5.190295285445609	0.0022339633773760144	0.004482434426689478
0.005059880531682167	0.005059880531682166	0.0022262179086607213	32768	5.2259655997280134	5.229510971720119	0.00789354315470361	0.002833662623021445
-0.00205826746442292	-0.0020582674644229206	-0.0020582674644229206	16384	5.281040641234559	5.268726657994629	-0.0020582674644229206	4.336808689942018e-19
-0.004013109301575216	-0.004013109301575218	-0.005795931091242858	32768	5.305477677835821	5.307942344269139	-0.002230287511907578	0.00178282178966764
nan	nan	nan	0	nan	5.347158030543649	nan	nan
