Count	Y Mean	Y Upper Quartile	Y Lower Quartile	Y Median	X Mean	Y Std	X Center
0	nan	nan	nan	nan	nan	nan	3.6216678344652173
0	nan	nan	nan	nan	nan	nan	3.660883520739727
0	nan	nan	nan	nan	nan	nan	3.700099207014237
0	nan	nan	nan	nan	nan	nan	3.7393148932887468
0	nan	nan	nan	nan	nan	nan	3.778530579563257
0	nan	nan	nan	nan	nan	nan	3.8177462658377666
0	nan	nan	nan	nan	nan	nan	3.856961952112276
0	nan	nan	nan	nan	nan	nan	3.896177638386786
0	nan	nan	nan	nan	nan	nan	3.9353933246612955
0	nan	nan	nan	nan	nan	nan	3.9746090109358057
0	nan	nan	nan	nan	nan	nan	4.013824697210316
0	nan	nan	nan	nan	nan	nan	4.053040383484825
0	nan	nan	nan	nan	nan	nan	4.092256069759335
0	nan	nan	nan	nan	nan	nan	4.131471756033845
0	nan	nan	nan	nan	nan	nan	4.170687442308354
0	nan	nan	nan	nan	nan	nan	4.209903128582864
0	nan	nan	nan	nan	nan	nan	4.249118814857374
0	nan	nan	nan	nan	nan	nan	4.288334501131884
0	nan	nan	nan	nan	nan	nan	4.327550187406394
0	nan	nan	nan	nan	nan	nan	4.366765873680904
0	nan	nan	nan	nan	nan	nan	4.405981559955413
0	nan	nan	nan	nan	nan	nan	4.445197246229924
0	nan	nan	nan	nan	nan	nan	4.4844129325044335
0	nan	nan	nan	nan	nan	nan	4.523628618778943
0	nan	nan	nan	nan	nan	nan	4.562844305053453
0	nan	nan	nan	nan	nan	nan	4.6020599913279625
0	nan	nan	nan	nan	nan	nan	4.641275677602472
0	nan	nan	nan	nan	nan	nan	4.680491363876982
8	9195.564091870074	9195.564091870074	9195.564091870074	9195.564091870074	4.7308948015298435	0.0	4.7197070501514915
560	9374.08139893069	9364.187214286381	9364.187214286381	9364.187214286381	4.758095570995068	18.457362119741653	4.758922736426001
2994	9458.63755623541	9549.656331450173	9324.499064359283	9464.522566930607	4.806748662044067	87.45993257232006	4.798138422700512
3022	9510.9216438653	9728.776964213186	9371.573329982446	9425.61052051145	4.833182044516652	157.50132463758712	4.837354108975021
5334	9628.039601398043	9758.520815226018	9527.859696598722	9559.513855847483	4.881180838955422	115.49464424313166	4.876569795249531
4217	9592.490965595456	9693.202183624093	9517.281777261294	9524.980969696044	4.919898865649792	98.7510215769641	4.915785481524041
5600	9704.50590112611	9790.607508738338	9619.221144823925	9697.740837719195	4.950670922605715	125.22838586601159	4.955001167798551
5139	9858.897010106642	10013.78330457861	9750.00588048739	9894.638646077812	4.993270398115888	188.01955480174135	4.994216854073061
4137	9620.601708048089	9950.909740706185	9350.21582132882	9439.36118833571	5.0276428860339974	319.11175667381576	5.033432540347571
6466	10058.826140249954	10438.898030611104	9703.284608740927	9867.842697793762	5.075976890347655	423.13349701447635	5.07264822662208
3682	10376.92922926482	10845.979601755515	10111.153256333086	10516.118105379817	5.10990611555545	371.15085623441087	5.11186391289659
2764	10241.57718029871	10698.857185462926	9957.06235904517	10021.625416094685	5.144788847362265	359.16582376980364	5.1510795991711
2422	10441.082024684076	10385.720039737218	10380.331657700792	10385.720039737218	5.194600193865871	140.63578422764417	5.190295285445609
3168	10554.561478560443	10863.707802271269	10504.449202413165	10520.217193859191	5.231209257449888	227.72810181519495	5.229510971720119
1280	10756.341245029163	10906.264321294093	10906.264321294093	10906.264321294093	5.265555997299523	299.8461525298539	5.268726657994629
3073	11076.694107798343	11527.150891042937	10432.434439246774	11271.57895819049	5.315600985127092	467.9554227820048	5.307942344269139
1024	11471.569887922815	11471.569887922815	11471.569887922815	11471.569887922815	5.361521556164761	0.0	5.347158030543649
2175	10982.13870500454	11347.286803720934	11145.990459801296	11145.990459801296	5.375628728827384	473.4719864087418	5.3863737168181585
0	nan	nan	nan	nan	nan	nan	5.425589403092668
0	nan	nan	nan	nan	nan	nan	5.464805089367179
0	nan	nan	nan	nan	nan	nan	5.504020775641688
0	nan	nan	nan	nan	nan	nan	5.543236461916198
0	nan	nan	nan	nan	nan	nan	5.582452148190708
