Count	Y Median	Y Upper Quartile	Y Mean	X Center	Y Std	Y Lower Quartile	X Mean
0	nan	nan	nan	3.6216678344652173	nan	nan	nan
0	nan	nan	nan	3.660883520739727	nan	nan	nan
1024	-0.6031000478604551	-0.6031000478604551	-0.6031000478604549	3.700099207014237	2.220446049250313e-16	-0.6031000478604551	3.7172626865652068
3072	0.47230002702017787	1.08099018815227	0.6476390253432643	3.7393148932887468	0.3082787005636134	0.3896268608573448	3.736847338770204
4096	0.414062374566577	0.5505721818455132	0.2721087249930044	3.778530579563257	0.41047586094400057	0.13559891771406812	3.779347415750145
5120	-0.06872351352639677	-0.0535181229350434	-0.15154853168834242	3.8177462658377666	0.696800780139827	-0.8312740904286291	3.8128726535352633
3072	-0.22291452801707123	0.38769071268199573	-0.027748993196552885	3.856961952112276	0.29393902181548714	-0.24802316425458312	3.8594504191182186
12288	0.14474074175127538	0.221035913166465	0.03180502203067053	3.896177638386786	0.29891889752400286	-0.054324068129644895	3.89594701688061
11264	0.09421591768155312	0.5250408357491554	0.1497750751163774	3.9353933246612955	0.49929659331763726	-0.05498623902484388	3.9335133226416947
10240	0.024626346614680723	0.27506107984135436	0.11507947344643117	3.9746090109358057	0.4018825874211581	-0.03011749451461384	3.9781006126414207
14336	-0.08637133151846726	0.1546630618953624	-0.09731567471766656	4.013824697210316	0.35156597578714704	-0.25541960029384647	4.020197563465854
18432	0.11278628735741858	0.31819944150915447	0.09766312155322424	4.053040383484825	0.32342539834818235	-0.04330174234931582	4.051954362882673
17408	0.08179330298886399	0.16186947462865847	-0.020286779575499434	4.092256069759335	0.254395268956306	-0.07570475384153359	4.096647418130041
17408	0.13912347758706295	0.347269235017916	0.16117240745676148	4.131471756033845	0.2889399907585837	0.03956451210517202	4.134376653004012
31744	-0.04315986957034121	0.10636466063781967	-0.030030169049849578	4.170687442308354	0.2759545097651744	-0.127149049881599	4.1714161090349995
58368	-0.034966578497552844	0.072334662511437	-0.07896354538800325	4.209903128582864	0.2623440619846336	-0.17581251037266202	4.213243558726318
83968	-0.002501953584332265	0.0717082967221092	-0.024020403992839893	4.249118814857374	0.17288423893423727	-0.08992171150477193	4.2500587138055295
92160	0.01607264519092296	0.07874622356272717	-0.021684575215039376	4.288334501131884	0.20510391731689598	-0.10794763815993672	4.286301893942915
126976	-0.013117872691802212	0.05306534470754243	-0.025974100479783165	4.327550187406394	0.15957269252415032	-0.09152899722408639	4.326166301405617
119808	0.011622876188003084	0.07153852145649699	-0.0031819237788350907	4.366765873680904	0.2104524724900141	-0.06660057000588492	4.365407247351372
116736	-0.00478681449206396	0.05178462088307833	-0.008713719905368882	4.405981559955413	0.12616666286387287	-0.07067679155745929	4.40581035877567
115712	-0.009165974214147367	0.05031722552482166	-0.02957979543329729	4.445197246229924	0.14319334075215626	-0.0641100216146246	4.4426042699671795
117760	-0.0035613194010881985	0.04360068763601355	-0.005113704340382746	4.4844129325044335	0.07637747159357013	-0.03828333273082673	4.483866026034618
107520	0.015214526446177596	0.0432926333978996	-0.0014597930965222043	4.523628618778943	0.09141812028367034	-0.04339059708007874	4.525405154536914
110592	0.00037877922332166106	0.04929984068062308	-0.004235721644907835	4.562844305053453	0.07378833604707083	-0.03924546326720393	4.560878649764474
96256	-0.016567962345463944	0.026343371098507266	-0.03167709349414757	4.6020599913279625	0.14346164735777941	-0.05292108527755034	4.600075951981628
100352	-0.004308031748171399	0.028468336093315602	-0.0030031222861441743	4.641275677602472	0.0518632599167584	-0.035992217057527344	4.638904992927847
66560	0.001468504402188105	0.034971105738535346	0.007047064036843976	4.680491363876982	0.049480990561009464	-0.02713707311214632	4.6778413357631905
63488	0.0006109612881315413	0.028842572967046665	-0.0005670865836828705	4.7197070501514915	0.04613637035600235	-0.027911330801801516	4.718770772816453
67584	-0.004045752515363413	0.016177004398178204	-0.0016264380462609612	4.758922736426001	0.05284134278926723	-0.026048731285928967	4.758154306385585
64512	-0.002704665354842799	0.034052357168396184	0.0029207930383707906	4.798138422700512	0.0400038945934509	-0.025023055770505585	4.799697259082914
63488	0.0032392020072302677	0.02184161957366902	0.002753413657218342	4.837354108975021	0.03319696357266022	-0.01773420552566795	4.837711567817267
73728	0.0002482424110898906	0.021339851499544545	-0.0005504948124552976	4.876569795249531	0.029960165983211	-0.023227495152502824	4.8761336218966544
80896	0.004598879924588861	0.017603137419260242	0.003663291077462298	4.915785481524041	0.023467747825609887	-0.009700955186271884	4.916723611518658
71680	-0.001318546363619834	0.022295451986999566	0.0013595211111288449	4.955001167798551	0.024171946750169718	-0.017453775875882392	4.95406319011389
64512	-0.0027695973215494155	0.011832687659157631	-0.0005624457172364558	4.994216854073061	0.01774099035043989	-0.014067221247990843	4.994699462590388
84992	0.0011123176368097586	0.013004079456713197	0.0008179170711222324	5.033432540347571	0.017927481893614768	-0.009720693373301644	5.034390649510803
68608	-0.0003460485342832895	0.011842040556458806	0.0007914634376306824	5.07264822662208	0.01890784738727632	-0.012237074532056818	5.073743433167511
73728	0.0007801278490744345	0.011301166236430422	0.0019214861753575128	5.11186391289659	0.016056851602481492	-0.010317862476642427	5.109915070766037
66560	-0.0016479838493217544	0.006655791899215855	-0.0019370028393202476	5.1510795991711	0.014494991817561026	-0.01199909517149187	5.152237228544553
52224	-0.0035553176665512635	0.0077594769569891186	-0.0036929742577779963	5.190295285445609	0.01559028908701811	-0.010751491229108005	5.191459987364936
51200	0.004599959175228164	0.008575331150308006	0.005034428404641761	5.229510971720119	0.01871533266499383	-0.006641700636983244	5.230088942779723
