Y Lower Quartile	X Center	Y Mean	Count	X Mean	Y Median	Y Upper Quartile	Y Std
nan	2.0294117647058822	nan	0	nan	nan	nan	nan
nan	2.0882352941176467	nan	0	nan	nan	nan	nan
nan	2.1470588235294117	nan	0	nan	nan	nan	nan
nan	2.2058823529411766	nan	0	nan	nan	nan	nan
nan	2.264705882352941	nan	0	nan	nan	nan	nan
nan	2.3235294117647056	nan	0	nan	nan	nan	nan
nan	2.3823529411764706	nan	0	nan	nan	nan	nan
nan	2.4411764705882355	nan	0	nan	nan	nan	nan
nan	2.5	nan	0	nan	nan	nan	nan
nan	2.5588235294117645	nan	0	nan	nan	nan	nan
8599.575231553199	2.6176470588235294	8683.04578412041	32768	2.611505340393016	8683.045784120408	8766.516336687617	83.47055256720887
8527.849651921972	2.6764705882352944	8527.849651921973	16384	2.6925841661337135	8527.849651921972	8527.849651921972	1.8189894035458565e-12
8037.561588675792	2.735294117647059	8492.590474742192	147456	2.738192593892423	8655.520162639064	8782.012005760744	397.0362894360499
8113.858478674075	2.7941176470588234	8496.900761985728	180224	2.7900361227269497	8520.69990282429	8823.868550253608	325.9127183668196
8335.907105400016	2.852941176470588	8607.331137036477	163840	2.8582194659141735	8733.451667680656	8867.504693901636	309.7560310399657
8696.509750442303	2.9117647058823533	8783.874801479535	294912	2.908721214570923	8855.508200081487	8933.949572384536	200.71135798816627
8450.68655257223	2.9705882352941178	8722.834132775051	212992	2.9734544342806806	8886.374366788454	8939.488864645347	330.47707929491276
8812.188876219148	3.0294117647058822	8900.395311395421	245760	3.0243584475813576	8914.726830460018	9035.780805919638	156.5315729424267
8793.439466893402	3.0882352941176467	8887.115439829984	229376	3.088965086011861	8967.870808914262	9009.402838676435	225.38190551911524
9005.8245705618	3.147058823529412	9033.116963847091	180224	3.1486592865808634	9105.391757433981	9138.57772391216	181.87690336996266
9069.295778357602	3.2058823529411766	9103.627974848638	98304	3.2063013108417455	9166.805880325053	9247.682391435597	256.2556510261396
9165.033646633752	3.264705882352941	9231.988894746282	262144	3.262997623583682	9225.298163909698	9301.348693158896	154.41107972294103
9085.592670200116	3.3235294117647056	9189.990556872614	180224	3.316500799398946	9210.918492069732	9329.274406498986	147.76240520189347
9362.297453424959	3.3823529411764706	9400.38160684385	81920	3.3748482993698348	9487.468023378866	9528.36144392141	178.2881737888426
9575.065067381722	3.4411764705882355	9655.969272484634	147456	3.4434583598714497	9587.2941154814	9893.997583399807	276.07550001538436
9319.712412841363	3.5	9582.130958516625	114688	3.4945285090212628	9647.015743697795	9730.875322564198	191.13975540382825
9680.167108426946	3.5588235294117645	9726.90657779031	32768	3.558091114923571	9726.906577790309	9773.646047153674	46.73946936336416
10104.057331119773	3.617647058823529	10163.503258353438	32768	3.623746622361356	10163.503258353434	10222.949185587097	59.445927233661685
10723.191239170892	3.6764705882352944	10723.191239170894	16384	3.690468315753323	10723.191239170892	10723.191239170892	1.8189894035458565e-12
10175.797136968462	3.735294117647059	10235.396048902174	32768	3.7270078218655662	10235.396048902174	10294.994960835884	59.59891193371095
10453.601309745176	3.7941176470588234	10693.079791143775	32768	3.7801662949864516	10693.079791143777	10932.558272542377	239.4784813986007
10801.63849127771	3.852941176470588	10801.63849127771	16384	3.8735066028067853	10801.63849127771	10801.63849127771	0.0
nan	3.9117647058823533	nan	0	nan	nan	nan	nan
nan	3.9705882352941178	nan	0	nan	nan	nan	nan
nan	4.029411764705882	nan	0	nan	nan	nan	nan
nan	4.088235294117647	nan	0	nan	nan	nan	nan
nan	4.147058823529411	nan	0	nan	nan	nan	nan
nan	4.205882352941176	nan	0	nan	nan	nan	nan
nan	4.264705882352941	nan	0	nan	nan	nan	nan
nan	4.3235294117647065	nan	0	nan	nan	nan	nan
nan	4.382352941176471	nan	0	nan	nan	nan	nan
nan	4.4411764705882355	nan	0	nan	nan	nan	nan
nan	4.5	nan	0	nan	nan	nan	nan
nan	4.5588235294117645	nan	0	nan	nan	nan	nan
nan	4.617647058823529	nan	0	nan	nan	nan	nan
nan	4.6764705882352935	nan	0	nan	nan	nan	nan
nan	4.735294117647059	nan	0	nan	nan	nan	nan
nan	4.794117647058823	nan	0	nan	nan	nan	nan
nan	4.852941176470589	nan	0	nan	nan	nan	nan
nan	4.911764705882353	nan	0	nan	nan	nan	nan
nan	4.970588235294118	nan	0	nan	nan	nan	nan
