[N II] Delta T	T1	T2	T3
-4901.9607843137255	508015002.2383097	9426171.03364438	0.0
-4705.882352941177	503607532.2953269	18594319.553906426	0.0
-4509.803921568628	519338557.15971726	19824129.839138493	0.0
-4313.725490196079	570197160.1327987	44908640.211650096	0.0
-4117.64705882353	664792142.2388897	28059379.034971267	0.0
-3921.5686274509803	749292022.9122602	26427716.311790556	29039822.369698767
-3725.490196078431	759117330.6765776	39171613.375232905	8772468.330834126
-3529.411764705882	830959124.5078027	30117804.537856843	0.0
-3333.333333333333	911084792.303542	22297978.802254215	0.0
-3137.254901960784	1152300758.9515986	39257764.390120365	10872675.519253312
-2941.176470588235	1266611879.4895847	17442286.598450124	8760589.621914508
-2745.098039215686	1497053282.1913812	41723803.95424038	12191648.807777803
-2549.0196078431372	1847998206.238859	82491585.41178663	9034070.48004217
-2352.9411764705883	2233417552.1088567	60376061.582620226	30139184.94695586
-2156.862745098039	3110952445.1215644	90767172.03203513	0.0
-1960.78431372549	4117297112.7527866	238106018.04472226	20991472.637175538
-1764.705882352941	5751429773.584285	383848973.6900991	54935413.302746736
-1568.627450980392	8037937195.921702	794725817.8316119	27375264.86028423
-1372.5490196078429	12129343710.726852	1566252101.2189653	170749476.96117628
-1176.4705882352937	17601870388.220715	3918509791.3693833	269427271.3883933
-980.3921568627447	26243741586.387115	9042672568.24894	807825049.9787313
-784.3137254901958	38537768017.48552	21241605194.688297	3669989167.0532136
-588.2352941176468	55344283388.20925	49106651338.08002	14975890003.186316
-392.1568627450979	73875266614.06729	95448891862.9932	59089671898.90096
-196.07843137254895	90841895018.83377	151727106437.47256	183112201524.4372
0.0	100769085126.9537	176158034734.56906	301101252115.859
196.0784313725494	95755813657.68843	153437618035.55356	179792926714.97638
392.1568627450988	79754131299.70082	96815093589.78613	55313018731.90267
588.2352941176478	60546038712.82135	47504022182.83332	13102569648.341427
784.3137254901967	41340745109.68897	20008168684.181377	2619116197.6800656
980.3921568627457	27422960608.69599	7259757330.194914	556102060.5659045
1176.4705882352946	17594069403.225914	2774128511.8048887	84215427.24762607
1372.5490196078435	12020068176.54928	874184371.9282407	66830364.66213185
1568.6274509803925	7796944750.240305	348285853.95239687	34693998.07741155
1764.7058823529414	5339826473.941748	167669612.1945447	0.0
1960.7843137254904	3904554510.790709	92965629.33271083	7581905.851728529
2156.8627450980393	2655907170.4883957	33743925.197938025	23153208.894662023
2352.9411764705887	1946371684.638684	60075677.82507283	0.0
2549.019607843138	1528604131.0605521	19360165.115510378	0.0
2745.098039215687	1183926473.206326	14825900.76010477	0.0
2941.176470588236	1015959615.2689754	34166093.14445175	0.0
3137.254901960785	843670225.504327	4485951.1410108125	0.0
3333.333333333334	742624228.4282362	0.0	0.0
3529.411764705883	576228621.2774098	9581741.654218616	0.0
3725.490196078432	529307236.4714958	0.0	0.0
3921.568627450981	488484238.9915837	17833208.03919293	0.0
4117.64705882353	419159738.42039114	0.0	0.0
4313.725490196079	376490913.5038218	6938843.910464591	0.0
4509.803921568628	325950564.1885582	13656054.771616872	0.0
4705.882352941177	290562406.4376383	5551434.862375019	0.0
4901.9607843137255	237914894.2716308	11643104.992369864	0.0
