T([S III])	T1	T2	T3
5098.0392156862745	422407412.77441406	19938744.96484375	8572634.15625
5294.117647058823	544585947.0861816	2181294.859375	4057748.5
5490.196078431372	763142658.546875	16048871.150390625	2560737.765625
5686.274509803921	1036943969.3435059	8626648.3359375	11789691.75
5882.35294117647	1509075875.8779297	7840452.5234375	0.0
6078.431372549019	1932031799.982666	9977355.453125	5965279.796875
6274.509803921568	2706904239.460449	9349935.78125	19906336.390625
6470.588235294118	3770583292.095703	23641715.73046875	16416807.3046875
6666.666666666667	5443316917.080322	105755304.03125	11615881.015625
6862.745098039216	7847882418.726074	425421615.515625	38300859.984375
7058.823529411765	11694673122.603516	1481737662.875	227485055.4296875
7254.901960784314	17561423064.378174	4249711370.25	882568664.875
7450.980392156863	25142016742.681396	11276933027.945312	2786003374.359375
7647.058823529413	35950106695.041504	25130895168.445312	8753471397.179688
7843.137254901962	46402089040.5022	46841854641.11719	21971569262.578125
8039.2156862745105	53853305764.965576	70847827979.72656	46948833042.953125
8235.29411764706	55771557647.987305	86005515393.92188	77599973709.28906
8431.372549019608	48681856670.368164	79544472118.72656	93609283360.86719
8627.450980392157	37541544598.01001	57407569067.78906	80647539877.49219
8823.529411764706	26027030066.01294	33350313398.8125	52504594172.53906
9019.607843137255	16157297128.043213	15038120564.007812	25584475361.015625
9215.686274509804	9553686831.043457	5517233904.8046875	10068139201.828125
9411.764705882353	5861045294.073242	2059990283.9375	3558565259.96875
9607.843137254902	3493878388.1674805	615714389.6640625	971559346.515625
9803.921568627451	2179951912.461914	195780843.84375	410128580.4375
10000.0	1497271143.2331543	66824740.5703125	271858172.828125
10196.078431372549	1023583123.1350098	31768371.0	134153749.859375
10392.1568627451	734026418.2426758	24824005.125	96031857.875
10588.235294117649	483065941.27685547	11843967.078125	108913361.796875
10784.313725490198	368857482.2895508	17616607.953125	67270172.046875
10980.392156862747	291221913.77783203	6173740.734375	23196039.546875
11176.470588235296	223288833.06201172	21746252.03125	15406758.0625
11372.549019607844	170456323.06933594	14395569.234375	26566953.265625
11568.627450980393	133791309.79882812	13211647.6875	22094391.0
11764.705882352942	107241199.3959961	8252581.453125	20550598.96875
11960.784313725491	90372383.2993164	6502981.4375	19715062.75
12156.86274509804	75542218.14697266	4518487.96875	9368045.0
12352.94117647059	66710408.56518555	0.0	7746383.75
12549.019607843138	59742920.572509766	0.0	6414678.125
12745.098039215687	48055531.751464844	4076155.171875	0.0
12941.176470588236	40120437.95019531	2303653.25	2682308.84375
13137.254901960785	34074311.57861328	1749693.40625	3852408.9375
13333.333333333334	33815221.244140625	2074625.859375	0.0
13529.411764705883	26619154.821289062	4621351.8125	4178818.9375
13725.490196078432	24486375.319335938	0.0	0.0
13921.56862745098	20098976.323242188	0.0	0.0
14117.64705882353	18363867.53857422	0.0	0.0
14313.725490196079	13860391.041503906	0.0	0.0
14509.803921568628	19534765.64794922	2366146.8125	0.0
14705.882352941177	13642907.353027344	0.0	0.0
14901.960784313726	15121487.84765625	0.0	0.0
