Y Median	Count	Y Mean	X Center	Y Std	X Mean	Y Upper Quartile	Y Lower Quartile
6751.192365737972	7520	6799.110742770667	2.8075630150895257	903.1287701986469	2.809530844328851	7435.92479528061	6080.407413299309
7083.360745239521	9504	7100.774412981135	2.8663865445012906	935.3534894830607	2.867031389838594	7796.19729977395	6359.958956763316
7257.468636176	12400	7318.336602279648	2.925210073913055	1011.1828642348094	2.9256920321039632	8098.491339233626	6545.68606059946
7402.926976309426	16720	7503.88755457637	2.9840336033248196	1068.06531687253	2.985197325012692	8358.14228366643	6684.015658673832
7566.084893813027	18592	7749.559190176524	3.0428571327365845	1140.7615419301387	3.0443553880142162	8570.191843157345	6902.339301415989
7782.495785252255	25120	8033.2195607421145	3.1016806621483495	1265.529348251211	3.1027360142668865	8996.986998744489	7090.226876830575
7943.417268851688	31840	8200.386598468282	3.160504191560114	1345.994074748671	3.1616002208335123	9153.883131310315	7259.89587282286
8140.919682360648	38432	8438.099438337427	3.2193277209718785	1422.8584399568226	3.220516866983209	9276.903081129805	7470.46584216478
8276.693744021628	49232	8591.271335905314	3.2781512503836434	1469.722092162277	3.2794501072716287	9237.128129715857	7621.768612604032
8433.977226200044	61104	8720.846727832384	3.3369747797954084	1498.2099049030082	3.337688525266054	9358.84023122579	7755.8584365603465
8549.087474608412	74512	8777.821072926556	3.395798309207173	1441.2186505495756	3.396771001055991	9369.278172479706	7825.475024287357
8656.380563363342	90368	8837.575834218795	3.4546218386189373	1378.9021559233418	3.4554305786625794	9428.103107324232	7894.334931013576
8723.171730331389	106640	8869.050992847453	3.5134453680307023	1248.2588625040949	3.5140794082286577	9480.527038358501	7925.411710594102
8710.928145536518	123056	8890.757186630542	3.5722688974424672	1118.3880899877913	3.5729697195906156	9507.435547020894	8042.558559636243
8689.701375617155	137648	8916.527407284158	3.6310924268542317	1007.2613847725411	3.631420170412461	9444.13896486568	8212.814012590688
8758.98349817791	140576	8934.610046979851	3.689915956265996	913.4056814408781	3.69012944963642	9389.180332229731	8349.500436338265
8875.215446078138	143872	8975.489901028483	3.748739485677761	812.8302220442059	3.74878291291668	9360.701059590407	8459.665955152404
8934.23364709009	136784	8985.98431822061	3.807563015089526	729.1006769742194	3.8074829064270355	9373.46348042661	8508.81664381716
8972.86096530572	130960	9009.462407170748	3.8663865445012906	647.2274989805368	3.866372169545715	9397.983561546545	8564.31339789104
9007.495831646738	126464	9058.74324146009	3.925210073913055	580.8661172256103	3.925097938939424	9407.118845637364	8675.64188931155
9099.87377590968	134176	9123.501485511984	3.9840336033248196	501.8952072921184	3.9842789218376717	9415.231420303393	8797.037500244496
9219.740585293592	137360	9238.965851435092	4.042857132736584	465.1943215449137	4.043093021239915	9515.409655726055	8940.636908071812
9315.885122941443	130336	9325.711796980648	4.1016806621483495	444.51074123100244	4.101237798969084	9599.577352169516	9041.144593096256
9388.177065994763	115632	9391.386705778528	4.160504191560114	438.4548871687704	4.159811212629558	9666.87265516366	9113.37069708085
9455.54950613266	101360	9451.096109056276	4.219327720971879	453.1666234210937	4.2184934305294135	9738.003536867334	9157.269133679849
9515.658544545777	81328	9516.146611115566	4.278151250383644	456.2650004200482	4.276993687490498	9807.836303545397	9213.290382244217
9609.415099402127	65952	9600.037541142776	4.336974779795408	470.44636442100636	4.336062879171509	9899.786536362868	9277.689676855709
9659.322929355316	55648	9656.045202194193	4.395798309207173	483.3450188620876	4.394272156459826	9971.912363840062	9328.896072952053
9688.78986539612	44688	9687.043604823635	4.454621838618937	539.0702093453228	4.453653602146835	10043.20435352126	9260.673304349153
9714.06085714616	35824	9744.349656649023	4.513445368030702	575.844499096855	4.512067657621808	10112.83962618758	9291.231728917166
9802.21287204017	27360	9827.572611865999	4.572268897442467	616.8552471556935	4.5707181788144435	10256.634783991853	9335.281023476784
9839.429126522602	20000	9891.17836011211	4.631092426854232	682.3023139966202	4.630239759129437	10370.56643258683	9278.759033464821
9934.924882929203	17072	9946.828221785023	4.689915956265997	751.2091458649401	4.6899803135384515	10470.622610927621	9257.272669454733
9946.092541916176	15504	9978.434837383682	4.748739485677762	773.7873884167012	4.748213663076632	10538.567970328008	9270.033856091546
10139.878331636222	11168	10128.241180922108	4.807563015089526	762.9521779848708	4.80684271618969	10612.177854209094	9416.046227512617
10280.552754583696	7152	10306.488587175627	4.866386544501291	745.3769509162499	4.862559173783057	10728.573562958678	9882.935191769791
10546.975056384817	4288	10610.106109294074	4.925210073913055	707.9986696566737	4.9230921777753895	10995.05982944035	10191.53339583582
10955.901111654013	3616	10956.021814765558	4.98403360332482	705.7924081136474	4.982602348542447	11304.14783471941	10343.649821221334
11118.46652633388	1824	11116.179986026591	5.042857132736584	788.0977917303201	5.039971845294871	11537.215916113526	10626.039990547417
11723.31745655997	1008	11717.689596805541	5.1016806621483495	952.7443613805623	5.095784973538083	12269.890686308934	11149.190087876324
11718.224999453083	816	11678.004665588056	5.160504191560115	734.9201820653288	5.157055738588559	12058.727504343537	11196.260734761572
11390.003871084722	224	11510.912029830739	5.219327720971879	554.8134725747435	5.2268195295155016	12037.623305903046	11023.753614532887
11388.56903202691	48	11600.474076643832	5.278151250383644	670.2445893739427	5.256233786232182	12506.529032036326	10906.324165868255
11558.854804704017	32	11558.854804704017	5.336974779795408	17.39202573872717	5.339134061524765	11576.246830442744	11541.46277896529
nan	0	nan	5.395798309207173	nan	nan	nan	nan
nan	0	nan	5.454621838618937	nan	nan	nan	nan
nan	0	nan	5.513445368030702	nan	nan	nan	nan
nan	0	nan	5.572268897442467	nan	nan	nan	nan
