[Cl III] log10 (N' / N)	T1	T2	T3
-1.4705882352941178	126597699.12733488	6941570.295210917	8867862.264908276
-1.4117647058823528	150713288.673563	7801291.809490897	6662215.05587906
-1.3529411764705883	143890436.95515382	22244250.151310086	3606297.173257589
-1.2941176470588234	187739545.61326084	18715193.044919576	8933567.596338708
-1.2352941176470589	223101140.11483645	25975317.41969069	0.0
-1.176470588235294	258803116.7433823	41488979.90007813	0.0
-1.1176470588235294	303435142.5293042	39772653.975455016	2946606.3389170384
-1.0588235294117647	355708675.7676784	68697897.48395118	5241157.11335367
-1.0	364229070.46704733	79233470.02202487	11775942.028497584
-0.9411764705882353	348912477.0116189	67856726.5304693	6283921.257847404
-0.8823529411764706	419673291.6566383	116232436.97733384	17590301.488571562
-0.8235294117647058	481523832.5918608	94265938.66039355	4080208.719258072
-0.7647058823529412	502141029.7942884	124350736.48718621	7569351.081886624
-0.7058823529411765	553302589.3806719	128337515.73293385	17365180.24211633
-0.6470588235294118	570596875.4590191	175003565.6544596	21599370.02555083
-0.5882352941176471	714342691.0185748	164439808.27991882	34017147.387634404
-0.5294117647058824	849200907.0784906	282577893.2052994	47644048.68674706
-0.47058823529411764	964872055.4213408	336386063.80732864	100550220.29043825
-0.4117647058823529	1162382597.2491207	539962730.4736108	136312299.8179813
-0.3529411764705882	1323585900.5320442	912933928.3484777	317863007.96249807
-0.2941176470588235	1802512509.2955966	1359926808.5466123	543410463.908001
-0.23529411764705876	2036868896.080777	2286445888.623692	1390348706.1552832
-0.17647058823529405	2491958563.1043234	3501173639.922035	2854340064.473029
-0.11764705882352944	2845316909.728074	5011083536.399687	5655990124.354928
-0.05882352941176483	3196297407.410554	6457064861.550167	8597932003.81242
-1.1102230246251565e-16	3396426985.136983	7137922307.821423	10049239118.125172
0.05882352941176461	3339003635.137089	6700876024.271762	8605241178.646801
0.11764705882352933	3248579764.9009285	5356823818.4466305	5488291133.926187
0.17647058823529405	2771087626.576783	3805368504.130655	2774036851.591894
0.23529411764705876	2395665629.7161303	2353108315.3693585	1301824594.6184654
0.2941176470588235	1956888427.0132077	1482874636.1710227	645803832.068124
0.3529411764705882	1628613468.5811605	817355133.5428926	323168225.6502141
0.4117647058823529	1286792844.87183	433745543.855103	154114969.04380706
0.47058823529411764	1033510468.2825459	306682479.7918092	80848653.3276526
0.5294117647058822	866532319.0869182	160130751.5056925	42452048.66072328
0.588235294117647	754342745.4944782	115681540.15282227	43085871.50202043
0.6470588235294117	616505521.3492479	71044362.87415938	20158545.229830723
0.7058823529411764	543098029.2985072	52028155.05234489	21772826.04817661
0.7647058823529411	455011976.75607026	45328093.53295512	7726917.5386385685
0.8235294117647058	402488983.1611181	34323223.70405757	0.0
0.8823529411764706	357593563.35349065	30975437.99507231	0.0
0.9411764705882353	340938869.12144244	30748769.65388327	2785832.3825187245
1.0	293493188.9970273	28421160.00315511	2759250.4676293083
1.0588235294117647	261129373.40270168	11318317.317948513	0.0
1.1176470588235294	224182738.3368968	10030291.772990188	5094980.661223587
1.1764705882352942	189741665.38723728	8380022.9071531175	0.0
1.2352941176470589	167063404.3333734	6445999.388949013	0.0
1.2941176470588234	158065422.05734837	1472383.9929851557	0.0
1.352941176470588	123595240.98260982	1458121.3179251438	5558134.897781859
1.4117647058823528	107253858.32398269	0.0	3133475.3367576296
1.4705882352941175	83221044.45175403	3138203.777608982	0.0
