Y Median	Y Std	Y Mean	Y Upper Quartile	Count	X Center	X Mean	Y Lower Quartile
-148.54981814441953	1800.8386803874896	-5.260282989717497	904.8299420419451	348	3.6216678344652173	3.6219871030399124	-908.8116769359074
-32.03960982836088	1758.8733968411864	54.58829982650996	847.931361317902	413	3.660883520739727	3.6611430530707927	-839.0863087150747
-2.1246400269125587	1770.9007216963867	127.88224905525873	955.7450648224465	481	3.700099207014237	3.701296884275084	-803.3556333482538
-84.20035036402831	1760.1459658055173	-16.986781063103155	807.3812172685575	614	3.7393148932887468	3.7401141060394507	-938.4558377872561
-54.572390013372114	1864.065341191626	45.67570295912816	926.9195505570733	748	3.778530579563257	3.7798507176891554	-859.2395487095857
13.832369625238371	1722.3099873626736	141.66415682307695	873.980702635361	877	3.8177462658377666	3.818555553151642	-794.178069446768
-3.9917494038099903	1697.8564010255686	26.49486243601297	762.0568839350071	1177	3.856961952112276	3.85692162151622	-799.3753253328232
23.071240830110398	1697.8036258762731	157.6178659640249	905.4000579040462	1418	3.896177638386786	3.897322186557195	-742.7726757488849
14.266236995206896	1690.3770528451957	131.4756890796697	848.0924062253362	1669	3.9353933246612955	3.9362531604619027	-715.702721227246
61.229902972932905	1627.2432854967292	162.9643507637034	900.5464798921021	2173	3.9746090109358057	3.975600897596847	-609.5244714789114
45.96825289778265	1594.0753518426843	173.55107682119046	880.8295152368762	2720	4.013824697210316	4.014636587443721	-615.7935294300257
48.198795971797026	1520.8900752958489	161.24040452510917	829.6552330868785	3504	4.053040383484825	4.0537249770819965	-593.8029863471911
71.78652613481844	1487.7779891057023	192.4685603707942	797.184289076341	4630	4.092256069759335	4.093363621458723	-549.9035572496741
72.80290331521739	1412.0822009528001	175.32864692570294	734.8807618683782	5912	4.131471756033845	4.1324625691926045	-476.98975240742516
79.56090139657408	1323.6528079903808	175.41686752610426	773.8232409693228	7681	4.170687442308354	4.171426573465938	-486.57642055537053
92.68106135024618	1292.9296600088267	199.16954967133032	761.8078265010076	9838	4.209903128582864	4.2106835634549125	-443.6048355603757
118.98488815308019	1246.8708870133182	251.3259387856878	800.19396215747	12324	4.249118814857374	4.24994509236219	-376.7954424713789
120.37681326671918	1195.2051972713741	253.67429923077378	770.6617858156246	15235	4.288334501131884	4.2890425134031425	-374.07323555820994
142.3777899299419	1196.15176894562	274.9104250007651	796.5551589711813	18185	4.327550187406394	4.327989625389636	-336.122790927815
140.14494775000458	1164.5946830864657	296.00612241031916	802.9860395916985	20777	4.366765873680904	4.36711806770926	-323.77940908617893
148.52003525281953	1122.6242940430998	305.8662396869995	796.2632167779225	22566	4.405981559955413	4.406166973868251	-287.9230932712353
151.40730806656484	1088.4409930567758	307.6745946711312	768.580851261687	24330	4.445197246229924	4.4453532711613954	-281.0077678859536
148.3966463781362	1077.7942036172744	298.9068372491632	748.7648898729781	24677	4.4844129325044335	4.484563150011877	-273.1206478807526
149.61840086862685	1033.8940183798625	304.4739708290032	727.4157215572286	25201	4.523628618778943	4.523787966320587	-253.3179923133066
133.7891479994626	997.5538796781776	297.042236863053	691.3369930458407	25287	4.562844305053453	4.562725893097171	-244.69823317290775
132.68227801535159	973.1183229617257	295.59834835448925	676.399400258241	24340	4.6020599913279625	4.601982070851068	-235.17995403349528
125.19274949260216	959.8062062672524	287.6138047120027	631.3306908338802	23158	4.641275677602472	4.640863889140061	-226.43949631739133
122.64762781702014	921.3655363329073	288.1900599244308	607.3762088792159	21476	4.680491363876982	4.680374249607296	-216.65664982881617
103.80740984084792	883.7409236055934	265.19351766736787	558.5527666630533	20365	4.7197070501514915	4.719645110495065	-215.47335425518668
77.52325727354855	847.0473573921598	223.7429228430411	480.80709621441383	20629	4.758922736426001	4.759109625726189	-228.83458688343762
69.45444515330291	808.8113825495385	205.76452821373294	431.91743841323654	23058	4.798138422700512	4.7985279633950135	-219.30083019662493
61.475089543640024	776.4089340255329	188.31855138553334	400.84285202206684	25236	4.837354108975021	4.8376823113399094	-210.81811856727245
45.3270324822015	740.2811387639565	159.5202168919622	353.72192751676266	28477	4.876569795249531	4.8769999185645565	-214.04589568545634
42.858393544943226	724.3050386395055	147.93396403866697	327.79969871256344	31978	4.915785481524041	4.916098441734411	-202.83672514759633
35.398528830262876	696.202836316883	129.27008433119883	298.6796884701962	34189	4.955001167798551	4.955163566483017	-198.33468438417185
31.48957493538728	653.0136387757793	112.28009930422144	278.31085822189743	35871	4.994216854073061	4.994459061484851	-189.06089675785825
22.766514291510248	625.6272640919267	92.70961902850739	251.04182795228462	39505	5.033432540347571	5.033794372030994	-182.58736354578014
22.70813343163445	605.0793170237675	85.39277505291422	236.55927153421246	41362	5.07264822662208	5.072665487383637	-175.2001694053124
18.422237527205652	588.2586167668746	71.26759599581858	223.73935342309414	39736	5.11186391289659	5.111675109959022	-174.37991231505612
12.029123547942618	551.899775330573	54.59442313346775	203.4166016325596	38692	5.1510795991711	5.150924007215078	-167.9400330463509
16.65799036381304	528.40043320448	49.882560816433426	199.57955332743586	35454	5.190295285445609	5.189959593880349	-159.2136882442387
10.84224493358488	531.5664804584338	40.99598552246299	185.27127724180718	30861	5.229510971720119	5.228999659853284	-156.7131469916185
17.52075383412557	515.5542743281508	41.75995448855829	186.81936825306366	25017	5.268726657994629	5.267853547447735	-147.31037925206147
11.255565992210904	525.1371315558224	30.623716498237798	177.5186596650783	18137	5.307942344269139	5.306664393856447	-145.2322115573188
7.64235982937862	531.7715542366966	13.441325752411942	170.0364843036714	12935	5.347158030543649	5.346307772096956	-153.93392700167442
