X Mean	Y Lower Quartile	Y Std	Count	Y Mean	Y Upper Quartile	Y Median	X Center
nan	nan	nan	0	nan	nan	nan	3.6216678344652173
nan	nan	nan	0	nan	nan	nan	3.660883520739727
nan	nan	nan	0	nan	nan	nan	3.700099207014237
nan	nan	nan	0	nan	nan	nan	3.7393148932887468
nan	nan	nan	0	nan	nan	nan	3.778530579563257
nan	nan	nan	0	nan	nan	nan	3.8177462658377666
nan	nan	nan	0	nan	nan	nan	3.856961952112276
nan	nan	nan	0	nan	nan	nan	3.896177638386786
nan	nan	nan	0	nan	nan	nan	3.9353933246612955
nan	nan	nan	0	nan	nan	nan	3.9746090109358057
nan	nan	nan	0	nan	nan	nan	4.013824697210316
nan	nan	nan	0	nan	nan	nan	4.053040383484825
nan	nan	nan	0	nan	nan	nan	4.092256069759335
nan	nan	nan	0	nan	nan	nan	4.131471756033845
nan	nan	nan	0	nan	nan	nan	4.170687442308354
nan	nan	nan	0	nan	nan	nan	4.209903128582864
nan	nan	nan	0	nan	nan	nan	4.249118814857374
nan	nan	nan	0	nan	nan	nan	4.288334501131884
nan	nan	nan	0	nan	nan	nan	4.327550187406394
nan	nan	nan	0	nan	nan	nan	4.366765873680904
nan	nan	nan	0	nan	nan	nan	4.405981559955413
nan	nan	nan	0	nan	nan	nan	4.445197246229924
nan	nan	nan	0	nan	nan	nan	4.4844129325044335
nan	nan	nan	0	nan	nan	nan	4.523628618778943
nan	nan	nan	0	nan	nan	nan	4.562844305053453
nan	nan	nan	0	nan	nan	nan	4.6020599913279625
4.636093063593897	-0.0018454339639859883	0.0	164	-0.0018454339639859883	-0.0018454339639859883	-0.0018454339639859883	4.641275677602472
nan	nan	nan	0	nan	nan	nan	4.680491363876982
nan	nan	nan	0	nan	nan	nan	4.7197070501514915
nan	nan	nan	0	nan	nan	nan	4.758922736426001
nan	nan	nan	0	nan	nan	nan	4.798138422700512
nan	nan	nan	0	nan	nan	nan	4.837354108975021
4.884184149041478	-0.00011913134398345123	4.0657581468206416e-20	8291	-0.00011913134398345127	-0.00011913134398345123	-0.00011913134398345123	4.876569795249531
nan	nan	nan	0	nan	nan	nan	4.915785481524041
nan	nan	nan	0	nan	nan	nan	4.955001167798551
nan	nan	nan	0	nan	nan	nan	4.994216854073061
nan	nan	nan	0	nan	nan	nan	5.033432540347571
5.068890991684151	-0.0017455406852451237	0.0006554179841386768	41013	-0.0016711955421903765	-0.0017455406852451237	-0.0017455406852451237	5.07264822662208
nan	nan	nan	0	nan	nan	nan	5.11186391289659
nan	nan	nan	0	nan	nan	nan	5.1510795991711
5.189550478365731	-0.00029892555842313647	5.421010862427522e-20	7316	-0.0002989255584231364	-0.00029892555842313647	-0.00029892555842313647	5.190295285445609
nan	nan	nan	0	nan	nan	nan	5.229510971720119
5.257529147355999	0.0007221344847896122	1.0842021724855044e-19	281	0.0007221344847896121	0.0007221344847896122	0.0007221344847896122	5.268726657994629
nan	nan	nan	0	nan	nan	nan	5.307942344269139
nan	nan	nan	0	nan	nan	nan	5.347158030543649
nan	nan	nan	0	nan	nan	nan	5.3863737168181585
nan	nan	nan	0	nan	nan	nan	5.425589403092668
nan	nan	nan	0	nan	nan	nan	5.464805089367179
nan	nan	nan	0	nan	nan	nan	5.504020775641688
nan	nan	nan	0	nan	nan	nan	5.543236461916198
nan	nan	nan	0	nan	nan	nan	5.582452148190708
