Y Lower Quartile	Y Upper Quartile	Y Std	X Mean	Y Mean	Y Median	X Center	Count
nan	nan	nan	nan	nan	nan	3.6216678344652173	0
nan	nan	nan	nan	nan	nan	3.660883520739727	0
nan	nan	nan	nan	nan	nan	3.700099207014237	0
nan	nan	nan	nan	nan	nan	3.7393148932887468	0
nan	nan	nan	nan	nan	nan	3.778530579563257	0
-0.03796617477303871	-0.008631137624101712	0.014667518574468498	3.8211569651881234	-0.02329865619857021	-0.02329865619857021	3.8177462658377666	32768
nan	nan	nan	nan	nan	nan	3.856961952112276	0
nan	nan	nan	nan	nan	nan	3.896177638386786	0
-0.03765627065401398	-0.03765627065401398	6.938893903907228e-18	3.940063028580054	-0.03765627065401399	-0.03765627065401398	3.9353933246612955	16384
-0.13461138669216807	-0.13461138669216807	0.0	3.961194621608136	-0.13461138669216807	-0.13461138669216807	3.9746090109358057	16384
0.13310494390801034	0.13310494390801034	0.0	4.0194730822195845	0.13310494390801034	0.13310494390801034	4.013824697210316	16384
-0.2997581884482483	-0.2997581884482483	0.0	4.058911117558337	-0.2997581884482483	-0.2997581884482483	4.053040383484825	16384
-0.0101684087558125	0.037434008826446395	0.03781209085981483	4.100632106003504	0.01888783854257538	0.008377761528058502	4.092256069759335	65536
0.056798342180577756	0.056798342180577756	1.3877787807814457e-17	4.144941813915919	0.05679834218057777	0.056798342180577756	4.131471756033845	16384
0.04182174785857609	0.04182174785857609	1.3877787807814457e-17	4.169717256521763	0.04182174785857608	0.04182174785857609	4.170687442308354	16384
0.015148287677111849	0.03807890626348699	0.08164983454181286	4.213184161978153	-0.007553810014852946	0.016272809907209532	4.209903128582864	81920
-0.08026583071226975	-0.0062401546829087265	0.04237163596819339	4.252180833856487	-0.04556501554934	-0.045083984198895026	4.249118814857374	131072
-0.006083014447315602	0.01744524166250549	0.023534797487609328	4.2899917140502195	0.004659309420401157	0.003833056333916858	4.288334501131884	81920
-0.0006710940968273128	0.02573449944683981	0.034428386436404994	4.331807899491734	0.005641522147298271	0.02159922479308829	4.327550187406394	147456
-0.013253805559142677	-0.01034377101637272	0.02848803086426038	4.364015376405545	-0.020950572277674072	-0.012562415060909625	4.366765873680904	81920
-0.017733264484170976	0.016042094171915836	0.03113621409818652	4.395843268341836	-0.004222731355642714	0.0038822002591518516	4.405981559955413	131072
-0.012755664894604384	0.004954452166857468	0.011529596405609988	4.449003373631631	-0.0034532819002523786	-0.0023210850917920814	4.445197246229924	131072
-0.017819222571285202	0.015172082224989633	0.027729508604423594	4.48137388758727	-0.004861815981563156	-0.003490142954314372	4.4844129325044335	147456
-0.01786470593577684	-0.0010345327155913656	0.010186184539391088	4.523438281276634	-0.009145048630355307	-0.006273613408547267	4.523628618778943	114688
-0.03035194200006643	0.016822575067103985	0.023153394151159176	4.564996004975058	-0.0013931960902817105	0.009589280917060352	4.562844305053453	98304
-0.018143168292049424	0.010292192530287918	0.0190658617007078	4.598078577089781	-0.000781194312427114	-0.0018642088440077027	4.6020599913279625	163840
-0.006848333993316268	0.015631821933804496	0.00918368901936251	4.638621560685146	0.0041530926348727374	0.003675789964129986	4.641275677602472	49152
-0.00216332006228591	0.012209591214062189	0.0071864556381740505	4.685085684979635	0.005023135575888137	0.005023135575888139	4.680491363876982	32768
-0.00357044881518794	0.005578975947511587	0.004860154478854526	4.717631234962771	0.0006554760217287555	-0.0003783724988091618	4.7197070501514915	98304
-0.01411332533751119	0.005486778474574453	0.010615549863989307	4.762544221211215	-0.004751223231234481	-0.0036379590775501595	4.758922736426001	98304
-0.008378075880291418	0.002101490036686946	0.008592740279587344	4.792974739208132	-0.0028348669563485573	-0.0013053367858137858	4.798138422700512	114688
-0.0010306826804464746	0.005213069385566004	0.007819102688650829	4.826514478773372	0.0014890520163864964	0.002693334688733034	4.837354108975021	65536
-0.001276806313987734	0.006512536117371118	0.004166269976639862	4.8750855465084335	0.002695148338618842	0.0025405814647645438	4.876569795249531	65536
-0.00026416528352965637	0.006076807970238189	0.004500236354005838	4.911682143804217	0.0024832567004087567	0.0033293859862997756	4.915785481524041	65536
-0.002755697478015851	0.014662147056091243	0.010414286557475123	4.9528598192542965	0.004904336130846945	0.007002113447228448	4.955001167798551	65536
nan	nan	nan	nan	nan	nan	4.994216854073061	0
-0.0008612818067090548	0.0054852375476661455	0.00524483984814313	5.028390628154391	0.002650782565011567	0.00212221354956019	5.033432540347571	180224
-0.004862383419740532	0.0008452231924276449	0.002354987938577899	5.073463685163744	-0.0022499366800712278	-0.002732649812900795	5.07264822662208	49152
-0.002935693839034991	0.002043417498628156	0.002978473042975453	5.121257703714826	0.0006088017339209738	0.0011637151082135465	5.11186391289659	98304
-0.005410348546926285	0.0011934223014034738	0.0042193432718568525	5.155422779301757	-0.0024470816862909557	-0.0007115680825799723	5.1510795991711	81920
-0.001105627549243562	0.0006253212797932726	0.0021434163251386135	5.200711143227824	-0.0007317992151440912	0.00025149294569380215	5.190295285445609	65536
-0.0021638206789154203	-0.0016925777271738893	0.00023562147587076547	5.225740832183425	-0.0019281992030446547	-0.0019281992030446547	5.229510971720119	32768
-0.0029172178567646637	-0.0029172178567646637	4.336808689942018e-19	5.280955244451008	-0.002917217856764664	-0.0029172178567646637	5.268726657994629	16384
0.000481487036095568	0.0017101674117796551	0.0006143401878420436	5.30560544365908	0.0010958272239376117	0.0010958272239376117	5.307942344269139	32768
nan	nan	nan	nan	nan	nan	5.347158030543649	0
