Y Median	X Mean	Count	X Center	Y Mean	Y Lower Quartile	Y Upper Quartile	Y Std
nan	nan	0	3.6216678344652173	nan	nan	nan	nan
nan	nan	0	3.660883520739727	nan	nan	nan	nan
nan	nan	0	3.700099207014237	nan	nan	nan	nan
nan	nan	0	3.7393148932887468	nan	nan	nan	nan
nan	nan	0	3.778530579563257	nan	nan	nan	nan
nan	nan	0	3.8177462658377666	nan	nan	nan	nan
nan	nan	0	3.856961952112276	nan	nan	nan	nan
nan	nan	0	3.896177638386786	nan	nan	nan	nan
nan	nan	0	3.9353933246612955	nan	nan	nan	nan
nan	nan	0	3.9746090109358057	nan	nan	nan	nan
nan	nan	0	4.013824697210316	nan	nan	nan	nan
nan	nan	0	4.053040383484825	nan	nan	nan	nan
nan	nan	0	4.092256069759335	nan	nan	nan	nan
nan	nan	0	4.131471756033845	nan	nan	nan	nan
nan	nan	0	4.170687442308354	nan	nan	nan	nan
nan	nan	0	4.209903128582864	nan	nan	nan	nan
nan	nan	0	4.249118814857374	nan	nan	nan	nan
nan	nan	0	4.288334501131884	nan	nan	nan	nan
nan	nan	0	4.327550187406394	nan	nan	nan	nan
nan	nan	0	4.366765873680904	nan	nan	nan	nan
nan	nan	0	4.405981559955413	nan	nan	nan	nan
nan	nan	0	4.445197246229924	nan	nan	nan	nan
nan	nan	0	4.4844129325044335	nan	nan	nan	nan
nan	nan	0	4.523628618778943	nan	nan	nan	nan
nan	nan	0	4.562844305053453	nan	nan	nan	nan
nan	nan	0	4.6020599913279625	nan	nan	nan	nan
nan	nan	0	4.641275677602472	nan	nan	nan	nan
192.16054904383236	4.67958272311275	2	4.680491363876982	192.16054904383236	192.16054904383236	192.16054904383236	0.0
-151.16242226624308	4.726786340166971	107	4.7197070501514915	-92.02073263090469	-178.25105202179293	129.32011347193838	175.88836915552972
-9.333067418034261	4.765537946395395	1016	4.758922736426001	-20.666298592584923	-161.91245333905317	143.9101586988636	247.6070365033973
23.237079133832594	4.800044090666423	2967	4.798138422700512	15.390421919686842	-125.33889358120177	160.592133174252	216.42225272277085
-8.744176455746128	4.839247976717976	3623	4.837354108975021	-23.8629188436491	-146.8469436799005	98.58372089083241	203.3768885715043
-3.817068278869556	4.8788500043554714	4077	4.876569795249531	-3.4704342121171283	-126.58018589621497	115.24863986352284	192.40580385637324
15.858987902533045	4.916320884849733	5747	4.915785481524041	4.971474552633822	-117.56286162723518	124.3888000029583	188.1560639550311
13.771552036376306	4.95367356461301	5249	4.955001167798551	8.38879689029794	-104.32563671603202	120.76574503541815	180.97040866314808
-10.924003209940565	4.995673234329205	4576	4.994216854073061	-6.875213747066969	-112.89562575208765	92.41016142149056	168.63963343232786
13.397780668727137	5.033270179545391	5614	5.033432540347571	9.400023792081582	-92.60015462649426	131.95709306705248	179.92647511609644
12.922949471651009	5.070416527352072	4935	5.07264822662208	0.774832941389179	-121.74557406169151	124.40784627243556	190.61742913015257
1.273544706937173	5.110803681173161	3354	5.11186391289659	-3.2180055319695287	-106.0841832435326	99.05016017654998	154.80126695171523
-7.417287254595067	5.150489796178405	2625	5.1510795991711	-5.649885675843714	-73.41369264028981	68.60717042197211	116.96083952740749
7.942176367945649	5.19058420283009	2040	5.190295285445609	21.550377647405565	-54.48085047646964	87.98568737625465	112.5064057810683
11.055979646469495	5.2276932922652986	2589	5.229510971720119	4.854447504658833	-57.68429554094473	82.15789446007875	110.5639341144103
5.227577059851683	5.268504169331104	2127	5.268726657994629	6.567723032214062	-61.33259672415625	70.22841212183266	101.41357120561045
-21.467780258144558	5.3083609909959835	2097	5.307942344269139	-16.29912502653545	-68.27865860365455	33.71662346314042	87.61981304692898
17.13369413255714	5.348789788536407	1694	5.347158030543649	7.9393567627884325	-53.519705990434886	86.92112461778015	118.12109000189561
12.422098026760068	5.384351611125012	1555	5.3863737168181585	-0.8064267497615114	-47.755471861842125	55.7171384908288	94.20822070055854
-7.086119648232852	5.420285064848894	830	5.425589403092668	-6.84302254765882	-79.96737205541831	72.47479861457941	111.12777993731753
-75.91081019227022	5.455289963307515	193	5.464805089367179	-62.18810650397264	-100.79509078761112	-11.830663950673625	89.43536258084212
-38.12579001931408	5.496326524658687	48	5.504020775641688	-42.06849576038682	-188.4039156799481	100.32421841810174	117.90573226482213
nan	nan	0	5.543236461916198	nan	nan	nan	nan
nan	nan	0	5.582452148190708	nan	nan	nan	nan
