[N II] Delta T	T1	T2	T3
-4901.9607843137255	11195270.044750215	0.0	0.0
-4705.882352941177	0.0	0.0	0.0
-4509.803921568628	6831550.046672064	0.0	0.0
-4313.725490196079	45139292.28963277	0.0	0.0
-4117.64705882353	25510163.39008759	0.0	0.0
-3921.5686274509803	37429810.75911247	0.0	0.0
-3725.490196078431	11349956.310954798	0.0	0.0
-3529.411764705882	11036756.535395665	0.0	0.0
-3333.333333333333	7351948.55560352	0.0	0.0
-3137.254901960784	52527719.18381874	0.0	0.0
-2941.176470588235	62725451.92436941	0.0	0.0
-2745.098039215686	23411122.71838715	0.0	0.0
-2549.0196078431372	33372295.81908013	0.0	0.0
-2352.9411764705883	177632777.85270536	0.0	0.0
-2156.862745098039	25624198.74367954	0.0	155629913.01967603
-1960.78431372549	72716848.32249966	0.0	0.0
-1764.705882352941	230218805.89711756	0.0	0.0
-1568.627450980392	214616633.48672414	0.0	0.0
-1372.5490196078429	420746400.35578936	0.0	0.0
-1176.4705882352937	799196000.0296648	0.0	348670535.2887377
-980.3921568627447	1722383678.3752093	94152497.76597723	0.0
-784.3137254901958	3492891424.079229	150768215.92447844	197738786.1027551
-588.2352941176468	10536644652.97869	553115023.6349792	0.0
-392.1568627450979	40476638530.1261	3505200341.0338926	560086075.0598211
-196.07843137254895	176947462776.95346	134512402222.70358	42971985032.208694
0.0	359219764187.7876	590165724934.1788	746547923535.9884
196.0784313725494	185284649880.4782	128158149788.42784	43582478903.170815
392.1568627450988	39982070239.258156	3113719164.8138547	458554590.512494
588.2352941176478	9241514175.694653	0.0	0.0
784.3137254901967	2893998979.3290153	0.0	0.0
980.3921568627457	1353484721.2690701	0.0	0.0
1176.4705882352946	695544897.3768953	0.0	0.0
1372.5490196078435	249835894.79764327	87416445.96963874	0.0
1568.6274509803925	249204639.87342694	0.0	0.0
1764.7058823529414	91564164.75623035	0.0	0.0
1960.7843137254904	72219936.43105413	0.0	0.0
2156.8627450980393	60538602.22052652	0.0	0.0
2352.9411764705887	39949075.25476947	0.0	0.0
2549.019607843138	14084977.16742438	0.0	0.0
2745.098039215687	19844519.08274596	0.0	0.0
2941.176470588236	12490552.867626743	0.0	0.0
3137.254901960785	15548349.551449275	0.0	0.0
3333.333333333334	25133832.107255667	0.0	0.0
3529.411764705883	15359389.994467411	0.0	119057721.24397753
3725.490196078432	0.0	0.0	0.0
3921.568627450981	35430469.3918075	0.0	0.0
4117.64705882353	0.0	0.0	0.0
4313.725490196079	16977782.685456328	0.0	0.0
4509.803921568628	24225809.29839315	0.0	0.0
4705.882352941177	0.0	0.0	0.0
4901.9607843137255	0.0	0.0	0.0
