log10[ N([S II]) ]	T1	T2	T3
2.0294117647058822	0.0	0.0	0.0
2.0882352941176467	0.0	0.0	0.0
2.1470588235294117	0.0	0.0	0.0
2.2058823529411766	0.0	0.0	0.0
2.264705882352941	0.0	0.0	0.0
2.3235294117647056	0.0	0.0	0.0
2.3823529411764706	0.0	0.0	0.0
2.4411764705882355	0.0	0.0	0.0
2.5	0.0	0.0	0.0
2.5588235294117645	0.0	0.0	0.0
2.6176470588235294	0.0	0.0	0.0
2.6764705882352944	0.0	0.0	0.0
2.735294117647059	0.0	0.0	0.0
2.7941176470588234	0.0	0.0	0.0
2.852941176470588	0.0	0.0	0.0
2.9117647058823533	0.0	0.0	0.0
2.9705882352941178	0.0	0.0	0.0
3.0294117647058822	0.0	0.0	0.0
3.0882352941176467	0.0	0.0	0.0
3.147058823529412	0.0	0.0	0.0
3.2058823529411766	0.0	0.0	0.0
3.264705882352941	1794342.421875	65895128.375	0.0
3.3235294117647056	260489574.8125	0.0	0.0
3.3823529411764706	235603601.4375	90255504.0	0.0
3.4411764705882355	347156399.5703125	186609171.34375	0.0
3.5	556303347.4609375	234243998.921875	0.0
3.5588235294117645	280386034.625	219889578.40625	0.0
3.617647058823529	129809037.890625	194647249.3125	0.0
3.6764705882352944	83738272.0	170717914.78125	88603910.375
3.735294117647059	0.0	231468053.3203125	216802.40625
3.7941176470588234	0.0	453567730.1484375	243188715.109375
3.852941176470588	0.0	124075167.5	313627019.109375
3.9117647058823533	0.0	0.0	177719818.0625
3.9705882352941178	0.0	0.0	626969675.125
4.029411764705882	0.0	0.0	346239760.0
4.088235294117647	0.0	0.0	0.0
4.147058823529411	0.0	0.0	0.0
4.205882352941176	0.0	0.0	0.0
4.264705882352941	0.0	0.0	0.0
4.3235294117647065	0.0	0.0	0.0
4.382352941176471	0.0	0.0	0.0
4.4411764705882355	0.0	0.0	0.0
4.5	0.0	0.0	0.0
4.5588235294117645	0.0	0.0	0.0
4.617647058823529	0.0	0.0	0.0
4.6764705882352935	0.0	0.0	0.0
4.735294117647059	0.0	0.0	0.0
4.794117647058823	0.0	0.0	0.0
4.852941176470589	0.0	0.0	0.0
4.911764705882353	0.0	0.0	0.0
4.970588235294118	0.0	0.0	0.0
