Y Median	Y Upper Quartile	X Mean	Count	X Center	Y Std	Y Mean	Y Lower Quartile
-0.020429557816209688	0.052135274604283244	3.625352029825069	640	3.6216678344652173	0.08867190611956395	0.0006593713048678562	-0.05633987819774747
-0.013086433106103783	0.04480166163299294	3.6624176615755757	1136	3.660883520739727	0.09876773452657707	-0.0006101043190667842	-0.0545480565593035
-0.007409230025821953	0.03910596252927385	3.7016859267954834	1936	3.700099207014237	0.07534095434794742	-0.013825486570508133	-0.05474599026117712
0.0023898977956384863	0.04817573445795997	3.739256380103767	3008	3.7393148932887468	0.06887790284224947	0.0028258646538925495	-0.04509967891726428
-0.005568055224453657	0.04088136169402733	3.780936180985104	4000	3.778530579563257	0.08166375194590185	-0.0037029755516281466	-0.04620646661773892
0.0006367162837677414	0.0454967751268547	3.8191406289763847	6368	3.8177462658377666	0.08166299887187983	0.009721698368568942	-0.03801845715114328
0.001151315723967734	0.04895958457268046	3.8575868426720548	7200	3.856961952112276	0.07083502289523591	0.004294612245817307	-0.03949573574974604
0.0094319979425226	0.04974201524079085	3.89713330997182	9216	3.896177638386786	0.07564333157050697	0.011488918789938686	-0.033162461001028945
-0.002152636305434219	0.03667103470123929	3.9360463757186483	11376	3.9353933246612955	0.06671470969451185	0.000718148038178689	-0.04288268178665123
0.0029496638941988408	0.04273587035970878	3.9753804880894403	13104	3.9746090109358057	0.0687445218123508	0.007092789437372958	-0.030341733361320088
0.0037104167617490165	0.04267588192350935	4.014326228837467	14576	4.013824697210316	0.06409959145077009	0.007473683357773484	-0.030262949038328355
0.00037924237629246573	0.03485601799956363	4.0531016313857675	16304	4.053040383484825	0.06782719148069567	0.0035255843910075675	-0.035719296969366245
0.000842730021825222	0.034755480346912525	4.092616516329016	18848	4.092256069759335	0.06324500614606722	0.004401917540539922	-0.030722417480613065
0.0013845645613488559	0.03154516034494529	4.132601736715713	23808	4.131471756033845	0.053132106663345564	0.0021325441110766345	-0.03019007459696985
0.0015311840965032744	0.027388765167303545	4.172047972954061	35664	4.170687442308354	0.04615840433199711	0.0016913156101955613	-0.026096704950878503
3.889836199103172e-05	0.024637804896803256	4.211207880247578	56288	4.209903128582864	0.04127693493208876	0.000560744803197588	-0.02307298801790655
0.00016384542426054705	0.02287896906540387	4.250007904633381	79872	4.249118814857374	0.0401773468985556	0.0011975598581825187	-0.021984385538527208
-0.0013322017897223403	0.018811567569182282	4.288631720335274	101424	4.288334501131884	0.03554222894199771	-0.0009249321345794481	-0.02168883630029004
-0.0005971799512573936	0.018386812178183953	4.328056518708188	113088	4.327550187406394	0.031667263510357334	-0.00030776979573154766	-0.019315270123041014
-0.00027020466154573867	0.01710195421506941	4.366668590942507	115296	4.366765873680904	0.029387043357965305	-0.0003548339243286733	-0.01807318032985614
2.672397008455438e-05	0.016615153332058624	4.406045602923533	115648	4.405981559955413	0.027816271286559786	0.00015286294638005508	-0.016813850311983788
-0.0005729053306069481	0.01558486298903552	4.445023137340108	116544	4.445197246229924	0.02856458404584926	-0.00023829835224117803	-0.01687746515884779
-0.00016456855606135484	0.014777217144180253	4.484343663430515	111936	4.4844129325044335	0.024908586374254096	-0.00023509651170038748	-0.014981687655462376
0.0005830283042582221	0.014680790594589552	4.523363521964792	110512	4.523628618778943	0.024459321600349936	9.483698667898989e-05	-0.014457571947545914
-0.00041461016252824975	0.014115771548651039	4.562440041317187	105968	4.562844305053453	0.02368395152141852	-0.0002965023798560404	-0.014745287814296883
-0.0006097943617336188	0.013643805565103497	4.601977142559815	98768	4.6020599913279625	0.023430544225211583	-0.000663298584656588	-0.014995252098925589
0.0001351228379951589	0.014273103057538632	4.641147192739386	92784	4.641275677602472	0.022537489684559014	-0.00014127508508169715	-0.01463726770939815
-0.0005980082766363481	0.013842868389713409	4.6796233665171325	72896	4.680491363876982	0.022727494776581363	-0.00045258237141359946	-0.01461614458538757
-8.604627056785383e-05	0.013038460586454194	4.7195008626589345	60784	4.7197070501514915	0.02068742298917798	0.00010718373954010139	-0.013140443232204644
-0.00018764366425426922	0.012530545011325738	4.758802465090751	60528	4.758922736426001	0.020751936884755517	-0.00023322599636770193	-0.013156013767045659
0.0007284125052693482	0.012945291022047532	4.798760796413627	69248	4.798138422700512	0.020508055637773893	0.00039798971738955544	-0.012622092035764134
9.979583549797033e-05	0.01301637011392743	4.8370372012270035	67680	4.837354108975021	0.020172102995538215	0.0001582646605652675	-0.012929001723276386
-0.00048555329566557997	0.012209251680611816	4.877300983093112	68592	4.876569795249531	0.02011274245507553	-0.00015115388572704247	-0.012861509631992217
0.000428231131181207	0.012709665672438237	4.915786314627804	77056	4.915785481524041	0.019918223713674306	0.0005334129104436264	-0.011926547775630621
-0.00016182734545886786	0.012698121073334755	4.954755911667635	76448	4.955001167798551	0.020532477292591698	-0.00020972699622943576	-0.013708052737380553
-0.00024834058025044605	0.013253941744483032	4.994376338445491	68352	4.994216854073061	0.02100381057293797	6.0867332526892894e-05	-0.013623808487821017
7.449425335794092e-05	0.013676680340491281	5.034085033979971	78256	5.033432540347571	0.020766310281084895	0.00039996416788355113	-0.013026659636949923
-1.9064869492414364e-05	0.012893270265752547	5.072249690538	73760	5.07264822662208	0.02053578677203307	0.0003651819705914115	-0.012502707093407816
0.00044056442480885243	0.012764046657926189	5.1111438589191165	66640	5.11186391289659	0.0204355857753013	0.0004321963812840929	-0.012097056824912978
-0.0007156868106470727	0.012488878120806082	5.151094409828009	62448	5.1510795991711	0.02129119253259472	-0.0003157660732818286	-0.013372858682433623
