Y Std	Y Median	X Center	Count	Y Mean	Y Upper Quartile	Y Lower Quartile	X Mean
2148.4482917081427	-1149.5405098379742	3.6216678344652173	320	-137.54905884527497	-1088.106056741226	-1213.799029734716	3.624322790369901
1006.8917328827814	336.2446173848166	3.660883520739727	1024	284.02561775090726	1124.129423605957	-138.79928602264636	3.6658035604248584
1587.4530859562938	-308.08488290292144	3.700099207014237	2688	-292.75907665136174	696.9239790197844	-1353.405097650415	3.7012061314005056
1579.1887182515745	-150.4366052416426	3.7393148932887468	3648	-385.6547967988558	349.08046416382786	-861.4202727997235	3.739431738321151
1070.8205004452736	18.80669811813641	3.778530579563257	6720	34.20204946080888	504.52708548462033	-492.907755055041	3.779605766220136
1168.5223100793419	-90.17522744784037	3.8177462658377666	8128	-199.89755427408116	451.44323549841647	-733.5648517397682	3.8193933194404024
954.2393923364147	-113.73064753658491	3.856961952112276	11392	-119.95983190450848	470.2498135240803	-583.0307732871588	3.8577542285273303
881.2511226633513	-7.582365966334692	3.896177638386786	13696	-37.10533239071764	527.8325569337903	-507.777980114608	3.8961564951768706
764.5336776393268	-9.314246270436342	3.9353933246612955	14464	-62.15479013558599	431.2677410787801	-478.47182969619644	3.9356653499053973
882.8769860914474	100.87092571858193	3.9746090109358057	14272	-5.255254534363829	471.43175974027326	-375.2763510073564	3.9761551971901294
694.0025821637361	23.617181904035533	4.013824697210316	19776	-22.42656304658832	346.6477302161493	-375.5332291829927	4.014572609407884
740.1185048011462	21.754422618319495	4.053040383484825	21248	18.228963154859162	446.12700758428696	-352.043944695959	4.054235487959224
661.5336546489023	43.94817805958883	4.092256069759335	21440	46.31012946878933	386.2755498722545	-336.51049014887303	4.091778712113054
689.2445178594455	-15.493714882482891	4.131471756033845	23488	-27.91390340874502	300.76165373463937	-334.46406745247805	4.131778870319987
452.27931661929784	0.49247602885225206	4.170687442308354	33728	-21.565339946967004	271.9305168552055	-280.81228000583906	4.172274473774669
401.3195046155889	-11.317877551212405	4.209903128582864	63744	-24.414535717209347	199.53349640112788	-219.4373879602217	4.211210197063544
374.5581862831396	-6.044002769369399	4.249118814857374	92608	-20.428039905331957	185.78102096837938	-193.63624433224413	4.249588189425795
302.33587697167115	-4.8406794544061995	4.288334501131884	103488	-14.97074169159074	163.06437096290483	-190.16901502823657	4.288734698963964
267.7493058121828	1.2195080979090562	4.327550187406394	124608	-2.1515819311844138	149.23774660883464	-150.01443494991145	4.32768673952058
246.58493960103704	13.575780557496728	4.366765873680904	114560	-2.2495998595208073	142.05760662668217	-131.84192191540933	4.3669626981686225
239.45869068175227	-2.536558909638188	4.405981559955413	121152	-7.466656622628337	130.81515937503173	-133.97396137587566	4.406240641060393
216.05371332454143	4.1055668686512945	4.445197246229924	117696	-1.1302664581845165	127.7932639573246	-121.11309759218966	4.445512863520375
185.69700399415487	0.5393138969411666	4.4844129325044335	111808	0.5105787621004106	103.97965661186936	-110.86181486564783	4.484210054425732
191.73220631980624	4.811441865553206	4.523628618778943	113728	5.085948310673245	112.34737488016071	-111.07786033236516	4.523579690144905
177.57437094717082	-7.186172599727797	4.562844305053453	104128	-7.847419455789658	94.78267194577347	-114.12499221061807	4.562516185755528
170.02096367120413	-2.1535956840016297	4.6020599913279625	100544	-7.288696320517601	98.31252849852899	-106.41934102718005	4.601800186370986
174.95116070079223	1.7109621746549237	4.641275677602472	95296	0.5443237698578105	97.74532020623701	-95.31441145999088	4.641265525569403
160.06965685058026	0.000742067431929172	4.680491363876982	71232	-0.7517263656908989	93.62532609031041	-94.0513304873075	4.679264543475905
148.2121662510796	-2.7817353438476857	4.7197070501514915	61248	2.173891877479901	80.51008681939857	-82.40764301112358	4.7194347577148745
134.83862180433172	-7.950641409168384	4.758922736426001	60864	-6.369894921658953	74.10871564843183	-85.57725616238349	4.758818249748003
120.46907892068454	2.344270778094142	4.798138422700512	69952	2.0046446020121937	77.54449568539349	-73.46368332986276	4.799205580003345
120.13853558698018	-5.045406257076138	4.837354108975021	66304	-3.497948199726479	69.56479420085452	-78.77738098700911	4.836483459692159
111.69997099602323	8.727807559747816	4.876569795249531	68480	7.947952477977977	78.64477356753014	-60.32789933866843	4.877359867946391
107.2148622854019	4.530523327644914	4.915785481524041	78336	3.8936666604794037	73.88651271897834	-63.42293643634093	4.9156747974889905
102.86625777167508	0.6133770965479926	4.955001167798551	77504	1.3011554727396981	64.73954780280656	-60.101526523618304	4.9551814974111075
104.69427026058553	-5.825773343097353	4.994216854073061	65408	-5.179421798084181	58.446669787310384	-69.00747648925426	4.994384721727758
107.66146991960588	-2.9948990550055896	5.033432540347571	80384	-5.339572564081168	57.058928568988904	-66.41036089757654	5.033953352575532
102.2040484853952	-1.466358680920166	5.07264822662208	74176	-0.8536463384171445	55.04277775472292	-58.03611404847652	5.07251780700906
90.36248055744947	1.2169586127693037	5.11186391289659	65280	-1.2565587220184482	53.86861232434785	-54.4267691342061	5.1106416684688565
90.0282485282783	0.943101338919405	5.1510795991711	63232	1.0901483322599241	51.31844295994961	-51.342656111597535	5.150852933957216
85.04997368612729	-0.8508211576308895	5.190295285445609	55040	0.7652092121401756	45.592694427549304	-48.25822659209689	5.1898340294545475
89.22258011741124	-2.4054134112375323	5.229510971720119	46528	0.8380847249760659	54.850328122050996	-50.669638550214586	5.229355140163946
82.34710644284313	-2.2226090876720264	5.268726657994629	35776	-1.390349947069699	46.637161400994955	-45.52425217833297	5.268383908706569
97.98210235653961	-4.835937615765943	5.307942344269139	23872	-7.704912781277909	37.952642099646255	-44.6546863920903	5.306672234614937
