Y Lower Quartile	Y Mean	Count	Y Std	X Center	X Mean	Y Median	Y Upper Quartile
nan	nan	0	nan	3.6216678344652173	nan	nan	nan
nan	nan	0	nan	3.660883520739727	nan	nan	nan
nan	nan	0	nan	3.700099207014237	nan	nan	nan
nan	nan	0	nan	3.7393148932887468	nan	nan	nan
nan	nan	0	nan	3.778530579563257	nan	nan	nan
nan	nan	0	nan	3.8177462658377666	nan	nan	nan
nan	nan	0	nan	3.856961952112276	nan	nan	nan
nan	nan	0	nan	3.896177638386786	nan	nan	nan
nan	nan	0	nan	3.9353933246612955	nan	nan	nan
nan	nan	0	nan	3.9746090109358057	nan	nan	nan
nan	nan	0	nan	4.013824697210316	nan	nan	nan
nan	nan	0	nan	4.053040383484825	nan	nan	nan
nan	nan	0	nan	4.092256069759335	nan	nan	nan
nan	nan	0	nan	4.131471756033845	nan	nan	nan
nan	nan	0	nan	4.170687442308354	nan	nan	nan
nan	nan	0	nan	4.209903128582864	nan	nan	nan
nan	nan	0	nan	4.249118814857374	nan	nan	nan
nan	nan	0	nan	4.288334501131884	nan	nan	nan
nan	nan	0	nan	4.327550187406394	nan	nan	nan
nan	nan	0	nan	4.366765873680904	nan	nan	nan
nan	nan	0	nan	4.405981559955413	nan	nan	nan
nan	nan	0	nan	4.445197246229924	nan	nan	nan
nan	nan	0	nan	4.4844129325044335	nan	nan	nan
nan	nan	0	nan	4.523628618778943	nan	nan	nan
nan	nan	0	nan	4.562844305053453	nan	nan	nan
nan	nan	0	nan	4.6020599913279625	nan	nan	nan
nan	nan	0	nan	4.641275677602472	nan	nan	nan
nan	nan	0	nan	4.680491363876982	nan	nan	nan
-29.113755988961202	-29.113755988961202	443	0.0	4.7197070501514915	4.728282024261481	-29.113755988961202	-29.113755988961202
nan	nan	0	nan	4.758922736426001	nan	nan	nan
5.443481088132103	5.443481088132103	3858	0.0	4.798138422700512	4.811179057970562	5.443481088132103	5.443481088132103
2.1149359350511077	1.8710810768527175	2392	2.7252320065434597	4.837354108975021	4.844118737334587	2.1149359350511077	2.1149359350511077
-12.484346262568579	-10.913963071784085	1805	4.967501472031046	4.876569795249531	4.871944214452631	-12.484346262568579	-12.484346262568579
-11.703123088162101	-4.699182263101783	8124	6.94555932424978	4.915785481524041	4.907953938359968	2.1884822006049944	2.1884822006049944
-1.316781959756554	-1.316781959756554	1416	0.0	4.955001167798551	4.952275630667907	-1.316781959756554	-1.316781959756554
10.913240195990511	6.157029799779881	9801	12.152197876867454	4.994216854073061	4.988839130008662	10.913240195990511	14.616336455057535
15.778845137640019	13.927061424373594	3170	4.175537396191583	5.033432540347571	5.049755925388106	15.778845137640019	15.778845137640019
-0.6978838614686538	1.9736263336556037	3739	4.993578722587712	5.07264822662208	5.060512004009738	-0.6978838614686538	10.26391664880066
6.8110788656504155	6.858129420252131	1076	0.7702507750545784	5.11186391289659	5.110313576277757	6.8110788656504155	6.8110788656504155
-4.074520000582197	0.5820598199269555	11457	4.441979018065915	5.1510795991711	5.146045899368375	-0.5898111586757295	6.445626296434057
-1.8593612683507672	-1.8593612683507672	1662	0.0	5.190295285445609	5.191892968213763	-1.8593612683507672	-1.8593612683507672
0.6941967179718631	0.6941967179718631	2633	0.0	5.229510971720119	5.242684809171782	0.6941967179718631	0.6941967179718631
1.223953263137446	1.223953263137446	318	0.0	5.268726657994629	5.26115380747018	1.223953263137446	1.223953263137446
nan	nan	0	nan	5.307942344269139	nan	nan	nan
2.844354298169492	2.2292610722615582	4031	2.2470017881421622	5.347158030543649	5.3555224273637405	2.844354298169492	2.844354298169492
-1.0972207351751422	-1.0972207351751422	1140	0.0	5.3863737168181585	5.382985366662239	-1.0972207351751422	-1.0972207351751422
nan	nan	0	nan	5.425589403092668	nan	nan	nan
nan	nan	0	nan	5.464805089367179	nan	nan	nan
nan	nan	0	nan	5.504020775641688	nan	nan	nan
nan	nan	0	nan	5.543236461916198	nan	nan	nan
nan	nan	0	nan	5.582452148190708	nan	nan	nan
