X Mean	Count	Y Std	Y Mean	Y Upper Quartile	Y Lower Quartile	X Center	Y Median
nan	0	nan	nan	nan	nan	3.6216678344652173	nan
nan	0	nan	nan	nan	nan	3.660883520739727	nan
3.7029239664868605	1280	0.3746995676803336	3.263088478032773	3.502255798516609	3.075736136504546	3.700099207014237	3.283106408605691
3.744396337340976	1024	0.359773803217854	3.4482257676223003	3.5541174921637353	3.1874307907677393	3.7393148932887468	3.2933225153091743
3.7835060678947334	3584	0.670189595760839	3.8768459403034234	4.452115758804883	3.604151023743555	3.778530579563257	3.8145196311645524
3.814364922030363	3072	0.7703201066185571	3.450571212298255	4.029205305318346	2.9744470561835756	3.8177462658377666	3.6273727831367557
3.8549611927129384	6912	0.5361885623139595	3.4262288032833776	3.8362459202096444	3.066048758381803	3.856961952112276	3.392086187949578
3.899554807235235	7936	0.5807528921557138	3.48565856322911	3.9591850499648444	3.1172855214201745	3.896177638386786	3.5914011884706305
3.935199697908663	4864	0.5630708375157965	3.4839519334100633	4.00209045310943	3.1122538113695124	3.9353933246612955	3.378811334906332
3.975643426701758	7168	0.7104642003261168	3.434833561114249	3.8646517182938114	3.048417059911241	3.9746090109358057	3.285732785780864
4.0174032650145906	12288	0.5850042524010519	3.524508959421459	3.8233056368343874	3.06888097951184	4.013824697210316	3.540236968008934
4.054400036463866	13824	0.5966440333827219	3.571654113977736	3.950854433932247	3.187558355176964	4.053040383484825	3.5850911424644707
4.091731599366316	13824	0.5166249881796527	3.559040311200482	3.8989767634678536	3.3540627911828347	4.092256069759335	3.572403205046722
4.132704591604115	15360	0.5818278450777095	3.2087416248360108	3.6138188549669117	2.8485471083511795	4.131471756033845	3.205179107032114
4.170723092665548	20992	0.48371224761564113	3.3310689664180595	3.7031998916480764	3.0566995765996796	4.170687442308354	3.400445085050242
4.211715780630643	48896	0.4431539201909968	3.2453166122994928	3.542784787115348	2.9454304212740547	4.209903128582864	3.2732451855220823
4.249999069070526	71680	0.4279619464418831	3.1802362318307207	3.415282770737402	2.932322661249847	4.249118814857374	3.2076371900499336
4.288251973863562	83456	0.4101198263842696	3.1605036982187236	3.4129001752573735	2.9459597231954078	4.288334501131884	3.1864326317272083
4.328333852975654	103424	0.3818000385756107	3.142089436578429	3.3773910882100475	2.9315547060958265	4.327550187406394	3.171303263107548
4.366521421970807	96256	0.3946763448562796	3.17512211240142	3.423260803161746	2.9470212804244986	4.366765873680904	3.2007287170771246
4.406128413341005	109312	0.32853701625090276	3.1427364537104583	3.3508006182909456	2.959003373943368	4.405981559955413	3.1658849253306682
4.44480335429907	106752	0.3190424663078824	3.168554013995987	3.3778847850589404	2.9971473556870576	4.445197246229924	3.2111950217456084
4.484481627004414	108800	0.34553959133946577	3.1690043599567366	3.3720796091631886	2.9916237178710103	4.4844129325044335	3.2065997992921993
4.523705206086544	105216	0.32190017187885184	3.1865234027871105	3.4059244039048524	3.0039145302604084	4.523628618778943	3.2328987432833456
4.562671329666605	103680	0.2956957407063116	3.24936455079254	3.4310218145367655	3.079657862197348	4.562844305053453	3.2765380830130635
4.602498135021654	98816	0.2758461368969165	3.2826766891935732	3.462796019655414	3.1299588737372774	4.6020599913279625	3.3010410959814807
4.640953005561809	93184	0.2709850009406146	3.330116177240935	3.4818584689210086	3.1874614649188224	4.641275677602472	3.3394764558389
4.679092794980982	74240	0.2501373500002465	3.353704499289945	3.516418693489622	3.2204377531303603	4.680491363876982	3.3632013634021076
4.720549816389459	62208	0.2515237296057575	3.3752064444319836	3.5181172458926953	3.2522060476986043	4.7197070501514915	3.3984460385676813
4.759920691662371	58880	0.19403356238238062	3.422156903042029	3.539334956743102	3.3316598599429907	4.758922736426001	3.429781007675068
4.801005873186426	70144	0.1770582387184945	3.440324337030001	3.5563691644784488	3.3236423207193457	4.798138422700512	3.440110914759967
4.836890751677895	63232	0.13491744945678935	3.4670783507134466	3.5483692717775144	3.385082685795048	4.837354108975021	3.4630670220572153
4.8772490252756615	68864	0.14256021805516086	3.507854848545788	3.5979214471227983	3.4227032922866445	4.876569795249531	3.4995802957077977
4.915520102376935	77056	0.12894379084355131	3.551467239155629	3.6330325196431836	3.466240880420485	4.915785481524041	3.5478026115193426
4.954865931858302	78848	0.12435486771009574	3.5788208521545717	3.65380866811014	3.504016397512491	4.955001167798551	3.5740040188237097
4.9940463083853235	63744	0.14027118710570818	3.597610013423062	3.686221056516395	3.5048864598950495	4.994216854073061	3.603372453673563
5.034362560732032	85504	0.12335077649561947	3.610229678197442	3.6785712002996496	3.5263236233704776	5.033432540347571	3.6032077600718866
5.0734017003937595	73216	0.12377284882843352	3.6373805935282877	3.7221419991166305	3.548833404280558	5.07264822662208	3.6250014094076084
5.112462926915925	64256	0.11832716820438345	3.676771302323245	3.7522391301311986	3.6028028236441214	5.11186391289659	3.6675440288982766
5.15134234162821	61696	0.12573485284683347	3.719642135839163	3.7976317711976044	3.6335622692692846	5.1510795991711	3.713169741791582
5.189642798295941	57600	0.12441941010145413	3.7702675920806312	3.8539272160979188	3.6870158289634625	5.190295285445609	3.76181899034506
5.229274351500741	44032	0.13151326615800565	3.784900614016374	3.8594111685897228	3.684902365438809	5.229510971720119	3.774555610300206
5.266806266322549	36864	0.11710483090848063	3.855371936816214	3.9253380247032643	3.766990647995563	5.268726657994629	3.85204236701159
5.306465269929672	25088	0.14277238564959477	3.8865771260726505	3.966626341788669	3.7957943105812317	5.307942344269139	3.8781260875634103
5.347104943376547	16128	0.137935478811858	3.952890945496045	4.030498544774215	3.8579272090291212	5.347158030543649	3.9466697318412596
