Count	Y Std	Y Median	X Mean	Y Mean	Y Lower Quartile	X Center	Y Upper Quartile
0	nan	nan	nan	nan	nan	3.6216678344652173	nan
0	nan	nan	nan	nan	nan	3.660883520739727	nan
0	nan	nan	nan	nan	nan	3.700099207014237	nan
0	nan	nan	nan	nan	nan	3.7393148932887468	nan
0	nan	nan	nan	nan	nan	3.778530579563257	nan
0	nan	nan	nan	nan	nan	3.8177462658377666	nan
0	nan	nan	nan	nan	nan	3.856961952112276	nan
0	nan	nan	nan	nan	nan	3.896177638386786	nan
0	nan	nan	nan	nan	nan	3.9353933246612955	nan
0	nan	nan	nan	nan	nan	3.9746090109358057	nan
0	nan	nan	nan	nan	nan	4.013824697210316	nan
0	nan	nan	nan	nan	nan	4.053040383484825	nan
0	nan	nan	nan	nan	nan	4.092256069759335	nan
0	nan	nan	nan	nan	nan	4.131471756033845	nan
0	nan	nan	nan	nan	nan	4.170687442308354	nan
0	nan	nan	nan	nan	nan	4.209903128582864	nan
0	nan	nan	nan	nan	nan	4.249118814857374	nan
0	nan	nan	nan	nan	nan	4.288334501131884	nan
0	nan	nan	nan	nan	nan	4.327550187406394	nan
0	nan	nan	nan	nan	nan	4.366765873680904	nan
0	nan	nan	nan	nan	nan	4.405981559955413	nan
0	nan	nan	nan	nan	nan	4.445197246229924	nan
0	nan	nan	nan	nan	nan	4.4844129325044335	nan
0	nan	nan	nan	nan	nan	4.523628618778943	nan
0	nan	nan	nan	nan	nan	4.562844305053453	nan
0	nan	nan	nan	nan	nan	4.6020599913279625	nan
0	nan	nan	nan	nan	nan	4.641275677602472	nan
0	nan	nan	nan	nan	nan	4.680491363876982	nan
8	0.0	10.577737461846482	4.730738083607245	10.577737461846482	10.577737461846482	4.7197070501514915	10.577737461846482
435	0.0	-13.009077308901396	4.750933259154059	-13.009077308901396	-13.009077308901396	4.758922736426001	-13.009077308901396
3119	19.129364681266562	-7.464138925741281	4.8049987978079765	-7.09255647607976	-36.786672888145404	4.798138422700512	9.616219777433798
3022	7.117676240879482	-4.994397414477135	4.832885734492003	-2.0048655012555296	-8.61484422751164	4.837354108975021	8.087433158729255
5334	19.87061268914738	-0.3511155303549458	4.881358049180079	12.158369878047735	-6.011707731295246	4.876569795249531	23.744628520091283
4217	17.15599365050425	12.05442540790682	4.919820401829639	5.088895034448111	-11.611957521707154	4.915785481524041	18.640348876106145
5600	16.170206676004476	7.001075083217074	4.950612484004846	3.6640280630291713	-5.07051991822118	4.955001167798551	10.11496945331237
5139	7.610201981398981	-5.893503894480091	4.992830779860201	-5.770048859568024	-16.267331476905383	4.994216854073061	0.8728982229149551
4137	12.577571525351635	-0.2154726662865869	5.027415209373445	-4.819635662411928	-17.54087915506534	5.033432540347571	2.8999386252889963
6466	16.331070738161255	6.739699849208591	5.076000001124096	5.058332518818858	-11.309502422394871	5.07264822662208	20.447366130236333
3682	32.64533820966004	-1.030763534567086	5.109524550598141	-11.031081049385751	-60.87794259824295	5.11186391289659	23.206606033738353
2764	12.020184295102121	18.626873091991	5.145133567429174	11.16130037721244	-3.549032160128263	5.1510795991711	18.626873091991
2422	6.435507608622464	16.128881227408783	5.19426391172312	18.41226516027898	13.651534956650721	5.190295285445609	25.257075931003783
3168	19.093480571069474	-6.9517705425987515	5.2311385145400795	2.7717962711210293	-14.698947607947048	5.229510971720119	31.895438444802494
1280	23.181167458831624	0.41222674128221115	5.2660466003009345	12.002810470698023	0.41222674128221115	5.268726657994629	0.41222674128221115
3073	41.07426905707197	-24.45556317342016	5.315664669521018	-3.7438837449466993	-40.39159319005557	5.307942344269139	53.62214202094947
1024	0.0	-5.8236699175813555	5.361946056307564	-5.8236699175813555	-5.8236699175813555	5.347158030543649	-5.8236699175813555
2175	21.114054719871305	28.23523018258129	5.375386813526927	12.917546718156593	-11.114933234193813	5.3863737168181585	32.58290911609947
0	nan	nan	nan	nan	nan	5.425589403092668	nan
0	nan	nan	nan	nan	nan	5.464805089367179	nan
0	nan	nan	nan	nan	nan	5.504020775641688	nan
0	nan	nan	nan	nan	nan	5.543236461916198	nan
0	nan	nan	nan	nan	nan	5.582452148190708	nan
