Y Std	X Center	Y Lower Quartile	Y Mean	Count	X Mean	Y Median	Y Upper Quartile
nan	3.6216678344652173	nan	nan	0	nan	nan	nan
nan	3.660883520739727	nan	nan	0	nan	nan	nan
nan	3.700099207014237	nan	nan	0	nan	nan	nan
nan	3.7393148932887468	nan	nan	0	nan	nan	nan
nan	3.778530579563257	nan	nan	0	nan	nan	nan
nan	3.8177462658377666	nan	nan	0	nan	nan	nan
nan	3.856961952112276	nan	nan	0	nan	nan	nan
nan	3.896177638386786	nan	nan	0	nan	nan	nan
nan	3.9353933246612955	nan	nan	0	nan	nan	nan
nan	3.9746090109358057	nan	nan	0	nan	nan	nan
nan	4.013824697210316	nan	nan	0	nan	nan	nan
nan	4.053040383484825	nan	nan	0	nan	nan	nan
nan	4.092256069759335	nan	nan	0	nan	nan	nan
nan	4.131471756033845	nan	nan	0	nan	nan	nan
nan	4.170687442308354	nan	nan	0	nan	nan	nan
nan	4.209903128582864	nan	nan	0	nan	nan	nan
nan	4.249118814857374	nan	nan	0	nan	nan	nan
nan	4.288334501131884	nan	nan	0	nan	nan	nan
nan	4.327550187406394	nan	nan	0	nan	nan	nan
nan	4.366765873680904	nan	nan	0	nan	nan	nan
nan	4.405981559955413	nan	nan	0	nan	nan	nan
nan	4.445197246229924	nan	nan	0	nan	nan	nan
nan	4.4844129325044335	nan	nan	0	nan	nan	nan
nan	4.523628618778943	nan	nan	0	nan	nan	nan
nan	4.562844305053453	nan	nan	0	nan	nan	nan
nan	4.6020599913279625	nan	nan	0	nan	nan	nan
nan	4.641275677602472	nan	nan	0	nan	nan	nan
nan	4.680491363876982	nan	nan	0	nan	nan	nan
0.0	4.7197070501514915	-18.43690142048763	-18.43690142048763	8	4.731127199360321	-18.43690142048763	-18.43690142048763
34.086110165052304	4.758922736426001	64.34015256047678	46.0680795745695	560	4.758655932171327	64.34015256047678	64.34015256047678
13.871452053981642	4.798138422700512	-31.541490702895317	-14.04148338336507	2994	4.806517390974528	-12.480727840485997	1.8820154032036953
20.634446758304854	4.837354108975021	-1.854568337668752	21.88797751286554	3022	4.8329780877870405	17.92564715952176	48.43354972013549
25.639605907403105	4.876569795249531	-33.84393643001931	-7.223056136516279	4310	4.877553498636103	-18.792463647296245	1.428165644965702
17.959435923185726	4.915785481524041	-9.109510841739393	2.242666294777959	4217	4.9105578904561105	-2.302747347212062	5.855225207245894
23.260817833185996	4.955001167798551	-25.62912729045638	0.11090326318309099	6624	4.948317081937386	8.873831266939305	18.728423475506133
21.724120704261594	4.994216854073061	-27.628236704767914	1.578186746177323	5139	4.993245189783408	14.985310926578677	18.27983072528332
21.281931263442562	5.033432540347571	-27.85919001421098	-1.8515190878063257	4137	5.027765908064177	0.33423594882697216	15.843588395247934
25.540065890677752	5.07264822662208	-13.865187114075525	-0.5825654427663549	6466	5.075557269959639	-2.3778573581857927	25.71815443484047
15.734578587804066	5.11186391289659	-10.901410668328026	-1.3334692686128828	3682	5.110101169802138	-7.503155993075779	23.337103942340036
11.256892597727443	5.1510795991711	9.315976658375803	19.634660368435853	2764	5.144961521579389	14.784180778253358	33.339952501153675
6.252389430716037	5.190295285445609	15.11301856668797	14.386922022203708	2422	5.194829793857802	15.11301856668797	18.871126445907066
9.471964072278453	5.229510971720119	3.62462598707134	8.792061140995399	3168	5.23118625889368	3.62462598707134	5.326451603970781
2.078559268997924	5.268726657994629	-10.920006639857093	-11.959286274356055	1280	5.26559389510222	-10.920006639857093	-10.920006639857093
6.6469032814478775	5.307942344269139	-2.4910994861893414	3.6953772809076977	3073	5.315452003774572	0.6564071064858581	12.919044541413314
0.0	5.347158030543649	1.4012526931419416	1.4012526931419416	1024	5.361180215410941	1.4012526931419416	1.4012526931419416
10.55289469365971	5.3863737168181585	-22.469204005930806	-8.10622345588506	2175	5.3756180415522286	-1.8731157302427164	-1.8731157302427164
nan	5.425589403092668	nan	nan	0	nan	nan	nan
nan	5.464805089367179	nan	nan	0	nan	nan	nan
nan	5.504020775641688	nan	nan	0	nan	nan	nan
nan	5.543236461916198	nan	nan	0	nan	nan	nan
nan	5.582452148190708	nan	nan	0	nan	nan	nan
