Y Upper Quartile	X Center	Y Mean	Count	Y Std	Y Lower Quartile	X Mean	Y Median
nan	3.6216678344652173	nan	0	nan	nan	nan	nan
nan	3.660883520739727	nan	0	nan	nan	nan	nan
nan	3.700099207014237	nan	0	nan	nan	nan	nan
nan	3.7393148932887468	nan	0	nan	nan	nan	nan
nan	3.778530579563257	nan	0	nan	nan	nan	nan
nan	3.8177462658377666	nan	0	nan	nan	nan	nan
nan	3.856961952112276	nan	0	nan	nan	nan	nan
nan	3.896177638386786	nan	0	nan	nan	nan	nan
nan	3.9353933246612955	nan	0	nan	nan	nan	nan
nan	3.9746090109358057	nan	0	nan	nan	nan	nan
nan	4.013824697210316	nan	0	nan	nan	nan	nan
nan	4.053040383484825	nan	0	nan	nan	nan	nan
nan	4.092256069759335	nan	0	nan	nan	nan	nan
nan	4.131471756033845	nan	0	nan	nan	nan	nan
nan	4.170687442308354	nan	0	nan	nan	nan	nan
nan	4.209903128582864	nan	0	nan	nan	nan	nan
nan	4.249118814857374	nan	0	nan	nan	nan	nan
nan	4.288334501131884	nan	0	nan	nan	nan	nan
nan	4.327550187406394	nan	0	nan	nan	nan	nan
nan	4.366765873680904	nan	0	nan	nan	nan	nan
nan	4.405981559955413	nan	0	nan	nan	nan	nan
nan	4.445197246229924	nan	0	nan	nan	nan	nan
nan	4.4844129325044335	nan	0	nan	nan	nan	nan
nan	4.523628618778943	nan	0	nan	nan	nan	nan
nan	4.562844305053453	nan	0	nan	nan	nan	nan
nan	4.6020599913279625	nan	0	nan	nan	nan	nan
-0.6225946822378319	4.641275677602472	-0.6225946822378319	164	0.0	-0.6225946822378319	4.636091852196537	-0.6225946822378319
nan	4.680491363876982	nan	0	nan	nan	nan	nan
nan	4.7197070501514915	nan	0	nan	nan	nan	nan
nan	4.758922736426001	nan	0	nan	nan	nan	nan
nan	4.798138422700512	nan	0	nan	nan	nan	nan
nan	4.837354108975021	nan	0	nan	nan	nan	nan
10.948942156765952	4.876569795249531	10.948942156765952	8291	0.0	10.948942156765952	4.884135662357208	10.948942156765952
nan	4.915785481524041	nan	0	nan	nan	nan	nan
nan	4.955001167798551	nan	0	nan	nan	nan	nan
nan	4.994216854073061	nan	0	nan	nan	nan	nan
nan	5.033432540347571	nan	0	nan	nan	nan	nan
3.962709777693817	5.07264822662208	3.923644901922854	41013	0.3443913223702842	3.962709777693817	5.068774512355516	3.962709777693817
nan	5.11186391289659	nan	0	nan	nan	nan	nan
nan	5.1510795991711	nan	0	nan	nan	nan	nan
-6.992753540351259	5.190295285445609	-6.992753540351259	7316	0.0	-6.992753540351259	5.1895430612398945	-6.992753540351259
nan	5.229510971720119	nan	0	nan	nan	nan	nan
-4.822498693658417	5.268726657994629	-4.822498693658417	281	0.0	-4.822498693658417	5.257491837728588	-4.822498693658417
nan	5.307942344269139	nan	0	nan	nan	nan	nan
nan	5.347158030543649	nan	0	nan	nan	nan	nan
nan	5.3863737168181585	nan	0	nan	nan	nan	nan
nan	5.425589403092668	nan	0	nan	nan	nan	nan
nan	5.464805089367179	nan	0	nan	nan	nan	nan
nan	5.504020775641688	nan	0	nan	nan	nan	nan
nan	5.543236461916198	nan	0	nan	nan	nan	nan
nan	5.582452148190708	nan	0	nan	nan	nan	nan
