[S III] Delta T	T1	T2	T3
-4901.9607843137255	62119698.78257332	0.0	0.0
-4705.882352941177	37759416.446242765	0.0	0.0
-4509.803921568628	55726306.01510862	0.0	0.0
-4313.725490196079	21456644.163960673	0.0	0.0
-4117.64705882353	0.0	0.0	0.0
-3921.5686274509803	18450092.424994733	0.0	0.0
-3725.490196078431	10126186.832818868	0.0	0.0
-3529.411764705882	6149624.304450289	0.0	0.0
-3333.333333333333	12400699.711798552	0.0	0.0
-3137.254901960784	0.0	0.0	0.0
-2941.176470588235	0.0	0.0	0.0
-2745.098039215686	0.0	0.0	181804204.49896428
-2549.0196078431372	0.0	0.0	0.0
-2352.9411764705883	0.0	0.0	0.0
-2156.862745098039	0.0	0.0	0.0
-1960.78431372549	78984036.28391522	0.0	0.0
-1764.705882352941	46308784.73413954	0.0	0.0
-1568.627450980392	11362064.60346353	0.0	0.0
-1372.5490196078429	17270625.59847974	0.0	0.0
-1176.4705882352937	204364078.59545133	0.0	0.0
-980.3921568627447	95879142.67187244	0.0	0.0
-784.3137254901958	286744916.1453312	0.0	0.0
-588.2352941176468	1187715505.8819754	165523669.6330159	172325719.82583115
-392.1568627450979	3490199370.196961	230075033.87224212	662065261.8381523
-196.07843137254895	59817935245.105576	8821394823.881071	8762979840.88931
0.0	600589477584.3926	741365053077.8752	719938582093.331
196.0784313725494	50302056315.05279	5673553267.830448	4079809930.62842
392.1568627450988	5612171049.828193	136414490.13160136	269284045.65490675
588.2352941176478	3805164906.871287	0.0	0.0
784.3137254901967	2674223371.943402	0.0	0.0
980.3921568627457	1935819842.46162	0.0	0.0
1176.4705882352946	1340094981.2795916	0.0	0.0
1372.5490196078435	1071636289.2076274	0.0	0.0
1568.6274509803925	463325576.8433814	0.0	0.0
1764.7058823529414	367652799.0269836	0.0	0.0
1960.7843137254904	220373765.6625781	0.0	0.0
2156.8627450980393	99044960.86349551	0.0	0.0
2352.9411764705887	33938559.59559733	0.0	0.0
2549.019607843138	13507291.07557806	0.0	0.0
2745.098039215687	18745852.71494518	0.0	0.0
2941.176470588236	45909875.95851319	0.0	0.0
3137.254901960785	0.0	0.0	0.0
3333.333333333334	0.0	0.0	0.0
3529.411764705883	6575859.655783076	0.0	0.0
3725.490196078432	13989255.00558007	0.0	0.0
3921.568627450981	0.0	0.0	0.0
4117.64705882353	32009390.206119295	0.0	0.0
4313.725490196079	17730625.20775321	0.0	0.0
4509.803921568628	28650787.101657208	0.0	0.0
4705.882352941177	7158803.591337724	0.0	0.0
4901.9607843137255	57119177.184188366	0.0	0.0
