Y Median	Y Lower Quartile	X Center	Y Upper Quartile	X Mean	Count	Y Std	Y Mean
0.006444537573820908	-0.04104403200910001	3.6216678344652173	0.05894262973140553	3.6237410667768897	704	0.12616473469326403	0.018952414727166463
0.002480319484374719	-0.048672184088333376	3.660883520739727	0.04886141911710028	3.6635787414092555	1216	0.0664097941208968	0.000639677174046265
-0.001869491816007165	-0.0487705693170799	3.700099207014237	0.054526230541500575	3.7014750114921893	1824	0.07881125163333999	0.002724292578880084
-0.0006204416507689001	-0.06121182654819837	3.7393148932887468	0.047379059111122154	3.740761891794859	2688	0.09221645470695829	0.0008399952738426697
0.0003416766632828905	-0.03527166594564775	3.778530579563257	0.05090663569320146	3.7804673039173764	4176	0.0747847014035668	0.008858609561291635
0.0001308857574371228	-0.04344685626395434	3.8177462658377666	0.04475165249576562	3.8189419821216792	5984	0.0867673801064723	0.003899210284375087
-0.0009380170717678588	-0.04528403633211429	3.856961952112276	0.0463945868037326	3.8576858926649202	7712	0.08121324967755661	0.006158671391035421
0.0045130727881570075	-0.03625800743823908	3.896177638386786	0.045026630056908885	3.89709385434697	9072	0.07750698879952937	0.0073406089068576465
0.0029777575832430864	-0.03622065072581737	3.9353933246612955	0.0455527557146049	3.9361902558795987	10976	0.08613434577783925	0.009798214110393772
0.0022026643465416097	-0.03743398547783227	3.9746090109358057	0.03802795394712717	3.9749817002414694	13472	0.06426695177247609	0.003147731584990356
-0.0025027492487428647	-0.03492781253502522	4.013824697210316	0.032055911048889815	4.014183112813819	15344	0.06673504056835108	0.000525395322249243
0.0006374922938415025	-0.03514124571024058	4.053040383484825	0.03748384335331714	4.053269903965638	16064	0.06032008046064827	0.0032817434793202217
0.0038713684212723773	-0.032069820074291946	4.092256069759335	0.03623989145368124	4.092794834611915	19472	0.0628910913728663	0.004664688272828007
-0.0018745762874292995	-0.03135839990010941	4.131471756033845	0.029522646481650455	4.132164795959351	22832	0.055146775516154906	0.00035982944711758686
0.001239944672603709	-0.02460697953853815	4.170687442308354	0.02716529517955069	4.172476064801205	36192	0.04665314348528062	0.0019842108532141006
-0.0005784263883428436	-0.02427381993382486	4.209903128582864	0.023648430463385998	4.210922351394221	55920	0.04513952727740236	0.00047500883314333353
8.146522165942911e-05	-0.022722193942611227	4.249118814857374	0.023203907721722275	4.249845624024531	81760	0.03847183988705929	0.000812385090372398
0.0006108457497671501	-0.019765608033602826	4.288334501131884	0.0213323859958818	4.289048016485837	99456	0.03589961420840735	0.0011478505901071376
0.0002521284467928617	-0.01812607853054568	4.327550187406394	0.018086286874077654	4.327942449136571	114288	0.032382844141369875	0.0003543282711627758
-0.000196513899657339	-0.017705001253394585	4.366765873680904	0.017305614483456494	4.366711991486703	115280	0.030221537759652358	-2.500377837957264e-05
-0.0001377414522565565	-0.016676041628353188	4.405981559955413	0.016552498279048092	4.405991919407957	114912	0.02788381390401985	-0.00021952503714034878
6.311044015336971e-05	-0.015731326227806746	4.445197246229924	0.01631680096677981	4.445243298475724	118000	0.02618920592590299	0.0002611530943546449
-0.000249009660617338	-0.015258739207288891	4.4844129325044335	0.014902534151341577	4.48441257976208	111328	0.02615822844180371	-0.00011543760950878646
-0.00023314876194960774	-0.015579518401460631	4.523628618778943	0.014761387524668882	4.523649320823349	111456	0.024389174322441653	-0.0004776954677160057
-0.0005026318372914234	-0.014911214808283751	4.562844305053453	0.014339092435816039	4.562805274597724	105392	0.025123168282834646	-0.0002512359137827466
-0.0005969124508942556	-0.015412655169659855	4.6020599913279625	0.013839445014448856	4.602108242968342	98320	0.023351874022442154	-0.0006667026733915571
-0.0005807039929450874	-0.014645695804118961	4.641275677602472	0.01445439114793506	4.640952618968615	92112	0.022897899001334855	-0.0005568718165771992
-0.00023368934071219872	-0.01428382422042411	4.680491363876982	0.013771165918366834	4.679447428200323	72816	0.022395791571044828	-0.000406529011749644
-0.00019636820746571392	-0.013866188728073263	4.7197070501514915	0.013310205896516051	4.719327457742423	61840	0.022013569456185884	-0.00023050160516067576
0.0004610944293266079	-0.012786652199012323	4.758922736426001	0.013565282194956993	4.759026386212229	60208	0.0211434534260829	0.0003779855141826826
-0.00023467305974247005	-0.01282495312412701	4.798138422700512	0.013116255396781516	4.798533363761432	68736	0.020320596513528275	0.00011410818142564099
0.0004741506853296279	-0.01215195122669811	4.837354108975021	0.013211493954261562	4.836889492440326	67312	0.019812140994445292	0.0004947739507943199
-0.00010232681400275215	-0.013190837983926175	4.876569795249531	0.012035341783615993	4.877185626411222	69760	0.019705253640777326	-0.0001045277339559738
0.0001324973454872558	-0.012395625364241433	4.915785481524041	0.01225553612123239	4.916008771554903	77200	0.01966762857536513	0.00012220877553061803
-0.0004570856156643338	-0.013131325175871154	4.955001167798551	0.012188301850414538	4.954675677400352	75408	0.020697768828937837	-0.0003236789792577482
0.00035470704559691866	-0.01210989193689954	4.994216854073061	0.012821823059383463	4.994246008804233	68400	0.02046574105499191	0.00044258744646765927
-0.00024217838646347568	-0.012940000205909437	5.033432540347571	0.012536040457995067	5.033954390706799	78512	0.02042967108029916	4.474466104563026e-05
-0.0006089185588136364	-0.013243197190108826	5.07264822662208	0.013361278548486646	5.072310101014828	74800	0.02089494548355027	-3.880519598389921e-05
0.00019946143374575257	-0.012679074476304989	5.11186391289659	0.01300149688831276	5.11139050931871	66064	0.020598910838984484	0.00012219521873879847
-9.088905170167958e-05	-0.012898119103790618	5.1510795991711	0.012783711195643019	5.151045267001303	61776	0.020907539342767817	7.971648230631158e-05
