[S III] Delta T	T1	T2	T3
-4901.9607843137255	367160560.7383671	152856005.213106	259934824.81326944
-4705.882352941177	320896540.9758159	243794297.861931	124624011.69413531
-4509.803921568628	265043165.62334967	158042867.51035905	168478190.45231104
-4313.725490196079	196279250.98850003	125334988.4613384	166376696.0230024
-4117.64705882353	140801752.2437623	71141325.8374382	92638593.7244269
-3921.5686274509803	119267702.81952682	69226682.50769414	126052898.90657163
-3725.490196078431	93953698.28225502	75816957.9272619	60534491.321845196
-3529.411764705882	113001925.93228081	32461533.066458315	84629702.06014991
-3333.333333333333	74988996.41253653	41710974.06636773	81120119.63663435
-3137.254901960784	88424397.6455094	59700224.13224378	47680722.791030526
-2941.176470588235	111517408.56104702	99610380.96106659	85220335.15197612
-2745.098039215686	116313585.10686326	142666885.47018993	88260751.58180243
-2549.0196078431372	162168524.76752138	77822688.52137037	157589566.4190887
-2352.9411764705883	177002383.05644405	137855876.06285354	162743390.46442786
-2156.862745098039	173022098.04172057	107793688.74899644	104756632.8414945
-1960.78431372549	234392752.058386	133702800.8476724	83406951.34087111
-1764.705882352941	205151146.36341697	140534867.36205354	203863246.11770615
-1568.627450980392	284630592.7536306	226182644.4609508	222575734.91318083
-1372.5490196078429	366343705.6595992	187612913.76312235	286261431.237455
-1176.4705882352937	755560542.4321221	249413786.79961812	174246895.82503825
-980.3921568627447	1719196187.2742872	457377070.5517218	333565798.40736604
-784.3137254901958	4672840135.995356	1385425949.018764	1386368082.3034296
-588.2352941176468	12143929308.439571	4583717173.666378	4364162705.939659
-392.1568627450979	36520157241.4491	17707537299.535942	12525425400.916775
-196.07843137254895	109676081372.63387	120859630889.12311	101251613560.38431
0.0	175351674325.8769	277407912864.7857	316841261593.10315
196.0784313725494	105050653632.26768	110795995234.48495	93590029719.00716
392.1568627450988	36279657747.05556	13933683104.967258	7620124271.402065
588.2352941176478	14879809639.69355	3737699461.5050774	2148629301.4792266
784.3137254901967	8958479690.763786	2381816134.0573063	567520093.0495344
980.3921568627457	6478554008.377359	1614374160.9707894	447492170.80250543
1176.4705882352946	5968890606.531389	1109667785.7951686	262639813.10132545
1372.5490196078435	5198770212.126308	845268326.8872814	142166935.23439565
1568.6274509803925	4674458779.091385	723333103.5248635	189171838.90534914
1764.7058823529414	3686488398.41184	543191805.8579965	89157574.38638386
1960.7843137254904	2998750376.394342	233643599.6838892	124283237.28365631
2156.8627450980393	2158777579.242602	185070859.76941043	166871797.14611664
2352.9411764705887	1331556671.548145	81777313.42297143	115122245.33799686
2549.019607843138	884410434.5127422	133830728.50179169	103757481.4002803
2745.098039215687	630413740.170073	85892220.44739018	52186333.58639079
2941.176470588236	418776166.4004787	103533854.38322502	77548024.83497211
3137.254901960785	303485966.7252988	101745011.94110443	75642001.66210794
3333.333333333334	190805612.87287763	47661618.414548494	11676154.694398617
3529.411764705883	123287286.30888282	59051540.66042509	0.0
3725.490196078432	104340470.25065257	47868142.47863901	41520184.57650596
3921.568627450981	74310512.50672911	46877731.02031452	22464961.82176646
4117.64705882353	84283307.4342698	71559279.27416424	59922130.83176935
4313.725490196079	132818266.99712579	100502320.18904175	10716584.914634254
4509.803921568628	154271912.13667154	72782187.5782275	43160621.57654171
4705.882352941177	169009584.89330566	58113055.18557727	59770865.43707113
4901.9607843137255	204236175.26486182	74685427.10854027	84655061.66734914
