X Mean	Y Mean	Count	Y Lower Quartile	X Center	Y Std	Y Upper Quartile	Y Median
nan	nan	0	nan	3.6216678344652173	nan	nan	nan
nan	nan	0	nan	3.660883520739727	nan	nan	nan
nan	nan	0	nan	3.700099207014237	nan	nan	nan
nan	nan	0	nan	3.7393148932887468	nan	nan	nan
nan	nan	0	nan	3.778530579563257	nan	nan	nan
nan	nan	0	nan	3.8177462658377666	nan	nan	nan
nan	nan	0	nan	3.856961952112276	nan	nan	nan
nan	nan	0	nan	3.896177638386786	nan	nan	nan
nan	nan	0	nan	3.9353933246612955	nan	nan	nan
nan	nan	0	nan	3.9746090109358057	nan	nan	nan
nan	nan	0	nan	4.013824697210316	nan	nan	nan
nan	nan	0	nan	4.053040383484825	nan	nan	nan
nan	nan	0	nan	4.092256069759335	nan	nan	nan
nan	nan	0	nan	4.131471756033845	nan	nan	nan
nan	nan	0	nan	4.170687442308354	nan	nan	nan
nan	nan	0	nan	4.209903128582864	nan	nan	nan
nan	nan	0	nan	4.249118814857374	nan	nan	nan
nan	nan	0	nan	4.288334501131884	nan	nan	nan
nan	nan	0	nan	4.327550187406394	nan	nan	nan
nan	nan	0	nan	4.366765873680904	nan	nan	nan
nan	nan	0	nan	4.405981559955413	nan	nan	nan
nan	nan	0	nan	4.445197246229924	nan	nan	nan
nan	nan	0	nan	4.4844129325044335	nan	nan	nan
nan	nan	0	nan	4.523628618778943	nan	nan	nan
nan	nan	0	nan	4.562844305053453	nan	nan	nan
nan	nan	0	nan	4.6020599913279625	nan	nan	nan
nan	nan	0	nan	4.641275677602472	nan	nan	nan
nan	nan	0	nan	4.680491363876982	nan	nan	nan
4.717063089232039	3.664201589388963	24	3.664201589388963	4.7197070501514915	0.0	3.664201589388963	3.664201589388963
4.765858017742938	3.403327192287014	988	3.298535765886403	4.758922736426001	0.21289229329730547	3.491765962622918	3.4436833551681225
4.799257104267439	3.580252317219577	2761	3.4814565436968827	4.798138422700512	0.17374543496285863	3.703540786739364	3.5941926381971783
4.836078654907519	3.5825828956796415	3650	3.4467239492362527	4.837354108975021	0.18660915344493492	3.701654873339551	3.611836152131581
4.878097554081133	3.6514238109886046	4148	3.5232873617868514	4.876569795249531	0.19419084952056587	3.8036111318996264	3.667167017323142
4.914765293232666	3.6981371179589435	5556	3.585378068130956	4.915785481524041	0.18006648245902523	3.8190073788405177	3.7247914735228305
4.951920098532138	3.6842205622323516	5537	3.573450207459353	4.955001167798551	0.16801105998025084	3.8109522380478715	3.662984804153419
4.996460432111306	3.7145099340826766	4635	3.5981078857156823	4.994216854073061	0.20238115388521527	3.8828714809948703	3.7239484529215314
5.034223369939669	3.684190485250622	5644	3.5266280604759217	5.033432540347571	0.17499827338248888	3.827866297553073	3.7149262636415843
5.07070415366904	3.7050154050951356	4767	3.5718648999544906	5.07264822662208	0.16000494687929906	3.8464730401007245	3.697328317927905
5.1092729462075575	3.814613799148372	3474	3.6534948151589397	5.11186391289659	0.17040821787801175	3.910812533641237	3.854616334940812
5.14914999419233	3.8567546923413936	2831	3.77037283643106	5.1510795991711	0.1352491907963658	3.961327196394361	3.868272413291275
5.189766768618606	3.9195300547048695	1528	3.806019476705664	5.190295285445609	0.14529209418014236	4.024861209486247	3.8582164528289806
5.228782572529016	4.011030592111288	3171	3.9323808333932506	5.229510971720119	0.11527163274309042	4.105091502105504	3.991917476756767
5.268217844182058	4.050409411123179	1724	3.9759521284457398	5.268726657994629	0.0895500793692466	4.1361201676980075	4.054672992531836
5.3038114275456545	4.0928351240772	2338	4.018721221367165	5.307942344269139	0.12178860137110771	4.165311289009984	4.095705513654733
5.3480273846045785	4.188243921115448	1603	4.099400706386695	5.347158030543649	0.11657868048624496	4.2881827043698815	4.186779654216629
5.386009261649111	4.187888174396589	1920	4.149099664297363	5.3863737168181585	0.14297314605386444	4.293088694125828	4.210122068204089
5.418853509134696	4.1838501869184075	574	4.156627066888998	5.425589403092668	0.10840390967240392	4.254612975108739	4.215160451394954
5.4567684399688945	4.2770985292288195	192	4.154192949710027	5.464805089367179	0.14319522818733674	4.477935586234549	4.19916705174188
nan	nan	0	nan	5.504020775641688	nan	nan	nan
nan	nan	0	nan	5.543236461916198	nan	nan	nan
nan	nan	0	nan	5.582452148190708	nan	nan	nan
