log10[ N([Cl III]) ]	T1	T2	T3
2.0294117647058822	1706459.08203125	1106408.8984375	0.0
2.0882352941176467	2646972.9111328125	2726954.333984375	0.0
2.1470588235294117	4713899.73828125	3032269.3740234375	0.0
2.2058823529411766	4816851.125	475691.08203125	0.0
2.264705882352941	3869486.125	3166667.51953125	0.0
2.3235294117647056	7391749.51171875	4195080.685546875	0.0
2.3823529411764706	8844770.517578125	3839026.30078125	0.0
2.4411764705882355	6537370.66796875	5856633.69140625	0.0
2.5	10431428.09375	6759437.1484375	834177.0859375
2.5588235294117645	9238735.719726562	7874222.953125	0.0
2.6176470588235294	15699047.0	11858109.095703125	186329.560546875
2.6764705882352944	16454668.169921875	9589257.4375	1517163.4921875
2.735294117647059	22723988.770507812	10836244.46484375	0.0
2.7941176470588234	20036241.2890625	9716768.83984375	0.0
2.852941176470588	21752215.78125	13436461.04296875	733413.6953125
2.9117647058823533	30056416.123046875	21022047.64453125	1499825.7421875
2.9705882352941178	31807914.711914062	27454874.931640625	871003.46875
3.0294117647058822	34397400.775390625	32229046.634765625	1606488.50390625
3.0882352941176467	41059756.67919922	28804028.4140625	744026.765625
3.147058823529412	44803018.501464844	28565801.947265625	5438170.84375
3.2058823529411766	47828774.55566406	34378207.3984375	2548586.9609375
3.264705882352941	61545674.84082031	50137899.66113281	7136164.6796875
3.3235294117647056	62439206.181640625	59637997.076171875	7935722.439453125
3.3823529411764706	72664244.0336914	69529190.24902344	9398242.92578125
3.4411764705882355	86610265.29199219	77859309.6040039	22974542.21875
3.5	94559467.00683594	101867677.55078125	21519645.17578125
3.5588235294117645	89743787.57861328	111021745.43066406	34651892.60546875
3.617647058823529	106692678.59082031	103059537.08007812	58435048.263671875
3.6764705882352944	118929773.6069336	132337791.58398438	73883386.4609375
3.735294117647059	108048122.828125	128772787.20996094	97180774.26953125
3.7941176470588234	102700149.25048828	139972549.6767578	112280901.99414062
3.852941176470588	115082584.95117188	108770914.46386719	118726286.66601562
3.9117647058823533	91045580.60498047	104378568.60839844	144866598.42578125
3.9705882352941178	95517038.65576172	113572890.78271484	128708641.02539062
4.029411764705882	90632826.80517578	123177252.92382812	188217978.16015625
4.088235294117647	71727677.74707031	99159201.76464844	156862594.01171875
4.147058823529411	63764223.447265625	84791552.34082031	163158751.82617188
4.205882352941176	67025644.12792969	68705638.15966797	115103704.34570312
4.264705882352941	57099444.84814453	66518276.341552734	111161589.19921875
4.3235294117647065	43531091.037597656	44259350.11230469	105642233.64746094
4.382352941176471	33919064.095214844	34859093.229003906	99182018.87402344
4.4411764705882355	26705119.583740234	33660916.185546875	81134080.21289062
4.5	28026010.978515625	28957677.974609375	74756869.85253906
4.5588235294117645	22544700.412109375	20369672.096191406	49800295.56640625
4.617647058823529	20352569.553222656	19166824.260742188	50679051.63671875
4.6764705882352935	15028601.307128906	16615219.311523438	28699969.76171875
4.735294117647059	11400009.374023438	12623968.153320312	33329253.662109375
4.794117647058823	11479077.634765625	7581854.837890625	29795659.421875
4.852941176470589	7102322.6796875	7396279.607421875	14742693.283203125
4.911764705882353	9495903.073242188	6116162.812011719	12344057.61328125
4.970588235294118	7955718.1142578125	4620973.1328125	11475105.125
