Y Lower Quartile	Y Mean	X Center	Y Upper Quartile	Y Std	Y Median	X Mean	Count
nan	nan	3.6216678344652173	nan	nan	nan	nan	0
nan	nan	3.660883520739727	nan	nan	nan	nan	0
nan	nan	3.700099207014237	nan	nan	nan	nan	0
nan	nan	3.7393148932887468	nan	nan	nan	nan	0
-0.003562085737039337	-0.001519941533914913	3.778530579563257	0.0005222026692095122	0.0020421442031244245	-0.0015199415339149124	3.76948568086239	8192
-0.007093545185158588	-0.002156682457071018	3.8177462658377666	0.005385563311718073	0.005417444219727364	-0.004762065497772535	3.8126619707800375	12288
-0.0018287887534569147	0.0004938098798921214	3.856961952112276	0.004746646301166731	0.0030114725055854006	-0.0014364279080334506	3.8606087929975517	12288
-0.004590132091744071	-0.0016303712844544466	3.896177638386786	0.0013531281395584354	0.0024263838918149277	-0.0016541099011777064	3.894798047194003	12288
-0.003555078732482333	0.001789666708556352	3.9353933246612955	0.00713441214959504	0.005344745441038686	0.0017896667085563534	3.9278116625095247	8192
-0.005755519141625857	-0.0038167446611703597	3.9746090109358057	-0.0012517526368913275	0.0045254555413234065	-0.0015502562670381495	3.9681664076228076	20480
-0.0031296012205084276	-0.0006200748932751953	4.013824697210316	0.003013230974504162	0.0029138506089980754	-0.0015818331229957223	4.012837955838787	28672
0.0032344357706515824	0.003650025337324639	4.053040383484825	0.004063490205766572	0.00042780396630419555	0.003647900639093516	4.058370503818918	16384
-0.0021807315314211896	-0.0020206316775700558	4.092256069759335	-0.001314044433996964	0.0013042059883523846	-0.0014741442878480975	4.088024501859076	16384
-0.002400102953672903	-0.0006485828812218083	4.131471756033845	0.0002576673881718656	0.002547376085054769	-0.001931419209383124	4.136366223723769	28672
-0.002078669984149524	0.0010381095962786176	4.170687442308354	0.0021379845231251113	0.003833958924844171	0.0011545377008017655	4.172424669167942	36864
-0.002655442143984836	0.00018384144322696372	4.209903128582864	0.0027133657588219204	0.0034977392445127244	0.0007671658845609552	4.210454258416725	77824
-0.0006989393616327283	0.0003625418631341633	4.249118814857374	0.001454124833154752	0.002475930247426117	0.0003067597305017327	4.250879395739754	110592
-0.00013970033517064914	0.0008297372810491933	4.288334501131884	0.0021001294923382787	0.0018870754285247623	0.0006664827401507689	4.28784252513088	114688
-0.0010127469068990827	8.49121922800151e-05	4.327550187406394	0.0011025092968561015	0.0017371365685935568	0.00029873203240299485	4.329201886816979	114688
-0.0008411497758769056	0.00022051901721069337	4.366765873680904	0.00142021249096791	0.001361341847416729	0.0001912064736612482	4.363087298921935	110592
-0.0005549376919908799	4.360528245098492e-05	4.405981559955413	0.0007296608834025108	0.0014442788364864892	0.00017954943692879803	4.405342368129762	122880
-0.0004622340503370068	0.0005082679732159741	4.445197246229924	0.0019796988945693	0.0019464487957812915	0.00041571483368100506	4.445132518706691	126976
-0.0006675112714274829	0.00016627993387055418	4.4844129325044335	0.0008912440835135467	0.0012255762961562256	0.00013782679007574774	4.480860708216956	114688
-0.001371027606495149	-0.00029289905564368275	4.523628618778943	0.0005617630524871517	0.0012641919828802026	-0.00024280448670005502	4.525654473157327	110592
-0.0013337103000594871	-0.0005204985235345095	4.562844305053453	0.00042385971468658304	0.0013151057846531435	-0.00019350134714723726	4.5628858358738835	110592
-0.001261088025442857	-0.00039515541879439864	4.6020599913279625	8.915210608935963e-06	0.0017747024843391987	-0.0006630872072759565	4.605772717759233	98304
-0.001265048067358574	-0.00019329879682863268	4.641275677602472	0.0005505300650803581	0.0013488353761338398	-0.0003608389531187312	4.6439068411646724	94208
-0.0009217646028458775	6.475684126341624e-05	4.680491363876982	0.0008025165009088632	0.0011340747770650118	-5.692847858917539e-05	4.685521611492764	106496
0.0003426312803278935	0.0009083332804513992	4.7197070501514915	0.0014111316280276285	0.00087406242001462	0.0012666980210891468	4.720682238700923	36864
-0.00047510840992173194	0.00044066817466733384	4.758922736426001	0.0012471788615658023	0.0012298961311100055	0.00032282063836494557	4.759737153002788	53248
-0.0009158017355663671	-0.000255035711734164	4.798138422700512	6.473827404018425e-05	0.000713951174871635	-0.000375104856038536	4.796553613289724	45056
-0.001257087222809248	-0.00019982013945123566	4.837354108975021	0.0008692970984016588	0.0011052459803288632	-0.00022701825519535487	4.836466831163497	77824
-0.0010294970874524666	-0.00013328287495117805	4.876569795249531	0.001052431764008182	0.001249239984625128	-0.0003679266758375781	4.877299084795692	102400
-0.0004799399790273945	-0.0001925124082411783	4.915785481524041	0.0002191706090037256	0.0012355870924795334	-0.00022392230149801318	4.9155667828233085	61440
-0.0005561222968939479	-1.0379776626455323e-05	4.955001167798551	0.0005604065874775862	0.0013425944949267857	-6.350340595457543e-05	4.9514761603801665	69632
-0.00012379399693524277	4.34824905288513e-05	4.994216854073061	0.0005299738922621392	0.0011361799923705848	0.00026771904452996286	4.993040429463187	57344
-0.0012626974515663602	-0.0002878892455495051	5.033432540347571	0.0009839769892967304	0.0014841958874245115	-0.00026062160918916645	5.036066509534038	90112
-0.0004262476995764095	0.0003483026126132196	5.07264822662208	0.0011846511838862401	0.0011968084161227098	0.000528124520258657	5.067387437217073	69632
-0.0010611540431415135	-0.00026910438963743846	5.11186391289659	0.000779009771624547	0.0012736824594166264	-0.0004854683570991567	5.111672960545388	81920
-0.0009682445343708464	3.102390454322404e-06	5.1510795991711	0.0008202660420239952	0.001426463251407655	-0.00044109882190700135	5.153331613529007	73728
-0.0009812892990739511	-0.0003077210996118664	5.190295285445609	0.00026133632358104453	0.0013889918562298837	-0.0006533647416455859	5.193768068384628	49152
