Y Median	Y Lower Quartile	Count	X Center	Y Mean	Y Upper Quartile	X Mean	Y Std
nan	nan	0	3.6216678344652173	nan	nan	nan	nan
nan	nan	0	3.660883520739727	nan	nan	nan	nan
nan	nan	0	3.700099207014237	nan	nan	nan	nan
nan	nan	0	3.7393148932887468	nan	nan	nan	nan
nan	nan	0	3.778530579563257	nan	nan	nan	nan
76.1719861511474	27.886858152636705	32768	3.8177462658377666	76.1719861511474	124.45711414965808	3.820714817203547	48.285127998510696
nan	nan	0	3.856961952112276	nan	nan	nan	nan
nan	nan	0	3.896177638386786	nan	nan	nan	nan
51.74808199117979	51.74808199117979	16384	3.9353933246612955	51.74808199117979	51.74808199117979	3.9407617901093484	0.0
-18.961133670443814	-18.961133670443814	16384	3.9746090109358057	-18.961133670443814	-18.961133670443814	3.9597811865437493	0.0
-8.282434892795209	-8.282434892795209	16384	4.013824697210316	-8.282434892795209	-8.282434892795209	4.019496509742526	0.0
-6.820718523591495	-6.820718523591495	16384	4.053040383484825	-6.820718523591495	-6.820718523591495	4.057263617475592	0.0
17.495395688511962	2.1002845184084435	65536	4.092256069759335	19.92718490519792	35.32229607530144	4.1009558124527885	21.57796993165229
52.87860652388372	52.87860652388372	16384	4.131471756033845	52.87860652388372	52.87860652388372	4.144611612742131	0.0
12.677447585951086	12.677447585951086	16384	4.170687442308354	12.677447585951086	12.677447585951086	4.1695054274339975	0.0
-14.519871016153047	-15.863333443759984	81920	4.209903128582864	-10.440480720762206	-0.028830838125941227	4.213542021126048	11.39127342418892
3.920957737601384	-9.423438407005278	131072	4.249118814857374	4.847718720098328	15.149404653926013	4.2527553883194535	21.64231335653163
-6.569464348656766	-10.182037978029257	81920	4.288334501131884	-4.9629269789928	-4.873717990028126	4.290291507577944	14.788080293910078
-2.7117821613210253	-16.390408588628816	147456	4.327550187406394	-5.99576438046683	5.015066964657308	4.331592719133229	16.93546326087748
11.623508598671833	1.5875799551358796	81920	4.366765873680904	7.857533969412907	12.214269192885695	4.363709694252113	10.31811914033257
-9.862923048395714	-19.164592305729457	131072	4.405981559955413	-9.492165622703396	-1.0561802752749827	4.395695558488973	11.141252156735549
-0.8710463157503909	-6.570378047235408	131072	4.445197246229924	0.9358738918954259	3.1528864666925074	4.449312078070473	10.29261573473242
-3.1140837753710002	-4.69980744829445	147456	4.4844129325044335	-2.1926388023466643	2.729358158818286	4.481423720901398	10.094709229572059
4.429909917616897	-1.720881702407496	114688	4.523628618778943	7.191441019264987	8.66189001931707	4.523355072790521	12.117710901931323
-4.369694435859856	-16.762793340241842	98304	4.562844305053453	-1.7017051017601261	3.0250349329726305	4.564756519223998	16.162838551030134
2.6368535939063804	-3.6515280709154467	163840	4.6020599913279625	3.1260986048286212	6.750638173920379	4.598110098023399	6.722521495822096
-6.683219594642651	-13.039118563829106	49152	4.641275677602472	-8.468522157928115	-5.68322831531259	4.638489828901236	3.257581850484633
-3.996976197114236	-13.29566886212342	32768	4.680491363876982	-3.996976197114236	5.301716467894948	4.684570878762764	9.298692665009183
-3.548733440480646	-11.946102058527686	98304	4.7197070501514915	-6.055335964893857	0.7166168356507114	4.717357015305429	10.354667167952444
-1.4375511464422743	-3.279425172475385	98304	4.758922736426001	0.19445650730176567	4.33129521790579	4.76250851116457	7.662531941136414
-7.061145307976403	-10.699958272158256	114688	4.798138422700512	-4.40554106413869	1.5804734351677325	4.792934758825877	5.717440649224234
-6.249476024838259	-10.107067145395376	65536	4.837354108975021	-6.943450756036782	-3.0858596354796646	4.826494039698172	4.4404939892715305
-4.0220969032152425	-10.4354099105135	65536	4.876569795249531	-6.8678875728969615	-0.4545745655987048	4.875071470936961	7.819985276887819
0.29950346281111706	-0.10804874362702321	65536	4.915785481524041	3.097808704358158	3.5053609107962984	4.9119124711789475	5.147502644976717
3.6236518215018805	-2.6267021815201588	65536	4.955001167798551	3.4245293853937255	9.674883388415765	4.95293740930983	7.075548851468185
nan	nan	0	4.994216854073061	nan	nan	nan	nan
-0.7042845207852224	-7.785993247442093	180224	5.033432540347571	-2.4299635333419163	1.1187347088034585	5.028309659244253	4.282126166015463
3.5785350137393834	1.2633616488965345	49152	5.07264822662208	4.014162389898047	7.200590507058223	5.073407275733398	2.443358349579685
5.607322292110439	-0.28268421772554575	98304	5.11186391289659	4.403026263072509	7.872969710791949	5.121269280004507	4.360003446685923
0.7709507732906786	-0.3499569637042441	81920	5.1510795991711	1.5232961937290384	1.4804550237604417	5.155388836545655	4.0541405434015125
0.6916424805604038	-1.5471503045268946	65536	5.190295285445609	1.1896601311882478	3.428452916275546	5.200614463345938	3.253069774679261
-6.608503870801542	-8.93917418982528	32768	5.229510971720119	-6.608503870801542	-4.277833551777803	5.225841692698404	2.3306703190237386
-1.2708154697720602	-1.2708154697720602	16384	5.268726657994629	-1.2708154697720602	-1.2708154697720602	5.281023903410437	0.0
0.7881043041270459	-2.811161497142166	32768	5.307942344269139	0.7881043041270459	4.387370105396258	5.305562148918028	3.5992658012692123
nan	nan	0	5.347158030543649	nan	nan	nan	nan
-3.653129607176197	-12.22321810147696	32768	5.3863737168181585	-3.653129607176197	4.916958887124565	5.4004058760722415	8.570088494300762
nan	nan	0	5.425589403092668	nan	nan	nan	nan
nan	nan	0	5.464805089367179	nan	nan	nan	nan
nan	nan	0	5.504020775641688	nan	nan	nan	nan
nan	nan	0	5.543236461916198	nan	nan	nan	nan
nan	nan	0	5.582452148190708	nan	nan	nan	nan
