Y Median	Count	X Mean	Y Upper Quartile	Y Mean	Y Std	Y Lower Quartile	X Center
nan	0	nan	nan	nan	nan	nan	3.6216678344652173
nan	0	nan	nan	nan	nan	nan	3.660883520739727
nan	0	nan	nan	nan	nan	nan	3.700099207014237
nan	0	nan	nan	nan	nan	nan	3.7393148932887468
nan	0	nan	nan	nan	nan	nan	3.778530579563257
nan	0	nan	nan	nan	nan	nan	3.8177462658377666
nan	0	nan	nan	nan	nan	nan	3.856961952112276
nan	0	nan	nan	nan	nan	nan	3.896177638386786
nan	0	nan	nan	nan	nan	nan	3.9353933246612955
nan	0	nan	nan	nan	nan	nan	3.9746090109358057
nan	0	nan	nan	nan	nan	nan	4.013824697210316
nan	0	nan	nan	nan	nan	nan	4.053040383484825
nan	0	nan	nan	nan	nan	nan	4.092256069759335
nan	0	nan	nan	nan	nan	nan	4.131471756033845
nan	0	nan	nan	nan	nan	nan	4.170687442308354
nan	0	nan	nan	nan	nan	nan	4.209903128582864
nan	0	nan	nan	nan	nan	nan	4.249118814857374
nan	0	nan	nan	nan	nan	nan	4.288334501131884
nan	0	nan	nan	nan	nan	nan	4.327550187406394
nan	0	nan	nan	nan	nan	nan	4.366765873680904
nan	0	nan	nan	nan	nan	nan	4.405981559955413
nan	0	nan	nan	nan	nan	nan	4.445197246229924
nan	0	nan	nan	nan	nan	nan	4.4844129325044335
nan	0	nan	nan	nan	nan	nan	4.523628618778943
nan	0	nan	nan	nan	nan	nan	4.562844305053453
nan	0	nan	nan	nan	nan	nan	4.6020599913279625
nan	0	nan	nan	nan	nan	nan	4.641275677602472
15.790505278080673	2	4.680949107444455	15.790505278080673	15.790505278080673	0.0	15.790505278080673	4.680491363876982
83.82157406625083	111	4.7335076560843214	222.98095184041995	-24.79427917000432	278.83552696362864	-334.6466695337858	4.7197070501514915
9.031987867461794	953	4.763734138208671	139.76943242409652	-18.41940438840649	218.2204149555702	-194.47023401579463	4.758922736426001
-0.9731544307014701	2960	4.7997271213099815	152.7517745461828	2.1600475875752316	218.76849717156392	-127.87128278158707	4.798138422700512
-32.404758819589915	3656	4.838527177442427	158.74400796025475	-5.3141601514102375	215.598592965673	-131.8888913467108	4.837354108975021
9.9697434372938	3997	4.8783316483011925	124.36119543919813	13.008358456214156	197.25653252725638	-122.42332119478306	4.876569795249531
2.8631501521904283	5765	4.915433663943514	105.80718018439984	-2.2961829103167375	181.4644525621653	-107.13525406870212	4.915785481524041
-11.171974909211713	5334	4.952657613790185	111.97211082267677	-9.963747240046787	184.6615461652152	-137.15583873644937	4.955001167798551
-4.256101585298893	4481	4.995360794607299	97.10489909038006	-8.230366899520874	166.35039734829772	-126.41543545145032	4.994216854073061
-0.950032572111013	6110	5.033838158597128	102.13966743152741	-3.3908250667342403	169.37568411806757	-109.90390759717411	5.033432540347571
13.863472574794287	4569	5.072188184373431	111.98858641275183	0.9415198597015324	179.6643819944162	-115.35460356985095	5.07264822662208
-18.479004243474265	3358	5.109991711588838	89.72588784133222	-17.621771773575656	135.8511128961796	-107.30584539181291	5.11186391289659
10.279769505797958	2644	5.1507200441219645	77.06593518219961	4.163930174521337	127.47496554489705	-76.48842275124662	5.1510795991711
16.75961926290438	1933	5.1907728958367745	76.3038137400672	11.924420242442903	101.38457105151605	-54.30502834951585	5.190295285445609
4.437925736312536	2584	5.226932121911408	66.28657344941894	-0.17737288127455172	106.25797056433572	-73.5059058135721	5.229510971720119
6.289495712257121	2146	5.267748892031251	67.77945795023334	3.9614741804241835	97.19628736224759	-57.25028395234949	5.268726657994629
12.352137464466068	2186	5.308114844297066	76.22807872529847	1.8068931357290712	103.19435176412641	-51.96754749499996	5.307942344269139
-6.667419101975611	1635	5.348818743985005	50.43373663866805	5.818901158916991	105.96271481841765	-60.68468464020043	5.347158030543649
1.4172946992384823	1578	5.383338079805795	66.65584412316093	-0.988026312317585	99.26280707423416	-60.155119423608994	5.3863737168181585
-28.381633128999965	870	5.422788003853755	55.42309053271856	-23.81482822482876	125.14103814475268	-105.39910186286579	5.425589403092668
-14.678877673612078	145	5.458405867417597	64.32883195674731	-9.694209680331	162.64763799174338	-87.66424386430117	5.464805089367179
-55.03896980972422	48	5.500245067976404	160.0677219488971	-48.93687434832342	168.2157163563242	-251.83937518414314	5.504020775641688
nan	0	nan	nan	nan	nan	nan	5.543236461916198
nan	0	nan	nan	nan	nan	nan	5.582452148190708
