all	lv6	lv1	hh-203	hh-202	big-arc	orion-s	bar-ifront	sky-sw	sky-ne	wavelength
1.586529e+06	1.993065e+06	3.981691e+06	2.310941e+06	9.966307e+05	1.064915e+06	1.581319e+06	1.798805e+06	2.477209e+05	1.709367e+05	4668.10
1.583679e+06	1.961314e+06	3.960064e+06	2.270830e+06	9.656311e+05	1.066124e+06	1.554208e+06	1.792753e+06	2.547608e+05	1.685956e+05	4668.95
1.580017e+06	1.952013e+06	3.973668e+06	2.265710e+06	9.575822e+05	1.060908e+06	1.549117e+06	1.774950e+06	2.621792e+05	1.808695e+05	4669.80
1.586671e+06	1.955423e+06	3.948769e+06	2.266645e+06	9.678387e+05	1.056793e+06	1.545302e+06	1.780746e+06	2.604975e+05	1.860159e+05	4670.65
1.586464e+06	1.945666e+06	3.961418e+06	2.243035e+06	9.414984e+05	1.061859e+06	1.540251e+06	1.753695e+06	2.570838e+05	1.853229e+05	4671.50
1.579390e+06	1.951629e+06	3.957258e+06	2.244158e+06	9.512079e+05	1.066207e+06	1.543115e+06	1.769653e+06	2.581275e+05	1.891626e+05	4672.35
1.577630e+06	1.977617e+06	3.975667e+06	2.243322e+06	9.761671e+05	1.068981e+06	1.553907e+06	1.752168e+06	2.631216e+05	1.817110e+05	4673.20
1.579911e+06	1.992576e+06	3.966057e+06	2.244281e+06	9.862507e+05	1.085065e+06	1.558429e+06	1.767018e+06	2.685494e+05	1.798301e+05	4674.05
1.584243e+06	2.013708e+06	4.013157e+06	2.241372e+06	1.001711e+06	1.109713e+06	1.580308e+06	1.756566e+06	2.701072e+05	1.835162e+05	4674.90
1.592190e+06	2.057006e+06	4.005921e+06	2.239387e+06	1.008614e+06	1.125696e+06	1.612563e+06	1.756255e+06	2.689067e+05	1.835422e+05	4675.75
1.597468e+06	2.071282e+06	4.031339e+06	2.241545e+06	1.021184e+06	1.124369e+06	1.627915e+06	1.773045e+06	2.682294e+05	1.802533e+05	4676.60
1.579685e+06	2.037181e+06	3.987855e+06	2.244745e+06	9.939270e+05	1.100335e+06	1.599148e+06	1.766752e+06	2.584233e+05	1.820727e+05	4677.45
1.569649e+06	1.980172e+06	3.956623e+06	2.252261e+06	9.585268e+05	1.067414e+06	1.554111e+06	1.756893e+06	2.498689e+05	1.793805e+05	4678.30
1.569927e+06	1.951137e+06	3.967656e+06	2.226203e+06	9.490433e+05	1.061467e+06	1.529492e+06	1.759240e+06	2.525359e+05	1.750654e+05	4679.15
1.577298e+06	1.945177e+06	3.979141e+06	2.208955e+06	9.499692e+05	1.059280e+06	1.526776e+06	1.755945e+06	2.530396e+05	1.749968e+05	4680.00
1.584163e+06	1.945559e+06	3.934362e+06	2.173560e+06	9.449841e+05	1.052529e+06	1.533569e+06	1.736145e+06	2.529752e+05	1.709941e+05	4680.85
1.583765e+06	1.955907e+06	3.901820e+06	2.178782e+06	9.545157e+05	1.052878e+06	1.534359e+06	1.748526e+06	2.536239e+05	1.835581e+05	4681.70
1.584411e+06	1.964338e+06	3.920960e+06	2.136493e+06	9.627731e+05	1.058868e+06	1.536358e+06	1.705499e+06	2.583471e+05	1.834814e+05	4682.55
1.577025e+06	1.953889e+06	3.890627e+06	2.117870e+06	9.518166e+05	1.055221e+06	1.530222e+06	1.691464e+06	2.580685e+05	1.830993e+05	4683.40
1.563827e+06	1.934592e+06	3.829355e+06	2.101529e+06	9.687679e+05	1.050546e+06	1.529838e+06	1.709844e+06	2.585231e+05	1.867336e+05	4684.25
1.550915e+06	1.917950e+06	3.796911e+06	2.105822e+06	9.692860e+05	1.042009e+06	1.517417e+06	1.696103e+06	2.599771e+05	1.880353e+05	4685.10
