X Center	Y Std	Y Median	Y Mean	Y Upper Quartile	Y Lower Quartile	Count	X Mean
3.6216678344652173	nan	nan	nan	nan	nan	0	nan
3.660883520739727	nan	nan	nan	nan	nan	0	nan
3.700099207014237	nan	nan	nan	nan	nan	0	nan
3.7393148932887468	nan	nan	nan	nan	nan	0	nan
3.778530579563257	nan	nan	nan	nan	nan	0	nan
3.8177462658377666	nan	nan	nan	nan	nan	0	nan
3.856961952112276	nan	nan	nan	nan	nan	0	nan
3.896177638386786	nan	nan	nan	nan	nan	0	nan
3.9353933246612955	nan	nan	nan	nan	nan	0	nan
3.9746090109358057	nan	nan	nan	nan	nan	0	nan
4.013824697210316	1.0408340855860843e-17	0.023131716253291537	0.023131716253291527	0.023131716253291537	0.023131716253291537	65536	4.030516637152971
4.053040383484825	1.0408340855860843e-17	0.030249657516680257	0.030249657516680246	0.030249657516680257	0.030249657516680257	65536	4.0360861173017435
4.092256069759335	nan	nan	nan	nan	nan	0	nan
4.131471756033845	nan	nan	nan	nan	nan	0	nan
4.170687442308354	nan	nan	nan	nan	nan	0	nan
4.209903128582864	nan	nan	nan	nan	nan	0	nan
4.249118814857374	0.017750938676273736	0.006727967819248225	0.006727967819248227	0.02447890649552196	-0.011022970857025508	131072	4.24812532276929
4.288334501131884	0.0065075726767052046	0.0013972958365914968	0.0013972958365914975	0.007904868513296701	-0.005110276840113707	131072	4.290305078361912
4.327550187406394	0.017050276938999617	-0.001887536180608786	-0.009721349111195614	0.0014802108871309143	-0.013089096178935316	262144	4.330343477584005
4.366765873680904	1.734723475976807e-18	-0.011546679784990124	-0.011546679784990126	-0.011546679784990124	-0.011546679784990124	65536	4.36822296136343
4.405981559955413	5.204170427930421e-18	-0.014665624311237337	-0.014665624311237331	-0.014665624311237337	-0.014665624311237337	65536	4.390739906093493
4.445197246229924	1.1557018004563699e-06	-0.00436198678974532	-0.004361986789745321	-0.004360831087944864	-0.004363142491545777	131072	4.432226857041355
4.4844129325044335	0.009590481626230427	0.004662766040482948	0.004662766040482949	0.014253247666713376	-0.004927715585747479	131072	4.497204853647194
4.523628618778943	1.6263032587282567e-19	-0.0003871424901556286	-0.00038714249015562875	-0.0003871424901556286	-0.0003871424901556286	65536	4.53539821369607
4.562844305053453	0.0013176521751379405	0.0026614856579108143	0.002661485657910814	0.003979137833048755	0.0013438334827728736	131072	4.554488696233803
4.6020599913279625	0.00014255391887221675	0.005679884935719361	0.00567988493571936	0.005822438854591578	0.005537331016847145	131072	4.6133666696265685
4.641275677602472	1.3010426069826053e-18	0.0025738636837742117	0.002573863683774213	0.0025738636837742117	0.0025738636837742117	65536	4.6360725657705535
4.680491363876982	0.0007922623409697404	-0.006595995995175071	-0.006101061588565479	-0.004983077656389958	-0.006724111114131409	196608	4.692981209542042
4.7197070501514915	0.0	0.004498030462548367	0.004498030462548367	0.004498030462548367	0.004498030462548367	65536	4.711747302002571
4.758922736426001	0.0	-0.005840337500154613	-0.005840337500154613	-0.005840337500154613	-0.005840337500154613	65536	4.763890234291451
4.798138422700512	0.00519575731249498	-0.0006295794393013938	-0.0006295794393013949	0.004566177873193585	-0.005825336751796373	131072	4.798963984758958
4.837354108975021	0.0038472651386789315	-0.0020989999601944073	-0.002098999960194407	0.0017482651784845242	-0.005946265098873339	131072	4.839130876768616
4.876569795249531	0.0	-0.002177840484837827	-0.002177840484837827	-0.002177840484837827	-0.002177840484837827	65536	4.884216874383596
4.915785481524041	nan	nan	nan	nan	nan	0	nan
4.955001167798551	nan	nan	nan	nan	nan	0	nan
4.994216854073061	nan	nan	nan	nan	nan	0	nan
5.033432540347571	0.0018037933141637147	0.0009823152443037934	0.000982315244303794	0.002786108558467508	-0.0008214780698599211	131072	5.040006423740867
5.07264822662208	0.0009532067141748609	-0.002050600252855104	-0.0019079953563350205	-0.0011653987243342126	-0.0027931968848559116	262144	5.066875120039522
5.11186391289659	0.0	-0.0020259751321311838	-0.0020259751321311838	-0.0020259751321311838	-0.0020259751321311838	65536	5.125120463724328
5.1510795991711	nan	nan	nan	nan	nan	0	nan
5.190295285445609	2.168404344971009e-18	-0.0036946555757983615	-0.0036946555757983593	-0.0036946555757983615	-0.0036946555757983615	65536	5.1895720171156645
5.229510971720119	nan	nan	nan	nan	nan	0	nan
5.268726657994629	0.0006998737843460387	-0.00010426481470097857	-0.00010426481470097852	0.00059560896964506	-0.0008041385990470171	131072	5.256554031951689
5.307942344269139	nan	nan	nan	nan	nan	0	nan
5.347158030543649	nan	nan	nan	nan	nan	0	nan
5.3863737168181585	nan	nan	nan	nan	nan	0	nan
5.425589403092668	nan	nan	nan	nan	nan	0	nan
5.464805089367179	nan	nan	nan	nan	nan	0	nan
5.504020775641688	nan	nan	nan	nan	nan	0	nan
5.543236461916198	nan	nan	nan	nan	nan	0	nan
5.582452148190708	nan	nan	nan	nan	nan	0	nan
