Y Median	Y Upper Quartile	Y Lower Quartile	Count	X Mean	Y Std	X Center	Y Mean
8242.188211076056	8295.55432660792	8210.492123844684	64512	4.837416650117477	77.41832678111342	4.837354108975021	8252.618022150167
8269.689924789727	8327.929706031953	8218.871750569115	75776	4.876755727395468	105.07390557158122	4.876569795249531	8278.630513746288
8312.092023688303	8341.57130907993	8271.294784176036	78848	4.917291400774467	97.50463612536963	4.915785481524041	8307.594023555896
8340.031810411163	8411.26274521521	8229.215441581086	70656	4.953891635636772	144.21410080548745	4.955001167798551	8310.111800209066
8302.677459834704	8436.407730009401	8179.844937176164	63488	4.993743358869567	148.21977407456595	4.994216854073061	8299.569279241345
8257.008367487253	8382.132994350635	8166.657101677076	87040	5.03391317655598	155.55137325521014	5.033432540347571	8271.789767516884
8340.616534769486	8490.370554951933	8190.945245757309	68608	5.073630704639015	190.3982031465432	5.07264822662208	8336.699320774922
8278.536345575594	8400.540263347915	8172.51722006713	73728	5.109901753010184	177.9255801391555	5.11186391289659	8300.851889140007
8366.65564778524	8516.864194905194	8224.554600956253	66560	5.152211062119163	185.6029998269008	5.1510795991711	8372.820507041455
8322.983976471292	8499.71493816247	8257.140612614745	53248	5.191825060546691	170.67369274275387	5.190295285445609	8390.334582205442
8340.177578234732	8491.119237734276	8276.486112004583	49152	5.2306235699623	196.7452181210974	5.229510971720119	8398.160259234255
8394.969192830442	8568.685471968633	8344.509698300222	33792	5.265425899589623	188.90944373884005	5.268726657994629	8428.444925231895
8488.654309585865	8709.817532390274	8373.923786463678	28672	5.310443591158722	209.51758096611275	5.307942344269139	8541.41457618272
8491.062784492582	8619.221717660812	8419.455175534848	8192	5.356122726793623	207.0005430983742	5.347158030543649	8555.705100728119
8578.91231562915	8779.011829279487	8407.503085508837	21504	5.3844406709733565	271.8079437631807	5.3863737168181585	8630.589907004267
8534.644862378624	8828.278348193726	8444.950377167746	10240	5.421843560944601	211.93869396085987	5.425589403092668	8601.686206479559
8486.231471597572	8508.756315747718	8429.427025055225	5120	5.4530586464850375	81.21465932408732	5.464805089367179	8486.984298179843
8646.48042043818	8646.48042043818	8646.48042043818	1024	5.489520802135316	0.0	5.504020775641688	8646.48042043818
9017.18573912085	9017.18573912085	9017.18573912085	1024	5.527010839914014	1.8189894035458565e-12	5.543236461916198	9017.185739120849
nan	nan	nan	0	nan	nan	5.582452148190708	nan
