Y Mean	X Center	Y Std	X Mean	Y Upper Quartile	Count	Y Lower Quartile	Y Median
3.9952337952759924	2.8075630150895257	0.5830490045046594	2.809843314247484	4.462378927856031	2348	3.6103270262013862	4.042818341335698
4.035883752437612	2.8663865445012906	0.5803053281731726	2.867643805095734	4.487011292597026	3244	3.722272080152388	4.092334618188976
4.059717296212969	2.925210073913055	0.5905284773789297	2.926183852762082	4.5100978379412116	4572	3.6853362886387937	4.139195941373937
4.062595888811526	2.9840336033248196	0.5648610564486874	2.9856468979212822	4.466061100236727	6448	3.7210874385952963	4.142634846158664
4.02938578777377	3.0428571327365845	0.5686098846099275	3.0438522821710645	4.456106460681941	8292	3.667942673716229	4.09332083935813
4.0237719772249285	3.1016806621483495	0.5819200954228817	3.1034044452342324	4.453102461279558	11480	3.660505036067569	4.098247449852291
3.999315015975703	3.160504191560114	0.5905367320201783	3.1620469071730244	4.435853618525088	16312	3.640754985689857	4.060130568250528
3.984178214303228	3.2193277209718785	0.5727762818420835	3.2207051831014364	4.403268985698766	20700	3.6303737058120564	4.05003861635084
3.956926602269501	3.2781512503836434	0.575278019058115	3.279169355272909	4.377563130025408	26924	3.5974199034029293	4.0132258320375565
3.9226498334034963	3.3369747797954084	0.5672799924103823	3.338246928900298	4.321006706589107	34428	3.577910175175024	3.9729981791758493
3.8760753391024707	3.395798309207173	0.5707165952310779	3.396666087527391	4.292496581636895	42668	3.519394144193232	3.9185025321231564
3.815698293271812	3.4546218386189373	0.5743308490376299	3.4552956902321545	4.213611238441668	50576	3.4754309275938313	3.857999854404267
3.7402772929241697	3.5134453680307023	0.5657727736057679	3.5142043452006755	4.132571381878544	59584	3.3926125198221406	3.7750903911215006
3.688371380538784	3.5722688974424672	0.5599093781993562	3.5728263080980818	4.066367156037128	66676	3.339424274790799	3.7200509816137877
3.636689420987133	3.6310924268542317	0.5614109511379289	3.6315153208455553	4.014769789068626	72720	3.28239576468343	3.660133559007816
3.6099120204231383	3.689915956265996	0.5624344927866816	3.6901987089220865	3.987889655169639	77268	3.249386928156441	3.6324571584955594
3.592683273738746	3.748739485677761	0.571084713124189	3.748862132799723	3.987585922713046	79948	3.224562773756798	3.614723928363339
3.5940365324454038	3.807563015089526	0.5636693271617866	3.8077222355577716	3.9829680866431665	82028	3.235732673540469	3.6323355237664448
3.5968867992617475	3.8663865445012906	0.5447422873469795	3.866548823423603	3.974928593120943	84756	3.2516591484055786	3.637275090106827
3.6043662570830852	3.925210073913055	0.5257774143195791	3.9254874568374976	3.9655511571477247	88452	3.2814485823924606	3.6533540331156056
3.59317558855633	3.9840336033248196	0.5041060648501486	3.9840894637755557	3.9303187697245088	93032	3.2952049333461098	3.640264635022252
3.5782220537424085	4.042857132736584	0.47938775256234506	4.04282339541272	3.893526577145688	93984	3.3049291043768534	3.627037427612506
3.5547755721424212	4.1016806621483495	0.4662642636007516	4.101344507770988	3.8650992596930545	87796	3.2897424366154837	3.5949707801473605
3.538998786510249	4.160504191560114	0.4630050964246513	4.159259775236866	3.8421166938289675	73872	3.268575002587862	3.5848935334893497
3.5506830462924945	4.219327720971879	0.4450098770036865	4.217582129523839	3.8456301822902916	57776	3.2989259022949873	3.5933766422739346
3.564400896131018	4.278151250383644	0.4287099009249618	4.275860541700992	3.8511466823604046	38840	3.323913480252139	3.6039074645367726
3.605487654048809	4.336974779795408	0.41482385949866435	4.334117921386752	3.896322017811684	23008	3.3860144666435303	3.646612515563966
3.63910700331849	4.395798309207173	0.3670936399252994	4.392878308697465	3.89484881471402	12156	3.4431240688342193	3.699805526467451
3.6406248524444007	4.454621838618937	0.30224666711175596	4.4499366398764995	3.850632406145733	4888	3.4959355051637737	3.7013004505865257
3.5949809752562754	4.513445368030702	0.27482612051875055	4.504170717912365	3.7665988575630314	1396	3.476414867931743	3.6389002825838093
3.4402529136585422	4.572268897442467	0.34946653051789106	4.5633543610939835	3.6505744559725204	164	3.271864760977921	3.4718804449783116
3.3601056545258947	4.631092426854232	0.0	4.605866956761064	3.3601056545258947	4	3.3601056545258947	3.3601056545258947
2.5573215697815694	4.689915956265997	0.0	4.675617828063974	2.5573215697815694	4	2.5573215697815694	2.5573215697815694
nan	4.748739485677762	nan	nan	nan	0	nan	nan
nan	4.807563015089526	nan	nan	nan	0	nan	nan
nan	4.866386544501291	nan	nan	nan	0	nan	nan
nan	4.925210073913055	nan	nan	nan	0	nan	nan
nan	4.98403360332482	nan	nan	nan	0	nan	nan
nan	5.042857132736584	nan	nan	nan	0	nan	nan
nan	5.1016806621483495	nan	nan	nan	0	nan	nan
nan	5.160504191560115	nan	nan	nan	0	nan	nan
nan	5.219327720971879	nan	nan	nan	0	nan	nan
nan	5.278151250383644	nan	nan	nan	0	nan	nan
nan	5.336974779795408	nan	nan	nan	0	nan	nan
nan	5.395798309207173	nan	nan	nan	0	nan	nan
nan	5.454621838618937	nan	nan	nan	0	nan	nan
nan	5.513445368030702	nan	nan	nan	0	nan	nan
nan	5.572268897442467	nan	nan	nan	0	nan	nan
nan	5.631092426854233	nan	nan	nan	0	nan	nan
nan	5.689915956265997	nan	nan	nan	0	nan	nan
nan	5.748739485677762	nan	nan	nan	0	nan	nan
